N	3gram	Vygotskiy_	Tragedij
1	то же время	2	5
2	в то же	2	5
3	в том что	30	2
4	и как бы	1	2
5	и в частности	3	2
6	о чем он	1	2
7	между этими двумя	2	2
8	точно так же	2	2
9	в данном случае	5	2
10	о том что	10	2
11	и в самом	2	2
12	но все же	1	2
13	в отличие от	3	2
14	не в силах	1	2
15	предстает перед нами	1	1
16	сам по себе	3	1
17	и психологического исследования	1	1
18	и не быть	1	1
19	выходящее за пределы	1	1
20	сам говорит что	2	1
21	том что он	2	1
22	говорит по поводу	1	1
23	в одном из	2	1
24	должно быть по	1	1
25	что он не	2	1
26	бы и не	1	1
27	на всем протяжении	3	1
28	за то что	1	1
29	на деле же	2	1
30	и при этом	1	1
31	все эти черты	1	1
32	смысле этого слова	6	1
33	в конце концов	1	1
34	жизни гораздо важнее	2	1
35	уже в момент	1	1
36	с тем и	1	1
37	он противопоставляет свою	1	1
38	вместо того чтобы	3	1
39	ответа на вопрос	2	1
40	в применении к	1	1
41	и вместе с	1	1
42	если можно так	1	1
43	то что он	2	1
44	не может быть	8	1
45	по нашему мнению	1	1
46	я не хочу	1	1
47	во всем его	1	1
48	по сравнению с	9	1
49	с помощью этих	1	1
50	в чем же	1	1
51	с самого начала	9	1
52	в самой природе	1	1
53	могло бы и	1	1
54	и то что	1	1
55	как и все	2	1
56	не только не	2	1
57	связаны между собой	1	1
58	не могут быть	1	1
59	только один раз	1	1
60	в высшей степени	7	1
61	хотя бы и	1	1
62	он сам говорит	1	1
63	как и в	2	1
64	в связи с	3	1
65	в самом деле	5	1
66	мы бы сказали	1	1
67	во всяком случае	5	1
68	к тому что	3	1
69	тому что оно	1	1
70	что все это	1	1
71	тем не менее	1	1
72	и до конца	1	1
73	несмотря на все	1	1
74	не имеет для	1	1
75	в своей книге	2	1
76	сам автор в	1	1
77	в этой связи	1	1
78	в известной мере	1	1
79	в ходе работы	1	1
80	на вопрос о	4	1
81	распадается на две	1	1
82	и в ходе	1	1
83	после того как	1	1
84	и не может	1	1
85	и в этом	1	1
86	можно так выразиться	1	1
