N	2gram	Voloshinov	VeschiIm
1	и не	1	57
2	не только	1	48
3	не может	4	46
4	и в	3	45
5	может быть	1	39
6	а не	1	37
7	но и	1	19
8	в ней	1	15
9	и больше	1	13
10	то же	1	12
11	больше ничего	1	12
12	точки зрения	1	12
13	смысл и	1	12
14	вещей и	1	12
15	не менее	1	11
16	в то	1	11
17	бы в	1	9
18	если бы	1	8
19	для него	1	8
20	с другими	1	8
21	несмотря на	1	6
22	с точки	1	6
23	и все	1	6
24	один из	2	5
25	нет и	1	5
26	мы видим	1	5
27	в его	1	5
28	в особенности	1	4
29	же время	1	4
30	может не	1	4
31	можно и	1	3
32	к тому	1	3
33	бы на	1	3
34	может и	1	3
35	и на	1	2
36	тому что	1	2
37	его от	1	2
38	конечно и	1	2
39	себя от	1	2
40	общения и	2	2
41	не из	1	2
42	и заставляет	1	2
43	языка как	1	2
44	связи с	1	2
45	и можно	1	2
46	на нее	1	2
47	если в	2	1
48	в языке	1	1
49	и должно	1	1
50	увидеть в	1	1
51	и событий	1	1
52	можно назвать	1	1
53	и социальной	1	1
54	и истории	1	1
55	этого общения	1	1
56	из этих	1	1
57	рационалистического и	1	1
58	ничего кроме	1	1
59	категорий и	1	1
60	и тому	1	1
61	в системе	1	1
62	речь и	1	1
63	анализа и	1	1
64	явление если	1	1
