N	4gram	Bakhtin_fo	Marksizm
1	в то же время	10	15
2	одного и того же	6	9
3	но в то же	2	9
4	и пр и пр	1	5
5	не может быть и	2	4
6	как мы уже знаем	1	4
7	может быть и речи	2	4
8	с одной стороны и	2	3
9	все более и более	2	3
10	в связи с этим	4	3
11	в том числе и	4	3
12	одно и то же	4	3
13	в той или иной	2	3
14	именно в том что	1	2
15	с нашей точки зрения	3	2
16	в точном смысле слова	1	2
17	одна и та же	2	2
18	так же как и	2	2
19	той или иной степени	1	2
20	сводится к тому что	1	2
21	с этой точки зрения	1	1
22	с самого начала не	1	1
23	друг с другом и	1	1
24	не подлежит конечно сомнению	1	1
25	но для того чтобы	2	1
26	и прежде всего в	1	1
27	к себе самому и	2	1
28	в широком смысле слова	1	1
29	как мы уже сказали	4	1
30	мы не претендуем на	1	1
31	но все же и	1	1
32	той или иной форме	1	1
33	не выходит за пределы	1	1
34	в жизни и в	1	1
35	жизни в ее целом	1	1
36	не значит конечно что	1	1
37	своей специфической закономерностью и	1	1
38	вместе с тем и	1	1
39	дело в том что	2	1
40	для того чтобы не	1	1
41	в своем чистом виде	1	1
42	как мы увидим дальше	1	1
43	в нем нет ничего	1	1
44	в тех случаях когда	1	1
45	мы уже говорили что	1	1
46	ряд в высшей степени	1	1
47	в связи с тем	1	1
48	приходит к выводу что	1	1
49	это не значит конечно	1	1
50	можно прямо сказать что	2	1
51	вне всякой связи с	1	1
52	или во всяком случае	1	1
53	в данном случае мы	1	1
54	плоть от плоти и	1	1
55	в соответствии с этим	2	1
56	проявляется прежде всего в	1	1
57	и у нас и	1	1
58	о каждом из них	1	1
59	одну и ту же	1	1
60	то же время он	1	1
61	выступает на первый план	1	1
62	мы уже указывали что	1	1
63	связи с тем что	1	1
64	в том что все	1	1
65	до сих пор не	1	1
66	само собой разумеется что	2	1
