N	4gram	Bakhtin_Fr	Myslijsy
1	в то же время	14	13
2	одного и того же	1	9
3	одной и той же	1	7
4	одно и то же	1	7
5	в то время когда	1	4
6	один и тот же	1	4
7	не что иное как	1	4
8	вместе с тем и	1	4
9	дело в том что	4	4
10	в одном и том	1	3
11	с одной стороны и	1	3
12	к одной и той	1	3
13	одном и том же	1	3
14	то же самое что	1	2
15	и то же слово	1	2
16	что одно и то	1	2
17	но дело в том	1	2
18	и его связь с	1	2
19	одна и та же	1	2
20	то же время и	1	2
21	до сих пор еще	2	1
22	как мы уже сказали	3	1
23	удовольствия и неудовольствия и	1	1
24	таким образом в словах	1	1
25	и того же явления	1	1
26	с другой стороны в	1	1
27	на самом деле история	1	1
28	здесь как и во	2	1
29	нет и не может	1	1
30	в том что это	1	1
31	можно сказать что в	1	1
32	и в общем не	1	1
33	стороны одного и того	1	1
34	же как и в	1	1
35	до сих пор не	1	1
36	вообще можно сказать что	1	1
37	в большей или меньшей	1	1
38	и не может быть	1	1
39	тем не менее он	1	1
40	бы он ни был	1	1
41	как и во всех	2	1
42	в каждом из этих	1	1
43	это то же самое	1	1
44	в том числе и	3	1
45	как бы он ни	1	1
46	сказать что и в	1	1
47	но на самом деле	1	1
48	в самом деле в	1	1
49	как было сказано выше	1	1
50	с точки зрения этого	1	1
51	но вместе с тем	1	1
52	мы можем судить о	1	1
53	так же как и	2	1
54	есть не что иное	1	1
