N	2gram	Medvedev_U	Freidism
1	таким образом	2	34
2	и не	8	34
3	не может	7	30
4	в этом	7	28
5	может быть	6	28
6	и в	14	28
7	прежде всего	8	26
8	в его	2	25
9	мы можем	1	20
10	то что	7	17
11	в своей	3	14
12	так и	1	14
13	самом деле	2	14
14	и все	1	13
15	как и	3	13
16	но в	3	13
17	в самом	2	12
18	то же	5	12
19	что он	2	12
20	том что	2	12
21	для него	3	12
22	все это	5	12
23	и потому	1	12
24	только в	2	11
25	сказать что	1	11
26	все что	1	10
27	не только	10	10
28	и с	2	10
29	но и	4	10
30	конечно не	4	10
31	что же	1	10
32	тот же	1	10
33	никогда не	1	10
34	в том	2	10
35	он не	1	10
36	за пределы	1	10
37	не в	2	10
38	уже не	1	9
39	мы не	2	9
40	с его	2	9
41	к этому	1	9
42	а не	10	9
43	и др	1	9
44	могут быть	2	9
45	все же	3	8
46	было бы	3	8
47	по мнению	1	8
48	в ней	1	8
49	что в	1	7
50	не могут	2	7
51	хотя бы	5	7
52	до конца	1	7
53	что все	2	7
54	и для	2	7
55	того что	1	7
56	но не	2	7
57	об этом	1	7
58	и у	2	7
59	в нем	1	7
60	в этой	4	7
61	в себе	2	7
62	и прежде	1	7
63	в то	3	7
64	одно из	1	6
65	можно сказать	1	6
66	же время	3	6
67	мы имеем	1	6
68	как раз	2	6
69	что такое	4	6
70	в таком	1	6
71	она не	1	6
72	и что	1	6
73	в пределах	1	6
74	человека и	1	6
75	и только	5	6
76	для этого	3	6
77	всех этих	2	6
78	ее в	1	5
79	в процессе	1	5
80	на первый	2	5
81	т.е в	2	5
82	что она	2	5
83	той же	1	5
84	это не	3	5
85	что и	2	5
86	в которой	1	5
87	не было	1	5
88	далеко не	1	5
89	ничего не	2	5
90	в период	1	5
91	отнюдь не	1	5
92	с которыми	1	4
93	мы и	2	4
94	сам по	1	4
95	в виду	1	4
96	сводится к	2	4
97	по себе	2	4
98	если бы	2	4
99	связанные с	1	4
100	и истории	1	4
101	данном случае	1	4
102	в данном	1	4
103	в котором	1	4
104	только как	1	4
105	в этот	1	4
106	связанных с	1	4
107	нет и	1	4
108	в своем	1	4
109	но это	2	4
110	этой области	3	4
111	этот процесс	1	4
112	этом отношении	2	4
113	у него	1	4
114	не существует	1	4
115	первый план	1	4
116	то ни	3	4
117	в области	3	4
118	для всех	2	3
119	до сих	2	3
120	это уже	2	3
121	о которой	1	3
122	и даже	1	3
123	все его	1	3
124	их в	1	3
125	это содержание	1	3
126	не делает	1	3
127	конечном счете	4	3
128	психики и	1	3
129	приводит к	1	3
130	что мы	2	3
131	он был	1	3
132	и содержание	1	3
133	как на	1	3
134	о том	1	3
135	единства и	1	3
136	бы то	3	3
137	и то	3	3
138	не без	1	3
139	тому чтобы	1	3
140	у нас	3	3
141	в конечном	4	3
142	этого не	1	3
143	он пытается	1	3
144	одним из	2	3
145	но для	1	3
146	представляется нам	2	3
147	сих пор	2	3
148	остается в	1	3
149	в г	1	3
150	между тем	2	3
151	в искусстве	6	3
152	не приходится	2	3
153	и является	2	3
