N	3gram	Tiupa_Lite	StatiiOP
1	в борисе годунове	1	69
2	в том что	15	47
3	о том что	3	29
4	в этом отношении	5	24
5	для того чтобы	1	19
6	до сих пор	1	19
7	и т п	2	19
8	с точки зрения	4	14
9	с другой стороны	5	13
10	во всяком случае	2	13
11	не может быть	5	11
12	в самом деле	1	9
13	то же время	12	9
14	на то что	1	9
15	в то же	12	9
16	дело в том	2	9
17	можно было бы	2	9
18	тем не менее	4	8
19	к тому что	1	8
20	на самом деле	1	8
21	не только в	4	8
22	в конце концов	1	7
23	в данном случае	6	7
24	по этому поводу	1	7
25	но все же	1	7
26	и в этом	1	7
27	том что он	1	7
28	по отношению к	4	6
29	том что в	1	6
30	речь идет о	3	6
31	по крайней мере	2	6
32	в одном из	1	6
33	что он не	1	5
34	во время чумы	1	5
35	в том же	3	5
36	за то что	2	5
37	тем что в	2	5
38	в том чтобы	1	5
39	в одной из	1	5
40	в свое время	1	5
41	в начале xix	1	5
42	начале xix века	1	5
43	с самого начала	1	5
44	после того как	1	5
45	так или иначе	8	4
46	с одной стороны	8	4
47	как например в	1	4
48	ничего общего с	2	4
49	в связи с	4	4
50	в другом месте	1	4
51	в это время	1	4
52	тем более что	1	4
53	иметь в виду	1	4
54	и мн др	1	4
55	на эту тему	1	4
56	может быть это	4	3
57	имеет ничего общего	1	3
58	каждого из них	1	3
59	только потому что	1	3
60	в той мере	1	3
61	что в ней	1	3
62	говоря уже о	2	3
63	в том числе	2	3
64	борисе годунове и	1	3
65	не имеет ничего	1	3
66	во многих случаях	1	3
67	а с другой	2	3
68	к тому же	1	3
69	моцарта и сальери	1	3
70	в наше время	1	3
71	бы то ни	1	3
72	в нашей стране	1	3
73	и тем же	1	3
74	только в том	2	3
75	состоит в том	8	3
76	не говоря уже	3	3
77	одним и тем	1	3
78	в лучшем случае	1	3
79	в значительной степени	1	3
80	во всех этих	1	3
81	в этом случае	2	3
82	в русской литературе	5	3
83	прежде всего в	4	3
84	из того же	1	2
85	может быть назван	1	2
86	в русской поэзии	1	2
87	все более и	1	2
88	в зависимости от	1	2
89	между тем как	1	2
90	в этой книге	1	2
91	нельзя сказать что	1	2
92	на мой взгляд	1	2
93	а во второй	2	2
94	том что этот	1	2
95	и в то	1	2
96	в отличие от	6	2
97	то ни было	1	2
98	а не в	1	2
99	вовсе не является	1	2
100	и у пушкина	1	2
101	то что я	1	2
102	по этому пути	1	2
103	как в наше	1	2
104	а также и	1	2
105	в евгении онегине	1	2
106	а как бы	1	2
107	в свою очередь	2	2
108	чуть ли не	2	2
109	той или иной	1	2
110	не могли быть	1	2
111	не столько в	1	2
112	в чем он	1	2
113	тех пор пока	2	2
114	когда речь идет	1	2
115	по большей части	1	2
116	в целом ряде	2	2
117	он не может	1	2
118	более и более	1	2
119	до тех пор	2	2
120	хотя бы на	1	2
121	но в то	1	2
122	и в полном	1	2
123	как мы видели	1	2
124	в равной мере	2	2
125	и то что	2	2
126	между прочим и	1	2
127	всяком случае в	1	2
128	это прежде всего	1	2
129	имеем дело с	1	2
130	но с другой	3	2
131	в этой системе	1	1
132	же время не	2	1
133	права на существование	1	1
134	дело не только	2	1
135	ему кажется что	1	1
136	в большинстве случаев	1	1
137	на том что	1	1
138	в ответ на	1	1
139	в самом начале	1	1
140	которых он писал	1	1
141	для своего времени	2	1
142	как и во	1	1
143	с этой точки	3	1
144	места в рамках	1	1
145	до него никто	1	1
146	он говорит у	1	1
147	на всю жизнь	1	1
148	но даже и	1	1
149	и то же	1	1
150	но и он	1	1
151	в интересах которого	1	1
152	говорит о себе	1	1
153	во многих отношениях	1	1
154	что он сам	1	1
155	в отношении к	1	1
156	что он в	1	1
157	но может быть	1	1
158	в основе этой	1	1
159	между этими тремя	1	1
160	главе евгения онегина	1	1
161	в соответствии с	2	1
162	по ту сторону	1	1
163	не в стиле	1	1
164	в россии в	1	1
165	не могло быть	2	1
166	является одним из	1	1
167	имел в виду	2	1
168	только то что	2	1
169	эту мысль в	1	1
170	читателя в качестве	1	1
171	а прежде всего	1	1
172	писал что в	1	1
173	но не менее	1	1
174	и не может	1	1
175	а иной раз	1	1
176	мы имеем дело	2	1
177	быть не может	1	1
178	отношению к действительности	1	1
179	на вопрос что	1	1
180	говорил что не	1	1
181	на основе общей	1	1
182	а то и	2	1
183	я нашел в	1	1
184	знает и не	1	1
185	вместе с ним	1	1
186	может быть вообще	1	1
187	одним из наиболее	2	1
188	в капитанской дочке	1	1
189	еще и в	1	1
190	и всякая иная	1	1
191	может быть он	1	1
192	в этом же	1	1
193	маленьких трагедий на	1	1
194	и говорит я	1	1
195	и вовсе не	1	1
196	может быть ни	1	1
197	этой точки зрения	3	1
198	ту или иную	2	1
199	еще при жизни	1	1
200	вот в каком	1	1
201	но и не	1	1
202	а потому не	1	1
203	так было и	1	1
204	представляют собой лишь	1	1
205	в медном всаднике	1	1
206	но дело в	1	1
207	и не было	1	1
208	том же году	3	1
209	поскольку речь идет	2	1
210	в стихах и	2	1
211	в этом и	1	1
212	бы между прочим	1	1
213	с лица земли	1	1
214	с легкой руки	2	1
215	искусства и жизни	1	1
216	в сущности говоря	1	1
217	и вы увидите	1	1
218	горя от ума	1	1
219	пути по которому	1	1
220	это еще не	1	1
221	и в частности	1	1
222	характеризуется тем что	1	1
223	приводит к тому	1	1
