N	3gram	Nazirov_Tr	TeoriaLi
1	в том что	2	10
2	в то же	5	8
3	то же время	5	8
4	в отличие от	2	7
5	не может быть	1	5
6	в данном случае	2	5
7	в виду не	1	3
8	тем не менее	1	3
9	в связи с	1	3
10	и в самом	2	2
11	как и в	1	2
12	в самом деле	1	2
13	но в то	2	2
14	в этом мире	1	2
15	том что он	1	2
16	не только не	1	2
17	не могут быть	1	2
18	к тому что	1	2
19	что он не	1	1
20	и не быть	1	1
21	в последней главе	1	1
22	в известной степени	1	1
23	о том что	2	1
24	в xix веке	1	1
25	добро и зло	1	1
26	черт ивана карамазова	1	1
27	не только к	1	1
28	ивана карамазова в	1	1
29	это и есть	1	1
30	друг перед другом	1	1
31	на вопрос о	1	1
32	позиции в мире	1	1
33	и как бы	2	1
34	и пусть пусть	1	1
35	и в частности	2	1
36	а между тем	1	1
37	эта встреча не	1	1
38	точно так же	2	1
39	говорит о его	1	1
40	в этом случае	1	1
