N	2gram	Savitsky_P	Marksizm
1	точки зрения	3	69
2	может быть	5	64
3	и в	14	63
4	и не	12	55
5	как бы	4	53
6	не может	4	47
7	с точки	3	46
8	и пр	5	42
9	в этом	10	39
10	в пределах	8	31
11	не только	17	29
12	то же	9	28
13	в нем	3	28
14	но и	6	27
15	в самом	1	24
16	как и	1	24
17	прежде всего	3	24
18	только в	7	23
19	в том	9	22
20	то что	4	22
21	а не	2	22
22	если мы	1	20
23	не в	5	19
24	если бы	4	19
25	том что	4	19
26	в его	2	19
27	в ее	2	18
28	но в	9	18
29	все же	1	17
30	и как	3	16
31	в то	7	16
32	во всех	2	15
33	отнюдь не	2	15
34	же время	7	15
35	в русском	2	15
36	в данном	1	14
37	хотя бы	8	14
38	в смысле	6	14
39	так же	1	13
40	что в	4	13
41	и здесь	1	13
42	того чтобы	1	13
43	было бы	6	13
44	мы не	3	13
45	для того	3	12
46	в результате	1	12
47	между тем	3	12
48	а в	4	12
49	не столько	2	11
50	и что	1	11
51	и на	1	11
52	еще не	1	11
53	друг друга	1	11
54	в ней	6	11
55	именно в	2	10
56	во всяком	1	10
57	с другой	5	10
58	никогда не	1	10
59	в своем	4	10
60	его в	1	10
61	одна из	2	10
62	в каждом	1	10
63	в основном	1	10
64	в большинстве	1	10
65	в отличие	1	10
66	с его	1	10
67	и потому	4	10
68	отличие от	1	10
69	только на	1	9
70	в себе	3	9
71	большинстве случаев	1	9
72	и это	2	9
73	что это	1	9
74	не имеет	1	9
75	и более	1	9
76	отношении к	5	9
77	это не	3	9
78	в истории	1	9
79	мысли и	1	8
80	не как	1	8
81	другой стороны	1	8
82	и с	2	8
83	на этой	1	8
84	настоящее время	1	8
85	мы знаем	1	8
86	что и	1	8
87	не было	2	8
88	что не	1	8
89	ясно что	1	8
90	мы можем	1	8
91	столь же	3	8
92	в отношении	10	8
93	сводится к	3	8
94	в каком	1	8
95	в настоящее	1	8
96	с этим	2	8
97	и ее	1	8
98	или иной	1	8
99	на то	1	8
100	в этих	1	7
101	в котором	4	7
102	те же	1	7
103	как раз	2	7
104	в качестве	9	7
105	в этой	1	7
106	могут быть	3	7
107	там где	1	7
108	с ними	3	7
109	на основе	1	7
110	по себе	4	7
111	того что	2	7
112	в формах	1	7
113	в начале	2	7
114	далеко не	1	7
115	место в	1	7
116	является в	2	6
117	одной стороны	3	6
118	в различных	1	6
119	как оно	1	6
120	она может	1	6
121	с одной	3	6
122	из важнейших	2	6
123	не есть	1	6
124	всяком случае	1	6
125	в идеологическом	1	6
126	с ее	1	6
127	должна быть	1	6
128	тем же	1	6
129	тот же	3	6
130	все это	2	6
131	в какой	1	6
132	вопрос о	1	6
133	мы должны	4	6
134	из этих	1	6
135	же в	4	6
136	не к	2	6
137	еще более	2	5
138	формы в	1	5
139	не менее	2	5
140	темы и	1	5
141	как на	2	5
142	себя в	1	5
143	по преимуществу	1	5
