N	2gram	Berdyaev_V	Narrotol
1	не только	2	62
2	и не	20	50
3	но и	5	45
4	а не	7	38
5	может быть	1	30
6	и в	16	30
7	в том	3	29
8	в этом	4	28
9	тогда как	1	28
10	том что	2	28
11	а в	2	27
12	только в	2	25
13	как и	4	24
14	не в	3	23
15	то что	9	23
16	то есть	1	22
17	так и	4	17
18	в его	4	16
19	к тому	3	15
20	но в	3	15
21	в жизни	3	14
22	то же	1	13
23	в своей	3	13
24	уже не	2	13
25	в своем	1	13
26	у него	1	13
27	все же	1	12
28	как в	1	12
29	как бы	5	12
30	прежде всего	2	12
31	хотя и	5	11
32	в мире	5	11
33	и тем	1	11
34	в этой	1	11
35	в нем	4	11
36	жизни в	1	11
37	один из	2	10
38	никогда не	3	10
39	между тем	2	10
40	как это	1	10
41	и все	4	10
42	жизни и	3	10
43	с его	3	10
44	ничего не	1	10
45	того что	5	10
46	но не	2	10
47	я в	1	9
48	что в	3	9
49	с ним	2	9
50	истории в	1	9
51	что он	4	9
52	еще не	8	9
53	потому что	4	9
54	для него	2	9
55	в самом	1	8
56	о чем	1	8
57	одна из	2	8
58	того чтобы	2	8
59	и для	3	8
60	у нас	1	8
61	мира в	2	8
62	в котором	4	7
63	с другой	1	7
64	в ее	1	7
65	на себя	5	7
66	в конце	3	7
67	в чем	3	7
68	и на	1	7
69	в форме	2	7
70	это не	2	7
71	вслед за	2	7
72	в глазах	1	7
73	в ней	4	7
74	в целом	1	7
75	все что	4	6
76	в результате	1	6
77	на него	1	6
78	что и	3	6
79	известном смысле	1	6
80	в известном	1	6
81	то и	1	6
82	в сознании	1	6
83	они не	1	6
84	не по	1	6
85	человеческой жизни	1	5
86	в своих	1	5
87	и сам	2	5
88	мира и	1	5
89	для того	1	5
90	не всегда	1	5
91	в одном	1	5
92	к нему	1	5
93	бы и	3	5
94	не было	3	5
95	я не	1	5
96	и от	1	5
97	что это	1	5
98	если не	3	5
99	их в	3	5
100	с ними	1	5
101	да и	2	5
102	и уже	1	5
103	и то	2	5
104	мы не	2	5
105	не случайно	1	5
106	от этих	2	4
107	в виду	1	4
108	в них	3	4
109	и с	1	4
110	ведет к	1	4
111	роль в	1	4
112	когда в	2	4
113	не существует	1	4
114	хотя бы	3	4
115	к этому	1	4
116	что они	7	4
117	на том	2	4
118	к жизни	1	4
119	в третьем	1	4
120	тому что	3	4
121	в себя	2	4
122	не будет	2	4
123	из нас	1	4
124	и по	1	4
125	и ее	1	4
126	для себя	1	4
127	о которой	1	4
128	нового времени	1	4
129	оно не	3	4
130	вместе с	1	4
131	не имеет	3	4
132	что я	3	4
133	во всяком	2	4
134	для нас	2	4
135	или даже	1	4
136	человека в	1	4
137	она не	1	4
138	бытия в	1	4
139	не с	2	4
140	как мы	1	4
141	что на	1	4
142	не к	2	4
143	что было	2	3
144	с этой	1	3
145	говорит о	1	3
146	своей истории	2	3
147	в этих	3	3
148	о своем	1	3
149	и опять	1	3
150	личность не	1	3
151	говорить о	4	3
152	так же	1	3
153	к ним	1	3
154	к ее	1	3
155	ее и	2	3
156	в которой	1	3
157	к чему	3	3
158	что не	4	3
159	и это	2	3
160	а потом	1	3
161	могли бы	1	3
162	но как	1	3
163	а с	2	3
164	человеческого бытия	1	3
165	и что	3	3
166	можно было	2	3
167	не просто	1	3
168	со словами	1	3
169	освободиться от	1	3
170	себя с	1	3
171	и т	2	3
172	зависимости от	1	3
173	еще и	1	3
174	что мы	4	3
175	в роли	1	3
176	и тогда	2	3
177	ни для	1	3
178	речь идет	1	3
179	но это	3	3
180	в едином	1	3
181	жизни не	1	3
182	жизни но	1	3
183	хоть и	1	3
184	и уж	1	3
185	и вот	1	3
186	от которого	3	3
187	все равно	2	3
188	в виде	1	3
189	как она	1	3
190	все эти	3	3
191	со своей	1	3
192	и потому	7	3
193	а к	2	3
194	а его	1	3
195	его не	2	3
196	лишь в	3	3
197	является в	2	2
198	мы и	2	2
199	которая в	1	2
200	которое может	1	2
201	другой стороны	1	2
202	быть может	1	2
203	людей и	2	2
204	но все	1	2
205	жизнь в	1	2
206	людей а	1	2
207	тем что	2	2
208	человека есть	1	2
209	мир и	2	2
210	было не	1	2
211	раз и	1	2
212	и который	1	2
213	а между	2	2
214	превращается в	3	2
215	можно ли	1	2
216	вовсе не	1	2
217	не имел	2	2
218	бы в	1	2
219	жизни с	1	2
220	и мы	3	2
221	и столь	1	2
222	должно быть	3	2
223	в человеке	1	2
224	добра и	4	2
225	искать в	1	2
226	теперь и	1	2
227	в будущем	1	2
228	можно признать	1	2
229	сознания не	1	2
230	будто бы	1	2
231	человек и	1	2
232	думать о	1	2
233	не есть	6	2
234	идет по	1	2
235	в двух	1	2
236	себе и	1	2
237	во всех	3	2
238	том свете	1	2
239	человека как	2	2
240	могут быть	2	2
241	и есть	4	2
242	мы будем	1	2
243	с которым	1	2
244	это он	1	2
245	себя но	1	2
246	любви и	1	2
247	о личности	1	2
248	а потому	1	2
249	они и	2	2
250	и зла	2	2
251	которым можно	2	2
252	если в	1	2
253	живет в	1	2
254	должна быть	3	2
255	давно уже	2	2
256	для них	2	2
257	и вновь	1	2
258	быть личностью	2	2
259	значения и	2	2
260	в процессе	1	2
261	присутствует в	1	2
262	в которых	1	2
263	ли он	1	2
264	его и	2	2
265	тот кто	2	2
266	более чем	2	2
267	это все	2	2
268	себя не	1	2
269	первый раз	3	2
270	в мир	1	2
271	и во	2	2
272	к миру	1	2
273	в смысл	2	2
274	не для	1	2
275	все это	5	2
276	в их	1	2
277	но с	1	2
278	на нее	1	2
279	это еще	4	2
280	в бытии	1	2
281	в сердце	1	2
282	за которым	1	2
283	как можно	1	2
284	по словам	1	2
285	и вообще	1	2
286	он говорит	1	2
287	слово это	1	2
288	церкви и	1	2
289	отношение к	1	2
290	бытия и	1	2
291	это в	1	2
292	таким же	1	2
293	во всем	1	1
294	и человеческого	1	1
295	роковым образом	1	1
296	никогда и	1	1
297	с которыми	1	1
298	христа в	3	1
299	жизнь свою	1	1
300	лет назад	1	1
301	которые не	2	1
302	и люди	2	1
303	есть знак	1	1
304	любовь к	3	1
305	эта новая	1	1
306	в разных	1	1
307	и стало	1	1
308	их жизни	1	1
309	бытия на	1	1
310	о свободе	2	1
311	что человек	1	1
312	а есть	2	1
313	но что	1	1
314	связь с	1	1
315	их не	1	1
316	по пути	5	1
317	в духе	2	1
318	на которых	1	1
319	идти в	1	1
320	последний из	1	1
321	слова с	1	1
322	у людей	2	1
323	меня в	1	1
324	его на	1	1
325	к бытию	3	1
326	поскольку он	1	1
327	людей с	1	1
328	и нет	1	1
329	и смерти	1	1
330	я вижу	1	1
331	не могли	2	1
332	вопрос о	1	1
333	отказавшись от	1	1
334	человека не	1	1
335	он был	1	1
336	мы увидим	1	1
337	смысл бытия	1	1
338	себя мы	1	1
