N	3gram	Medvedev_F	Freidism
1	с точки зрения	17	15
2	не может быть	11	14
3	по отношению к	4	11
4	в самом деле	5	10
5	в том что	3	9
6	как мы видели	5	8
7	во всяком случае	6	8
8	и прежде всего	2	7
9	в то же	13	6
10	мы знаем что	1	6
11	в высшей степени	4	6
12	то же время	13	6
13	может быть и	4	6
14	в большинстве случаев	5	5
15	с самого начала	2	5
16	в ее целом	3	4
17	в свою очередь	6	4
18	с помощью которых	1	4
19	и до конца	3	4
20	мы увидим что	1	4
21	во внешнем мире	1	4
22	в своей основе	1	4
23	тем не менее	2	4
24	сам по себе	2	4
25	на самом деле	7	4
26	в зависимости от	4	4
27	в данном случае	2	4
28	в первый период	5	4
29	в таком случае	1	4
30	не могут быть	4	4
31	на первый план	1	4
32	в этом отношении	7	4
33	ни в чем	1	4
34	в последнем счете	2	4
35	в этот период	1	3
36	все то что	1	3
37	только то что	1	3
38	мы уже знаем	1	3
39	но вовсе не	1	3
40	отнюдь не является	1	3
41	для того чтобы	3	3
42	в собственном смысле	1	3
43	до сих пор	7	3
44	что же касается	1	3
45	к тому чтобы	2	3
46	во всех своих	2	3
47	бы то ни	4	3
48	на этот вопрос	1	3
49	и притом в	1	3
50	так и в	6	3
51	но в то	3	3
52	быть и речи	1	3
53	а вовсе не	2	3
54	мы не можем	3	3
55	нет и не	2	3
56	последовательно и до	1	3
57	и не может	5	3
58	в корне неверно	1	2
59	ни о каком	1	2
60	равно как и	1	2
61	но вместе с	1	2
62	в применении к	4	2
63	и может быть	1	2
64	во второй период	1	2
65	во внешнем объективном	1	2
66	ни о какой	2	2
67	в этом смысле	3	2
68	заключается в том	1	2
69	в чем же	1	2
70	то или иное	1	2
71	и его формы	1	2
72	хотя бы и	1	2
73	в предыдущей главе	1	2
74	в конце концов	2	2
75	с помощью которого	1	2
76	и с помощью	1	2
77	и пр и	4	2
78	в узком смысле	1	2
79	что же такое	1	2
80	не чем иным	1	2
81	чем иным как	1	2
82	первый период развития	2	2
83	зависимости от того	1	2
84	раз и не	1	2
85	что и в	2	2
86	в отличие от	2	2
87	конечно не может	1	2
88	мы полагаем что	3	2
89	таким образом в	1	2
90	то ни было	1	2
91	выходит за пределы	1	2
92	было бы наивно	1	2
93	в таком виде	1	2
94	к тому что	3	2
95	самом же деле	1	2
96	на самом же	1	2
97	с одной стороны	5	2
98	пр и пр	4	2
99	нам важно лишь	1	2
100	в его целом	8	2
101	как раз и	4	2
102	в первом периоде	3	2
103	а также и	1	2
104	и т д	11	1
105	из этих фактов	1	1
106	что он не	1	1
107	именно того что	2	1
108	в этом случае	1	1
109	и роковую роль	1	1
110	пришли к нему	1	1
111	к нему и	1	1
112	своей силы и	1	1
113	нам в корне	1	1
114	но тем не	1	1
115	того или иного	6	1
116	превращения его в	1	1
117	с помощью тех	1	1
118	не имеющие отношения	1	1
119	можно найти у	1	1
120	вполне понятно что	1	1
121	по аналогии с	4	1
122	сводится к тому	2	1
