N	2gram	Tiupa_Vved	Hudozhes
1	в качестве	18	31
2	то есть	13	26
3	в мире	9	24
4	и в	23	23
5	не только	32	20
6	состоит в	23	20
7	в том	21	20
8	при этом	43	19
9	от лат	6	19
10	может быть	25	19
11	в частности	19	18
12	и не	24	16
13	тогда как	16	15
14	но и	31	14
15	внутренней речи	1	14
16	художественного текста	2	13
17	литературного произведения	1	13
18	а не	31	13
19	в рамках	5	13
20	но не	9	13
21	а в	15	13
22	в тексте	11	13
23	в себе	15	13
24	в этом	27	12
25	то же	8	12
26	такого рода	23	12
27	так и	14	12
28	и его	9	12
29	сводится к	6	11
30	представляет собой	18	11
31	как бы	8	11
32	точки зрения	1	11
33	в его	9	11
34	по отношению	11	10
35	но в	14	10
36	отношению к	11	10
37	своего рода	20	9
38	или иной	5	9
39	том что	16	9
40	с другой	10	9
41	присутствия в	7	9
42	художественного письма	9	9
43	коммуникативного события	8	9
44	не сводится	7	9
45	в искусстве	1	9
46	не в	12	9
47	не может	14	9
48	в принципе	3	8
49	себя в	4	8
50	в области	5	8
51	в то	5	8
52	что в	6	7
53	в самом	6	7
54	только в	9	7
55	в своей	10	7
56	в основе	6	7
57	и т.п	14	7
58	же время	4	7
59	в отличие	11	7
60	внутреннего зрения	2	7
61	отличие от	11	7
62	не столько	5	7
63	как это	2	7
64	по своей	4	7
65	лишь в	4	7
66	отношение к	5	7
67	другой стороны	3	6
68	в состав	5	6
69	более или	2	6
70	приводит к	2	6
71	уже не	7	6
72	можно сказать	6	6
73	с ее	3	6
74	с его	1	6
75	мы имеем	8	6
76	в ее	1	6
77	а также	12	6
78	или менее	2	6
79	всего лишь	7	6
80	по сути	5	6
81	в нем	9	6
82	кто говорит	1	5
83	в виду	3	5
84	не на	3	5
85	не предполагает	2	5
86	конечном счете	2	5
87	что он	2	5
88	в художественном	1	5
89	не менее	4	5
90	искусство слова	1	5
91	не является	7	5
92	того чтобы	2	5
93	для того	1	5
94	со стороны	15	5
95	иначе говоря	8	5
96	как к	1	5
97	для него	5	5
98	того что	7	5
99	прежде всего	11	5
100	картина мира	17	5
101	с другими	1	5
102	в их	2	5
103	а на	4	5
104	в конечном	2	5
105	или иначе	2	5
106	говоря словами	1	5
107	между ними	1	5
108	той или	5	5
109	героя и	5	5
110	самим собой	1	5
111	высказывания в	1	5
112	тем самым	6	5
113	то что	9	5
114	в ходе	3	5
115	могут быть	5	5
116	место в	2	5
117	во втором	4	4
118	для себя	2	4
119	без исключения	2	4
120	уединенного сознания	1	4
121	на смену	2	4
122	не следует	3	4
123	например в	2	4
124	значении этого	1	4
125	отношения к	1	4
126	в слове	4	4
127	из которого	1	4
128	для читателя	1	4
129	воспринимающего сознания	2	4
130	еще не	8	4
131	с позиций	1	4
132	в данном	22	4
133	входит в	2	4
134	в другом	2	4
135	сознания в	4	4
136	говорить о	5	4
137	и т.д	6	4
138	сказать что	1	4
139	жизни как	2	4
140	к которому	2	4
141	в своем	9	4
142	к тому	9	4
143	во времени	2	4
144	на почве	1	4
145	и то	1	4
146	это не	7	4
147	в отношении	1	4
148	его в	1	4
149	не знает	2	4
150	и как	2	4
151	в этих	5	4
152	так в	5	4
153	а только	3	4
154	того или	1	4
155	между тем	3	4
156	речи и	1	4
157	он не	6	4
158	и тем	3	4
159	и что	2	4
160	в форме	1	4
161	далеко не	5	4
