N	4gram	Losev_Vlad	VerxiiNi
1	и вместе с тем	1	3
2	бы то ни было	1	2
3	в то же время	7	2
4	но вместе с тем	1	2
5	в том виде в	1	2
6	вместе с тем и	1	1
7	но тем не менее	1	1
8	в то что он	1	1
9	указывает на то что	1	1
10	том виде в каком	1	1
11	а в том что	1	1
12	но в то же	2	1
13	после смерти этого последнего	1	1
14	в свою очередь с	1	1
15	по крайней мере до	1	1
16	и в то же	3	1
17	не в том что	1	1
18	ни к чему не	1	1
19	еще и потому что	2	1
20	а с другой стороны	1	1
21	смысле так и в	1	1
22	в том что духовная	1	1
23	один и тот же	2	1
