N	3gram	Bakhtin_Pr	Tragedij
1	униженных и оскорбленных	1	16
2	то же время	13	5
3	в то же	13	5
4	так и в	2	3
5	в том что	6	2
6	и в частности	1	2
7	не мудрено что	1	2
8	но в то	7	2
9	между этими двумя	1	2
10	точно так же	1	2
11	в данном случае	2	2
12	о том что	2	2
13	но все же	3	2
14	в отличие от	4	2
15	по замыслу достоевского	2	2
16	сам по себе	2	1
17	и он сам	1	1
18	и входят в	1	1
19	голядкина в двойнике	1	1
20	у него есть	1	1
21	том что он	5	1
22	кто он есть	1	1
23	в одном из	2	1
24	одно из самых	1	1
25	создается впечатление что	1	1
26	и даже отчасти	1	1
27	что он не	1	1
28	а между тем	1	1
29	смысле этого слова	1	1
30	в конце концов	7	1
31	могут быть отнесены	1	1
32	но несмотря на	1	1
33	в мире достоевского	4	1
34	как и его	1	1
35	вместо того чтобы	1	1
36	в той же	3	1
37	то что он	1	1
38	для него была	1	1
39	не может быть	8	1
40	в этом мире	1	1
41	из подполья это	1	1
42	он сам сознает	1	1
43	в известной степени	1	1
44	с ним она	1	1
45	и т п	10	1
46	но при этом	2	1
47	в этом случае	1	1
48	но как в	1	1
49	то и он	1	1
50	по сравнению с	1	1
51	с самого начала	1	1
52	как и все	4	1
53	не только не	2	1
54	с начала и	2	1
55	но и на	2	1
56	у него нет	1	1
57	значение для понимания	1	1
58	не могут быть	1	1
59	в высшей степени	1	1
60	для самого автора	1	1
61	и сам автор	1	1
62	хотя бы и	3	1
63	как и в	3	1
64	в связи с	1	1
65	в самом деле	6	1
66	не только к	1	1
67	ивана карамазова в	1	1
68	во всяком случае	4	1
69	к тому что	1	1
70	если б я	1	1
71	тем не менее	2	1
72	но уже не	1	1
73	и до конца	2	1
74	в своей книге	1	1
75	прежде всего необходимо	1	1
76	в столкновение с	2	1
77	романа достоевского в	2	1
78	это и есть	1	1
79	начала и до	2	1
80	после того как	1	1
81	но у него	1	1
82	все же не	3	1
83	и не может	6	1
84	и в этом	5	1
85	также что все	1	1
