N	2gram	Trubetskoy	Tvorches
1	и в	26	56
2	как бы	12	41
3	в его	5	37
4	в то	4	30
5	то же	4	25
6	не только	10	24
7	же время	2	24
8	но в	7	24
9	как и	1	23
10	то есть	4	23
11	и не	8	23
12	а в	4	23
13	и его	1	23
14	в этом	15	22
15	что в	9	21
16	в том	11	21
17	он не	4	19
18	том что	7	19
19	может быть	10	19
20	потому что	7	19
21	у него	1	18
22	то что	7	18
23	таким образом	22	17
24	и на	2	17
25	что он	4	17
26	все это	6	17
27	при этом	3	16
28	но и	9	16
29	никогда не	5	16
30	как в	1	16
31	прежде всего	2	16
32	не может	4	16
33	и с	10	15
34	в мире	5	15
35	но это	1	15
36	в этой	4	15
37	с его	2	15
38	и даже	3	14
39	это не	1	14
40	о том	6	13
41	времени в	1	13
42	а не	5	13
43	в котором	4	12
44	в своей	1	11
45	все же	6	11
46	для него	3	11
47	в самом	4	10
48	представление о	6	10
49	он сам	1	10
50	не в	2	10
51	в конце	6	10
52	только в	4	10
53	когда он	3	10
54	уже в	2	10
55	так и	6	10
56	но не	8	10
57	в душе	1	9
58	в своих	1	9
59	и от	4	9
60	один из	2	9
61	в свою	2	9
62	человека в	1	9
63	в нем	4	9
64	даже в	1	8
65	именно в	2	8
66	в соответствии	1	8
67	не менее	3	8
68	так же	5	8
69	к этому	3	8
70	одним из	2	8
71	это уже	1	8
72	вместе с	15	8
73	тогда как	1	8
74	соответствии с	1	8
75	одной из	5	8
76	еще не	2	8
77	в себе	6	8
78	так как	9	8
79	в их	1	8
80	на его	1	8
81	человека и	1	8
82	в этих	4	7
83	уже не	3	7
84	казалось бы	1	7
85	за собой	3	7
86	что она	1	7
87	в которой	3	7
88	в чем	1	7
89	самом деле	1	7
90	в момент	1	6
91	и как	3	6
92	если он	1	6
93	на эту	1	6
94	хотя бы	3	6
95	его в	1	6
96	так что	3	6
97	и ее	1	6
98	а потому	1	6
99	и далее	1	6
100	с ним	1	6
101	если бы	3	6
102	и все	2	6
103	приводит к	2	6
104	все эти	6	6
105	ли не	1	6
106	место в	1	6
107	и другие	3	5
108	из всех	3	5
109	в пользу	2	5
110	что человек	1	5
111	в них	2	5
112	русской жизни	4	5
113	с другой	8	5
114	больше не	2	5
115	по отношению	1	5
116	в своем	3	5
117	в одной	1	5
118	во всей	1	5
119	из них	7	5
120	что они	1	5
121	в ее	1	5
122	что и	6	5
123	не было	2	5
124	в таком	3	5
125	и это	2	5
126	и у	8	5
127	а с	7	5
128	что это	3	5
129	в наше	1	5
130	если не	2	5
131	между тем	2	5
132	дело не	1	5
133	однако это	1	5
134	не так	1	5
135	та же	1	5
136	с этим	1	5
137	в россии	2	5
138	начиная с	2	5
139	в образе	2	5
140	том же	1	5
141	но если	2	5
142	тот же	2	5
143	ничего не	1	5
144	из этой	2	5
145	мы не	1	5
146	в виде	4	5
147	но с	3	5
148	но эта	1	5
149	в ту	1	5
150	и по	4	5
151	и других	1	5
152	это как	1	5
153	отношению к	3	5
154	с этой	3	4
155	а у	1	4
156	него в	1	4
157	с собой	1	4
158	на земле	1	4
159	тем что	1	4
160	роль в	1	4
161	и отчасти	1	4
162	представляет собой	3	4
163	только на	1	4
164	превращается в	2	4
165	не вполне	3	4
166	самого начала	2	4
167	что все	4	4
168	точки зрения	13	4
169	крайней мере	5	4
170	к нему	7	4
171	мы видим	1	4
172	и потому	6	4
173	с точки	6	4
174	добра и	2	4
175	однако этот	1	4
