N	3gram	Medvedev_V	Literetu
1	в том что	5	21
2	в то же	5	21
3	то же время	5	21
4	по отношению к	7	12
5	с одной стороны	2	12
6	не может быть	8	11
7	в данном случае	1	11
8	в конечном счете	5	10
9	так или иначе	1	10
10	о том что	3	10
11	в этом отношении	14	10
12	не говоря уже	1	8
13	с другой стороны	8	7
14	говоря уже о	1	6
15	в том числе	2	6
16	к тому же	1	6
17	подобно тому как	3	6
18	не только в	2	6
19	с этой точки	1	5
20	еще в году	1	5
21	в соответствии с	1	5
22	в том чтобы	2	5
23	этой точки зрения	2	5
24	в связи с	4	5
25	по аналогии с	1	4
26	читателя зрителя слушателя	1	4
27	и т п	9	3
28	одной стороны и	2	3
29	в самом деле	1	3
30	в том же	1	3
31	ничего общего с	1	3
32	то же самое	1	3
33	той или иной	1	3
34	только в том	2	3
35	в свою очередь	1	3
36	на то что	1	3
37	по крайней мере	2	3
38	ту или иную	1	3
39	в одном из	4	3
40	во всяком случае	2	3
41	том числе и	2	3
42	но с другой	1	3
43	да и сам	1	2
44	в этой системе	1	2
45	для него в	2	2
46	конечном счете вся	1	2
47	для того чтобы	3	2
48	и то же	1	2
49	органической связи с	1	2
50	что он в	1	2
51	и вместе с	1	2
52	тех или иных	1	2
53	не только не	2	2
54	в целом и	1	2
55	к тому что	4	2
56	только то что	2	2
57	в другом месте	2	2
58	а не только	1	2
59	мы имеем дело	1	2
60	на вопрос что	1	2
61	чуть ли не	2	2
62	вместе с тем	4	2
63	одним из наиболее	1	2
64	не удивительно что	3	2
65	но и в	1	2
66	в историю литературы	1	2
67	в виду не	1	2
68	в стихах и	1	2
69	о художнике как	1	2
70	одно и то	1	2
71	можно было бы	2	2
72	в этом случае	1	2
73	в целом но	1	2
74	на этой почве	1	1
75	в той или	1	1
76	имеет ничего общего	1	1
77	в области художественного	1	1
78	что он не	1	1
79	при всем богатстве	1	1
80	к различного рода	1	1
81	все то что	1	1
82	и при всей	1	1
83	как будто бы	1	1
84	а потому и	1	1
85	прежде всего между	1	1
86	творчества он и	1	1
87	то что в	1	1
88	или иной мере	1	1
89	хотя бы и	5	1
90	так и от	2	1
91	и тем более	1	1
92	в своем дневнике	1	1
93	чего бы не	2	1
94	не об отсутствии	1	1
95	бы не было	2	1
96	не в том	2	1
97	далеко не всегда	1	1
98	более или менее	6	1
99	и следовало ожидать	1	1
100	но даже и	1	1
101	как деятельность сознания	1	1
102	но и он	2	1
103	как раз с	1	1
104	а в том	1	1
105	именно в этом	1	1
106	до сих пор	2	1
107	удивительно поэтому что	1	1
108	в этом и	2	1
109	иметь в виду	2	1
110	в конце концов	2	1
111	что перед нами	1	1
112	не имеет ничего	1	1
113	в зависимости от	5	1
114	и в то	3	1
115	одна из форм	1	1
116	в частности в	2	1
117	в силу его	1	1
118	и в прозе	1	1
119	в конечном итоге	2	1
120	с по год	1	1
121	сама по себе	1	1
122	по этому поводу	7	1
123	но все же	1	1
124	во всей ее	1	1
125	во всех других	1	1
126	него в конечном	1	1
127	о том как	3	1
128	некоторые из них	1	1
129	даже и не	1	1
130	в различных его	1	1
131	после того как	2	1
132	кажется что он	1	1
133	а как бы	1	1
134	не только для	2	1
135	сознания на то	1	1
136	по существу своему	1	1
137	при всем своем	1	1
138	в году и	1	1
139	в работе над	1	1
140	он говорит в	1	1
141	как мы знаем	1	1
142	из которых он	1	1
143	же время она	1	1
144	том или ином	1	1
145	в этом же	1	1
146	может быть в	1	1
147	как это было	1	1
148	как один из	1	1
149	быть определена как	1	1
150	творческий процесс не	2	1
151	хотя и не	1	1
152	горя от ума	1	1
153	но в то	1	1
154	об отсутствии у	1	1
155	может быть определена	1	1
156	не подлежит сомнению	1	1
157	в ноябре года	1	1
158	всех этих и	2	1
159	другой стороны он	1	1
160	во всех этих	2	1
161	именно в том	1	1
162	он и не	1	1
163	есть познанная необходимость	1	1
164	не могут быть	4	1
165	вмешивается в ход	1	1
166	не как на	1	1
167	художника может быть	1	1
168	не требуется чтобы	1	1
169	теми или иными	1	1
170	в искусстве но	1	1
171	и не может	2	1
172	по существу в	1	1
173	вопрос о том	1	1
174	т п это	1	1
175	приводит к тому	2	1
176	это и есть	3	1
177	всей ее полноте	1	1
178	нет и не	1	1
179	не удивительно поэтому	1	1
180	тот или иной	1	1
181	имеем дело с	1	1
182	но и для	1	1
183	может быть и	1	1
