N	3gram	Bakhtin_sl	KFilosof
1	по отношению к	2	22
2	не может быть	11	11
3	с точки зрения	11	10
4	в его целом	1	10
5	единого и единственного	5	9
6	может быть только	3	7
7	в отвлечении от	1	5
8	ни в чем	1	4
9	в чем не	1	4
10	единому и единственному	1	4
11	единый и единственный	4	3
12	того или иного	2	3
13	но и здесь	3	3
14	между тем как	1	3
15	во всех своих	1	3
16	могла бы быть	1	3
17	в нем и	1	3
18	и в этом	2	3
19	в том что	4	2
20	к единому и	1	2
21	той или иной	13	2
22	от единого и	1	2
23	и может быть	1	2
24	во всем его	1	2
25	то или иное	1	2
26	имеем в виду	1	2
27	мы говорим о	1	2
28	всех своих моментах	1	2
29	тем не менее	2	2
30	бы и не	1	2
31	в то же	15	2
32	он может быть	1	2
33	включает в себя	3	2
34	во всех этих	2	2
35	в этом его	1	2
36	то ни было	1	2
37	на своем месте	1	2
38	а не в	1	2
39	и в нем	1	2
40	бы то ни	1	2
41	то же время	15	2
42	подхода к действительности	1	1
43	для него самого	1	1
44	себе а именно	1	1
45	время от времени	1	1
46	сих пор не	2	1
47	лежит в основе	1	1
48	даже там где	1	1
49	не должно быть	1	1
50	в свою очередь	3	1
51	своем месте и	1	1
52	это не значит	2	1
53	с человеком как	1	1
54	но прежде всего	1	1
55	и иных разновидностей	1	1
56	равно как и	1	1
57	самого по себе	1	1
58	по себе а	1	1
59	во всяком случае	7	1
60	а не к	1	1
61	том что между	1	1
62	на то что	1	1
63	на задний план	1	1
64	и во всех	2	1
65	в большинстве случаев	11	1
66	бы и с	1	1
67	до конца в	1	1
68	в средние века	1	1
69	а не как	2	1
70	во всех его	8	1
71	оно ни было	1	1
72	именно там где	1	1
73	конечно не в	1	1
74	но сама она	1	1
75	хотя бы и	5	1
76	не есть еще	1	1
77	и не в	1	1
78	не может войти	1	1
79	может войти в	1	1
80	а следовательно и	2	1
81	для того чтобы	1	1
82	в себя момент	1	1
83	уже не в	1	1
84	с ним в	1	1
85	и вследствие этого	1	1
86	отношении к нему	1	1
87	рядом с собой	1	1
88	себя в своем	1	1
89	это было показано	1	1
90	себя в нем	3	1
91	и их взаимное	1	1
92	со всех сторон	1	1
93	себя до конца	1	1
94	в нем его	1	1
95	действительность при этом	1	1
96	и на своем	1	1
97	в противном случае	1	1
98	нисколько не понижает	1	1
99	как это было	1	1
100	и связанных с	2	1
101	до сих пор	4	1
102	все это может	1	1
103	по самому своему	1	1
104	в качестве необходимого	1	1
105	в первом случае	2	1
106	дело в том	1	1
107	может казаться что	1	1
108	жизни в его	1	1
109	но в то	6	1
110	в лучшем случае	3	1
111	всех этих случаях	1	1
112	его целом с	1	1
113	нечто чего не	1	1
114	для того или	1	1
115	уже не только	2	1
116	и в то	6	1
117	как бы ни	2	1
118	и все остальные	1	1
119	лишь при условии	1	1
120	каково бы оно	1	1
121	в его собственном	1	1
122	не менее в	1	1
123	остановимся еще на	1	1
124	в нем не	1	1
125	но во всяком	1	1
126	лежащий в основе	1	1
127	мы ничего не	1	1
128	тем или иным	1	1
129	в зависимости от	4	1
130	с ним и	1	1
131	не может не	5	1
132	людей и их	1	1
133	хотя бы только	1	1
134	но в этом	2	1
135	все это разные	1	1
136	она всегда в	1	1
137	в нем в	6	1
138	нет подхода к	1	1
139	никогда не может	2	1
140	к тому что	2	1
141	но все это	1	1
142	одновременно и в	2	1
143	влечет за собой	1	1
144	как к таковому	1	1
145	в нем для	1	1
146	в известном смысле	2	1
147	то прежде всего	1	1
148	бы оно ни	1	1
149	но это не	1	1
150	в значительной степени	6	1
151	связанная с ним	1	1
152	до конца и	3	1
153	связанных с ними	1	1
154	мы не можем	1	1
155	свой смысл и	1	1
156	в другом случае	3	1
157	он живет и	1	1
158	может быть и	2	1
