N	4gram	Trubetskoy	Morfolog
1	образом мы видим что	1	4
2	таким образом мы видим	1	4
3	состоит в том что	1	3
4	в то время как	1	3
5	в том случае если	4	2
6	бы то ни было	3	2
7	в тех случаях когда	1	2
8	как бы то ни	2	1
9	с этой точки зрения	1	1
10	то для того чтобы	1	1
11	а на самом деле	1	1
12	первый взгляд кажется что	1	1
13	на первый взгляд кажется	1	1
14	в том что он	1	1
15	одно и то же	1	1
16	говорили лишь о тех	1	1
17	в то же время	2	1
18	только в том случае	1	1
19	до сих пор не	5	1
20	приводит к тому что	1	1
21	а для того чтобы	1	1
22	с самого начала в	1	1
23	в том что все	1	1
24	друг на друга что	1	1
25	мы говорили лишь о	1	1
