N	4gram	Tiupa_Anal	SlovoVZh
1	так как если бы	1	4
2	бы то ни было	3	3
3	сколько бы мы ни	1	3
4	по отношению к предмету	1	2
5	одно и то же	2	2
6	у него свое незаместимое	1	1
7	обнимает все эти три	1	1
8	бы выводит слово за	1	1
9	действительно произнесенное или осмысленно	1	1
10	одна и та же	1	1
11	это особый тип общения	1	1
12	говорят героя слово социальное	1	1
13	в вещи и не	1	1
14	того о ком или	1	1
15	существеннейшее влияние на все	1	1
16	в интонации соприкасается говорящий	1	1
17	говорящий со слушателями интонация	1	1
18	мы имеем дело с	4	1
19	слово за его словесные	1	1
20	учитывает третьего слушателя который	1	1
21	взятой психике творца и	1	1
22	выражение и продукт социального	1	1
23	и того о ком	1	1
24	слово есть выражение и	1	1
25	третьего слушателя который и	1	1
26	влияние на все моменты	1	1
27	который и оказывает существеннейшее	1	1
28	свое незаместимое место в	1	1
29	на самом же деле	1	1
30	интонации соприкасается говорящий со	1	1
31	в самом деле в	1	1
32	какой бы то ни	2	1
33	но в то же	2	1
34	собственной только ему свойственной	1	1
35	вещи и не в	1	1
36	и продукт социального взаимодействия	1	1
37	о ком или о	1	1
38	и в этом смысле	1	1
39	в психике созерцателя художественное	1	1
40	в науке о литературе	1	1
41	все эти три момента	1	1
42	героя слово социальное событие	1	1
43	одним и тем же	1	1
44	чем говорят героя слово	1	1
45	не может быть ни	1	1
46	тип общения обладающий собственной	1	1
47	как бы выводит слово	1	1
48	незаместимое место в событии	1	1
49	все время учитывает третьего	1	1
50	произнесенное или осмысленно написанное	1	1
51	общения обладающий собственной только	1	1
52	него свое незаместимое место	1	1
53	мы имеем в виду	1	1
54	за его словесные пределы	1	1
55	психике творца и не	1	1
56	и оказывает существеннейшее влияние	1	1
57	слушателя который и оказывает	1	1
58	созерцателя художественное обнимает все	1	1
59	именно в интонации соприкасается	1	1
60	и не в психике	1	1
61	ком или о чем	1	1
62	или о чем говорят	1	1
63	читателя и того о	1	1
64	особый тип общения обладающий	1	1
65	творца и не в	1	1
66	место в событии художественного	1	1
67	не в вещи и	1	1
68	ни в коем случае	2	1
69	случае мы имеем дело	1	1
70	есть выражение и продукт	1	1
71	бы оно ни было	1	1
72	в изолированно взятой психике	1	1
73	выводит слово за его	1	1
74	обладающий собственной только ему	1	1
75	психике созерцателя художественное обнимает	1	1
76	и не в изолированно	1	1
77	имеем в виду не	1	1
78	время учитывает третьего слушателя	1	1
79	и не может быть	4	1
80	взаимодействия трех говорящего автора	1	1
81	интонация как бы выводит	1	1
82	продукт социального взаимодействия трех	1	1
83	на все моменты произведения	1	1
84	о чем говорят героя	1	1
85	соприкасается говорящий со слушателями	1	1
86	в событии художественного творчества	1	1
87	художественное обнимает все эти	1	1
88	в то же время	7	1
89	не в изолированно взятой	1	1
90	оказывает существеннейшее влияние на	1	1
91	только ему свойственной формой	1	1
92	изолированно взятой психике творца	1	1
93	социального взаимодействия трех говорящего	1	1
94	не в психике созерцателя	1	1
95	один и тот же	1	1
96	находится не в вещи	1	1
