N	2gram	Tiupa_Anal	IolandNe
1	и с	2	3
2	что в	7	2
3	он не	4	2
4	должен быть	6	2
5	ничего не	10	2
6	и не	33	2
7	в этом	31	2
8	говорить о	3	1
9	все эти	3	1
10	для того	4	1
11	а в	11	1
12	и о	3	1
13	это было	1	1
14	и та	2	1
15	что для	1	1
16	для него	5	1
17	не остается	2	1
18	вплоть до	2	1
19	с героем	1	1
20	тех же	1	1
21	тем что	2	1
22	такого знания	1	1
23	не случайно	11	1
24	только что	1	1
25	ибо и	1	1
26	бы столь	1	1
27	от нее	1	1
28	не слишком	1	1
29	того же	7	1
30	художественного творчества	2	1
31	не так	3	1
32	и др	1	1
33	о жизни	3	1
34	первую очередь	1	1
35	жизни и	1	1
36	с другой	7	1
37	но когда	1	1
38	в целом	9	1
39	более чем	4	1
40	было не	1	1
41	он с	1	1
42	точно и	1	1
43	очевидно что	1	1
44	в эту	3	1
45	другой стороны	2	1
46	я не	2	1
47	себя в	8	1
48	к отцу	1	1
49	могло бы	1	1
50	то и	2	1
51	в первую	1	1
52	если бы	6	1
53	отношению к	9	1
54	следующим образом	1	1
55	в художественном	4	1
56	по существу	1	1
57	и сам	4	1
58	того что	5	1
59	них не	1	1
60	а с	3	1
61	стало быть	2	1
62	только для	3	1
63	по поводу	4	1
64	и тот	2	1
65	а также	8	1
66	так и	16	1
67	художественном творчестве	1	1
68	автора и	4	1
69	в основе	6	1
70	все четыре	1	1
71	в значительной	1	1
72	оказывается для	1	1
73	та и	1	1
74	того чтобы	3	1
75	что последний	1	1
76	бы в	3	1
77	с жизнью	1	1
78	и в	30	1
79	никогда не	4	1
80	все это	2	1
81	по отношению	10	1
82	как смерть	2	1
83	на котором	3	1
84	нисколько не	1	1
85	эпизод с	1	1
86	как о	2	1
87	то она	1	1
88	в них	1	1
