N	2gram	Berdyaev_V	OGranits
1	и в	16	13
2	прежде всего	2	9
3	может быть	1	8
4	и не	20	8
5	в его	4	7
6	не только	2	6
7	только в	2	6
8	то что	9	6
9	как бы	5	6
10	хотя бы	3	5
11	в процессе	1	5
12	все же	1	5
13	и эта	1	5
14	мы не	2	4
15	то же	1	4
16	еще и	1	4
17	все это	5	4
18	в сознании	1	4
19	лишь в	3	4
20	в своей	3	4
21	в двух	1	4
22	но мы	2	4
23	но в	3	4
24	что в	3	3
25	и то	2	3
26	в искусстве	1	3
27	и уже	1	3
28	так и	4	3
29	говорить о	4	3
30	есть прежде	1	3
31	в одном	1	3
32	превращается в	3	3
33	в их	1	3
34	в ее	1	3
35	не в	3	3
36	в которой	1	3
37	и все	4	3
38	так как	9	3
39	да и	2	3
40	но и	5	3
41	и для	3	3
42	как и	4	3
43	никогда не	3	3
44	в самом	1	2
45	во всем	1	2
46	нет ничего	3	2
47	что они	7	2
48	материалом для	2	2
49	мы видим	1	2
50	в своих	1	2
51	в этом	4	2
52	которое может	1	2
53	для себя	1	2
54	роль в	1	2
55	между тем	2	2
56	для него	2	2
57	и тем	1	2
58	ее в	2	2
59	в том	3	2
60	в которую	1	2
61	с этой	1	2
62	конечно в	1	2
63	вслед за	2	2
64	другой стороны	1	2
65	от этого	3	2
66	так же	1	2
67	в них	3	2
68	а в	2	2
69	мира если	1	2
70	в ней	4	2
71	тем что	2	2
72	могут быть	2	2
73	вовсе не	1	2
74	между собою	1	2
75	его на	1	2
76	с ними	1	2
77	все эти	3	2
78	с другой	1	2
79	как в	1	2
80	не имеет	3	2
81	том что	2	2
82	в нем	4	2
83	уже в	1	2
84	зависимости от	1	2
85	а не	7	2
86	в чем	3	2
87	в целом	1	2
88	и ее	1	2
89	тот же	3	2
90	к тому	3	2
91	есть не	1	2
92	бы в	1	2
93	застывшее в	1	1
94	его к	2	1
95	всего в	2	1
96	к счастью	3	1
97	ее и	2	1
98	один из	2	1
99	вообще в	1	1
100	и столь	1	1
101	то это	3	1
102	она и	1	1
103	в последнем	2	1
104	существует лишь	1	1
105	вопрос о	1	1
106	что мы	4	1
107	на этом	1	1
108	они не	1	1
109	которым можно	2	1
110	не имеют	1	1
111	ее на	1	1
112	которые не	2	1
113	указать на	1	1
114	должно быть	3	1
115	того как	1	1
116	и уж	1	1
117	и который	1	1
118	и вот	1	1
119	на том	2	1
120	это все	2	1
121	когда я	2	1
122	потому что	4	1
123	не сумеет	1	1
124	он всегда	1	1
125	того чтобы	2	1
126	и если	1	1
127	для того	1	1
128	тому что	3	1
129	и должна	1	1
130	что всякий	1	1
131	нам могут	1	1
132	истину что	1	1
133	его и	2	1
134	не всегда	1	1
135	в своем	1	1
136	в разных	1	1
137	и тогда	2	1
138	нужна для	1	1
139	и закономерности	1	1
140	сознании и	1	1
141	как это	1	1
142	но может	1	1
143	мы в	1	1
144	мы все	1	1
145	своей истории	2	1
146	и что	3	1
147	для человека	2	1
148	для них	2	1
149	можно было	2	1
150	в этой	1	1
151	людей и	2	1
152	это слово	1	1
153	сложность и	1	1
154	в виду	1	1
155	быть может	1	1
156	и до	1	1
157	истории и	2	1
158	нет никакого	1	1
159	и есть	4	1
160	конечно не	2	1
161	но это	3	1
162	в истории	8	1
163	все равно	2	1
164	лишь как	1	1
165	в новых	1	1
166	человека и	6	1
167	до того	2	1
168	связь с	1	1
169	и последнее	2	1
170	не было	3	1
171	ко всем	1	1
172	если не	3	1
173	о возможности	1	1
174	существует как	1	1
175	как мог	1	1
176	и над	2	1
177	сознания не	1	1
178	духа но	2	1
179	их в	3	1
180	нет и	2	1
181	отношение к	1	1
182	жизнь как	1	1
183	природы и	1	1
184	раз навсегда	2	1
185	на себя	5	1
186	менее всего	1	1
187	и никогда	2	1
188	него не	1	1
189	по которым	2	1
190	найти в	1	1
191	превращаются в	2	1
192	уже на	2	1
193	он говорит	1	1
194	в конце	3	1
195	мы это	2	1
196	в образе	4	1
197	есть духовное	1	1
198	к этому	1	1
199	за которым	1	1
200	места ему	1	1
201	в понимании	1	1
202	уж конечно	2	1
203	равно не	1	1
204	что он	4	1
205	им и	1	1
206	или даже	1	1
207	не существует	1	1
208	властью и	1	1
209	но что	1	1
210	в мире	5	1
211	вместе с	1	1
212	и вместе	1	1
213	одна из	2	1
214	этого слова	1	1
215	в которых	1	1
216	но не	2	1
217	с его	3	1
218	и именно	1	1
219	себя и	1	1
220	выбора все	1	1
221	не создает	2	1
222	не будут	1	1
223	может и	1	1
224	когда в	2	1
225	в себя	2	1
226	мы слышим	2	1
227	в нашу	1	1
228	и это	2	1
229	и чем	1	1
230	в едином	1	1
231	в виде	1	1
232	от него	2	1
233	и другое	1	1
234	к нему	1	1
235	еще не	8	1
