N	2gram	Savitsky_E	Myslijsy
1	потому что	3	182
2	то есть	6	142
3	и в	37	121
4	может быть	6	107
5	в том	11	103
6	то что	6	83
7	для нас	4	75
8	что в	21	73
9	и не	14	73
10	только в	9	72
11	не только	18	67
12	а не	2	67
13	таким образом	2	64
14	в этом	12	59
15	но и	14	59
16	том что	6	59
17	так как	7	59
18	то же	15	56
19	не в	5	54
20	если бы	2	53
21	в себе	9	53
22	по себе	4	52
23	не может	9	52
24	того что	7	47
25	в сознании	1	46
26	было бы	8	45
27	в нем	1	45
28	не есть	2	42
29	как и	7	42
30	вместе с	2	39
31	что и	3	38
32	мы не	4	38
33	при этом	1	37
34	как в	3	37
35	так и	10	37
36	тогда когда	2	36
37	что мы	1	36
38	тем что	3	33
39	и что	2	32
40	по отношению	1	30
41	а в	2	30
42	что не	1	29
43	между тем	8	29
44	но не	5	29
45	вовсе не	6	28
46	мы можем	3	28
47	для него	1	28
48	есть только	1	28
49	с этим	2	27
50	могут быть	2	27
51	не было	1	26
52	независимо от	4	26
53	и т	1	26
54	то и	1	26
55	этого слова	1	25
56	в то	16	24
57	с тем	3	23
58	как бы	6	23
59	от того	1	23
60	то это	1	22
61	с другой	7	22
62	не имеет	4	22
63	только тогда	1	22
64	но в	14	22
65	и потому	5	21
66	не менее	1	21
67	мысль о	1	20
68	в одном	2	20
69	в ней	4	20
70	и как	2	19
71	но это	1	19
72	сказать что	4	19
73	с ним	1	19
74	того же	3	19
75	что это	2	19
76	и то	2	19
77	о том	3	19
78	заключает в	3	19
79	тем самым	5	19
80	должно быть	1	19
81	есть не	2	19
82	в самом	4	18
83	в таком	3	18
84	для того	6	18
85	не могут	2	18
86	очевидно что	3	18
87	в каком	4	18
88	тогда как	1	18
89	точки зрения	23	17
90	со стороны	5	17
91	слова и	1	17
92	заметить что	2	17
93	что оно	1	17
94	уже в	1	17
95	в его	2	17
96	во всяком	3	17
97	не можем	2	17
98	и на	6	16
99	к тому	8	16
100	так же	9	16
101	в своем	14	16
102	в них	3	16
103	или же	1	16
104	есть нечто	1	16
105	что если	2	16
106	и наоборот	1	16
107	на то	6	16
108	быть может	1	15
109	в этих	2	15
110	уже не	1	15
111	с одной	8	15
112	с другими	2	15
113	и тем	3	15
114	и по	5	15
115	в свою	3	15
116	т д	1	15
117	прежде всего	9	15
118	думать что	8	15
119	все же	1	14
120	в котором	2	14
121	свою очередь	2	14
122	то в	4	14
123	связи с	1	14
124	во всех	6	14
125	когда мы	1	14
126	столь же	5	14
127	бы ни	3	14
128	там где	3	14
129	должны быть	1	14
130	в истории	2	14
131	же время	14	14
132	мы должны	2	14
133	само по	4	14
134	те же	1	13
135	например в	1	13
136	как на	3	13
137	из них	3	13
138	что все	2	13
139	в смысле	9	13
140	и все	2	13
141	том смысле	1	13
142	зависит от	1	13
143	смысле этого	1	13
144	и его	1	13
145	одно из	1	12
146	другой стороны	2	12
147	более или	1	12
148	никогда не	3	12
149	хотя и	2	12
150	оно не	1	12
151	все остальные	1	12
152	всяком случае	3	12
153	что же	2	12
154	относится к	1	12
155	есть в	2	12
156	или менее	1	12
157	тем более	4	12
158	как мы	5	12
159	что на	2	12
160	все что	1	11
161	и если	2	11
162	имеет для	1	11
163	которые мы	1	11
164	из себя	1	11
165	и это	1	11
166	к нему	2	11
167	в состоянии	1	11
168	и притом	4	11
169	в силу	2	11
170	мы видели	3	11
171	того чтобы	6	11
172	к ней	4	11
173	той же	1	11
174	что для	1	11
175	если не	1	11
