N	3gram	Ircho_Kome	OGranits
1	с точки зрения	6	5
2	не может быть	1	4
3	до тех пор	5	4
4	тех пор пока	1	3
5	по отношению к	4	3
6	в том что	15	2
7	ничего общего с	1	2
8	в зависимости от	1	2
9	в самом деле	13	2
10	в г в	1	2
11	с одной стороны	4	2
12	с другой стороны	2	2
13	с самого начала	5	2
14	само собой разумеется	3	1
15	не было бы	1	1
16	в этот момент	1	1
17	собственном смысле слова	1	1
18	так же точно	1	1
19	в течение всей	1	1
20	и тот же	3	1
21	предположение о возможности	1	1
22	чуть ли не	2	1
23	для понимания всего	1	1
24	человека и его	1	1
25	равно как и	3	1
26	подобно тому как	1	1
27	в конечном счете	2	1
28	если говорить о	1	1
29	так же как	1	1
30	на то что	1	1
31	для того чтобы	8	1
32	в пределах того	1	1
33	том что в	1	1
34	и никогда не	1	1
35	он и не	2	1
36	при таком подходе	1	1
37	его роль в	1	1
38	в чем же	2	1
39	собой разумеется что	3	1
40	тому что он	1	1
41	в собственном смысле	1	1
42	того же автора	2	1
43	в нем только	1	1
44	тех случаях когда	1	1
45	один и тот	3	1
46	в задачу данной	1	1
47	должно было бы	1	1
48	в отличие от	3	1
49	этой точки зрения	1	1
50	в связи с	3	1
51	то же самое	3	1
52	в своих руках	1	1
53	к тому что	1	1
54	тем не менее	3	1
55	но столь же	2	1
56	и в его	1	1
57	еще тем что	1	1
58	и к тому	2	1
59	так как все	1	1
60	в этом отношении	2	1
61	то же время	11	1
62	далеко не всегда	1	1
63	более или менее	2	1
64	в то же	11	1
65	в виду что	1	1
66	едва ли кто-нибудь	1	1
67	и все социальное	1	1
68	с этой точки	1	1
69	можно было бы	1	1
70	мы не можем	1	1
71	в тех случаях	1	1
72	состоит в том	2	1
73	и не может	1	1
74	и призыв к	1	1
