N	3gram	Losev_Dial	VelikijI
1	за то что	1	3
2	к тому что	2	3
3	то что мы	3	3
4	и т д	38	2
5	в том что	12	2
6	в вопросе о	2	2
7	в нем нет	2	2
8	не в силах	2	2
9	как бы и	1	2
10	того что он	4	1
11	во что бы	1	1
12	что бы то	1	1
13	оно не имеет	1	1
14	если оно не	1	1
15	к чему же	1	1
16	т д и	8	1
17	другой стороны в	1	1
18	не утверждение личности	1	1
19	вслед за ним	1	1
20	как не есть	1	1
21	в конце концов	1	1
22	если бог не	1	1
23	но прежде всего	1	1
24	и во всяком	1	1
25	и вместе с	1	1
26	мы видим что	2	1
27	да и то	1	1
28	в этом мире	1	1
29	есть то что	8	1
30	от бога и	1	1
31	потому что их	1	1
32	в ней и	1	1
33	в разные эпохи	1	1
34	и никогда не	1	1
35	по сравнению с	1	1
36	есть прежде всего	4	1
37	как и в	3	1
38	и то и	1	1
39	нет ничего и	1	1
40	и что в	1	1
41	по крайней мере	10	1
42	с ними как	1	1
43	д и т	7	1
44	не могут быть	3	1
45	то и другое	2	1
46	что все в	2	1
47	в жизни и	1	1
48	как бы в	1	1
49	есть одна из	1	1
50	нем нет никакого	2	1
51	и в вопросе	1	1
52	с другой стороны	3	1
53	свою личность как	1	1
54	и все это	1	1
55	вот почему в	1	1
56	личности и ее	2	1
57	и можно ли	2	1
58	бы то ни	2	1
59	тогда нет и	4	1
60	уже и не	1	1
61	все что было	1	1
62	и есть то	1	1
63	и в этом	4	1
64	то ни стало	1	1
65	я думаю что	1	1
