N	2gram	Berdyaev_V	slovoVRo
1	и в	16	92
2	и т	2	82
3	то есть	1	64
4	может быть	1	59
5	в нем	4	59
6	и не	20	51
7	не только	2	44
8	но и	5	39
9	в этом	4	36
10	а не	7	34
11	во всех	3	32
12	так и	4	30
13	могут быть	2	29
14	в его	4	27
15	все это	5	25
16	как бы	5	24
17	то же	1	23
18	и на	1	22
19	как в	1	21
20	не в	3	21
21	вовсе не	1	21
22	в процессе	1	20
23	прежде всего	2	19
24	как мы	1	19
25	с ним	2	18
26	как и	4	18
27	оно не	3	17
28	все же	1	17
29	в истории	8	17
30	все эти	3	17
31	в них	3	16
32	но в	3	16
33	и с	1	15
34	человек и	1	15
35	только в	2	14
36	это не	2	13
37	с другой	1	13
38	с его	3	13
39	и для	3	13
40	еще не	8	12
41	во всяком	2	12
42	никогда не	3	12
43	и потому	7	12
44	а в	2	12
45	отношение к	1	12
46	один из	2	11
47	в этих	3	11
48	с ними	1	11
49	для него	2	11
50	и все	4	10
51	уже не	2	10
52	лишь в	3	10
53	т д	2	10
54	в своем	1	10
55	в том	3	10
56	она не	1	10
57	в своей	3	9
58	конечно не	2	9
59	так как	9	9
60	одна из	2	9
61	в их	1	9
62	и мир	1	9
63	и от	1	9
64	но не	2	9
65	к нему	1	9
66	в самом	1	8
67	для нас	2	8
68	не могут	2	8
69	зависимости от	1	8
70	человека в	1	8
71	человека и	6	8
72	в ней	4	8
73	во всем	1	7
74	от него	2	7
75	же и	1	7
76	но все	1	7
77	том что	2	7
78	у него	1	7
79	не было	3	7
80	его не	2	7
81	с которым	1	7
82	жизни и	3	7
83	в целом	1	7
84	что в	3	6
85	в одном	1	6
86	ни в	3	6
87	другой стороны	1	6
88	роль в	1	6
89	себя и	1	6
90	говорить о	4	6
91	бы и	3	6
92	мира и	1	6
93	на этом	1	6
94	хотя бы	3	6
95	между тем	2	6
96	ничего не	1	6
97	должна быть	3	5
98	в результате	1	5
99	они не	1	5
100	вместе с	1	5
101	его и	2	5
102	мы не	2	5
103	для того	1	5
104	своим словом	1	5
105	уже в	1	5
106	хотя и	5	5
107	слова не	1	5
108	или даже	1	5
109	слова с	1	5
110	не с	2	5
111	и сам	2	5
