N	2gram	Vinokur_Vv	Literetu
1	а не	5	50
2	и не	13	47
3	не только	26	46
4	и в	35	44
5	может быть	30	43
6	при этом	3	41
7	но и	7	41
8	тогда как	2	40
9	в том	38	39
10	в этом	35	38
11	своего рода	3	37
12	том что	30	32
13	такого рода	3	30
14	в частности	3	30
15	то что	19	29
16	в качестве	8	27
17	то же	11	26
18	состоит в	2	26
19	как и	7	23
20	в то	6	23
21	себя в	2	22
22	не в	10	22
23	того что	12	22
24	так и	2	22
25	не может	19	22
26	я и	1	21
27	же время	6	21
28	и т.п	1	20
29	в себе	4	20
30	прежде всего	10	19
31	как бы	7	18
32	с другой	8	17
33	точки зрения	12	17
34	в его	12	17
35	в жизни	1	16
36	в этой	3	16
37	не менее	9	15
38	только в	16	15
39	со стороны	16	15
40	в целом	5	15
41	и даже	6	14
42	по отношению	4	14
43	однако в	3	14
44	что он	5	14
45	уже не	6	13
46	в своем	3	13
47	с одной	4	13
48	как это	5	13
49	в тексте	4	13
50	но не	9	13
51	и его	6	13
52	в своей	4	12
53	о том	16	12
54	в данном	11	12
55	одной стороны	4	12
56	одним из	5	12
57	еще не	4	12
58	отношению к	4	12
59	а также	3	12
60	не столько	2	11
61	в другом	3	11
62	никогда не	3	11
63	в конечном	3	11
64	и сам	3	11
65	еще в	1	11
66	вместе с	6	11
67	как в	3	11
68	в отличие	4	11
69	данном случае	5	11
70	это не	8	11
71	отличие от	4	11
72	или иначе	4	11
73	а в	6	11
74	в принципе	3	10
75	в противовес	1	10
76	из них	4	10
77	в ее	11	10
78	что в	13	10
79	и на	3	10
80	для себя	1	10
81	так или	4	10
82	потому что	18	10
83	этом отношении	4	10
84	жизни и	2	10
85	в области	4	10
86	с этой	5	9
87	к тому	4	9
88	представляет собой	14	9
89	искусства и	2	9
90	связи с	3	9
91	один из	6	9
92	одно из	5	9
93	в начале	3	9
94	и т.д	5	9
95	лишь в	1	9
96	же в	1	9
97	говоря уже	2	8
98	в своих	2	8
99	тем что	6	8
100	все же	9	8
