N	2gram	Tiupa_Narr	KFilosof
1	может быть	25	45
2	в его	9	42
3	в нем	4	32
4	не может	10	29
5	и не	20	28
6	и в	19	28
7	по отношению	7	26
8	в котором	1	24
9	не есть	3	22
10	отношению к	6	22
11	в себе	8	21
12	только в	4	18
13	и его	5	18
14	в своем	2	17
15	в ее	3	17
16	а не	12	17
17	в этом	17	15
18	для него	2	13
19	не в	14	13
20	точки зрения	10	13
21	к нему	5	12
22	мир в	1	12
23	ни в	3	12
24	но не	6	12
25	все эти	2	11
26	во всех	1	11
27	соотнесении с	1	11
28	это не	2	10
29	в едином	1	10
30	с точки	2	10
31	и есть	2	10
32	бытия и	1	10
33	и для	2	10
34	в целом	1	10
35	в их	1	9
36	и все	2	9
37	но и	23	9
38	как бы	4	9
39	не было	2	8
40	если бы	1	8
41	быть только	1	8
42	в мире	9	8
43	со стороны	9	8
44	было бы	4	8
45	лишь в	1	8
46	в себя	6	8
47	жизни и	3	8
48	себя в	5	8
49	и здесь	1	7
50	этот момент	1	7
51	что и	1	7
52	вовсе не	1	7
53	уже не	5	7
54	совершенно не	2	7
55	то что	11	7
56	для себя	1	7
57	и только	2	7
58	отнюдь не	5	7
59	мир как	1	6
60	отвлечении от	2	6
61	но все	4	6
62	не имеет	2	6
63	в смысле	1	6
64	в том	18	6
65	отношение к	2	6
66	место в	1	6
67	он не	3	6
68	но это	1	6
69	мира в	5	6
70	от его	1	5
71	то же	4	5
72	мы имеем	2	5
73	не только	32	5
74	мира но	1	5
75	с ним	1	5
76	но как	2	5
77	в ценностном	1	5
78	его в	2	5
79	не знает	1	5
80	в основе	5	5
81	но в	6	5
82	именно в	6	5
83	бы быть	3	5
84	как и	7	5
85	все же	7	5
86	жизни в	3	5
87	себя и	2	5
88	еще не	7	5
89	бытия как	1	5
90	хотя бы	4	5
91	а в	11	5
92	его как	2	5
93	жизни как	3	5
94	в отвлечении	2	5
95	событие в	2	5
96	бытия в	3	5
97	никогда не	3	5
98	что в	3	4
99	нему в	1	4
100	отношению ко	1	4
101	поскольку мы	1	4
102	должна быть	2	4
103	при этом	9	4
104	ни было	3	4
105	что это	3	4
106	о нем	4	4
107	не как	2	4
108	для нас	1	4
109	прежде всего	4	4
110	с ними	1	4
111	мира и	2	4
112	том что	14	4
113	в чем	1	4
114	это мир	1	4
115	ценностного центра	2	4
116	входит в	1	4
117	во всей	2	4
118	не по	1	4
119	между тем	3	4
120	здесь мы	1	4
121	времени и	7	4
122	тем самым	6	4
123	и т.д	7	4
124	вне ее	1	4
125	жизни но	2	3
126	от него	1	3
