N	4gram	Tiupa_Hudo	Freidism
1	в то же время	7	6
2	не может быть и	1	4
3	но в то же	1	3
4	заключается в том что	1	2
5	в том что она	1	2
6	в том что он	2	2
7	бы то ни было	2	2
8	только то что может	1	1
9	том что он не	1	1
10	и его роли в	1	1
11	ни в коем случае	2	1
12	и по отношению к	1	1
13	мы имеем в виду	3	1
14	в таком случае это	1	1
15	но в отличие от	1	1
16	одно и то же	3	1
17	в отличие от обычного	1	1
18	в коем случае не	2	1
19	во внешнем мире и	1	1
20	и прежде всего к	1	1
21	в одной из своих	1	1
22	по отношению к его	1	1
23	между субъективной и объективной	1	1
24	не что иное как	1	1
25	и в то же	2	1
26	за пределы всего что	1	1
27	есть не что иное	1	1
