N	3gram	Losev_Dial	StatiiOP
1	в том что	12	47
2	и т д	28	32
3	о том что	6	29
4	в этом отношении	2	24
5	для того чтобы	1	19
6	до сих пор	4	19
7	и т п	3	19
8	с точки зрения	18	14
9	с другой стороны	7	13
10	во всяком случае	3	13
11	не может быть	4	11
12	в самом деле	3	9
13	то же время	8	9
14	вместе с тем	1	9
15	на то что	4	9
16	в то же	7	9
17	дело в том	1	9
18	можно было бы	4	9
19	тем не менее	3	8
20	к тому что	3	8
21	на самом деле	3	8
22	не только в	2	8
23	не в том	2	7
24	в конце концов	4	7
25	в данном случае	1	7
26	но также и	1	7
27	но все же	2	7
28	в то время	2	7
29	и в этом	4	7
30	том что он	1	7
31	так же как	1	6
32	в этом смысле	4	6
33	том что в	1	6
34	я думаю что	1	6
35	речь идет о	1	6
36	по крайней мере	11	6
37	в том смысле	4	6
38	т д но	2	6
39	вопрос о том	1	6
40	что он не	2	5
41	то время как	2	5
42	но и в	1	5
43	в том чтобы	1	5
44	как раз в	1	5
45	что же касается	1	5
46	с самого начала	2	5
47	то что он	1	4
48	дело не в	1	4
49	так или иначе	3	4
50	сами по себе	4	4
51	с одной стороны	3	4
52	как например в	1	4
53	ничего общего с	3	4
54	мне кажется что	1	4
55	в связи с	3	4
56	но это не	2	4
57	в это время	1	4
58	иметь в виду	4	4
59	и в том	1	4
60	что и в	1	4
61	имеет ничего общего	3	3
62	это не значит	3	3
63	я вовсе не	1	3
64	только потому что	4	3
65	том смысле что	3	3
66	в том как	1	3
67	можно сказать что	6	3
68	то или иное	4	3
69	говоря уже о	1	3
70	не значит что	6	3
71	более или менее	5	3
72	сказать что в	1	3
73	потому что он	5	3
74	не имеет ничего	3	3
75	это не просто	1	3
76	только что в	1	3
77	к тому же	2	3
78	что это не	1	3
79	но все это	2	3
80	если принять во	1	3
81	и тем не	1	3
82	как и вообще	1	3
83	т е не	1	3
84	и не в	1	3
85	только в том	1	3
86	в каком смысле	1	3
87	не говоря уже	1	3
88	во всех этих	1	3
89	борис годунов и	1	3
90	в первую очередь	1	3
91	принять во внимание	2	3
92	т е в	3	3
93	было бы совершенно	1	3
94	ни в каком	9	2
95	и в другом	1	2
96	и даже не	3	2
97	т д на	1	2
98	в той или	3	2
99	я имею в	1	2
100	из них и	1	2
101	в жизни и	1	2
102	об этом не	1	2
103	одних и тех	1	2
104	все более и	1	2
105	а между тем	1	2
106	в данном месте	1	2
107	в обоих случаях	1	2
108	сомневаться в том	2	2
109	в зависимости от	2	2
110	если бы мы	1	2
111	и вместе с	1	2
112	точно так же	3	2
113	нельзя сказать что	3	2
114	в одних и	1	2
115	и в то	3	2
116	а потому что	2	2
117	же и в	1	2
118	не может не	1	2
119	том что она	1	2
120	то же самое	3	2
121	с тех пор	2	2
122	то что я	2	2
123	имею в виду	1	2
124	только тогда когда	4	2
125	в таком виде	1	2
126	сам по себе	8	2
127	т д и	3	2
128	той или иной	4	2
129	вовсе не в	3	2
130	что это есть	1	2
131	но и это	1	2
132	в чем же	1	2
133	что в общем	1	2
134	по большей части	1	2
135	более и более	1	2
136	и тех же	1	2
137	о которых я	1	2
138	никогда не был	1	2
139	я не могу	2	2
140	на точку зрения	2	2
141	но в то	1	2
142	что если бы	1	2
143	прежде всего необходимо	2	2
144	как бы ни	2	2
145	так что в	1	2
146	и то что	1	2
147	что в нем	4	2
148	чтобы можно было	1	2
149	что это за	3	2
150	может быть и	6	2
151	т е по	3	1
152	все они говорят	1	1
153	но ведь это	2	1
154	ни на одну	1	1
155	но все эти	1	1
156	не существует что	1	1
157	это вполне понятно	1	1
158	что там где	1	1
159	как будто бы	3	1
160	в то или	1	1
161	и больше ничего	1	1
162	каком случае не	3	1
163	конечно это не	1	1
164	одному из них	1	1
165	ли все это	1	1
166	в определенном направлении	1	1
167	этого образа в	1	1
168	с первого взгляда	2	1
169	же это за	1	1
170	во главе с	1	1
171	никто не станет	1	1
172	что в одном	1	1
173	по сравнению с	2	1
174	не приходится также	1	1
175	то что с	1	1
176	чтобы думать что	1	1
177	можно сомневаться в	1	1
178	я бы сказал	1	1
179	того или другого	1	1
180	не наука а	1	1
181	д и т	3	1
182	мы говорим о	1	1
183	в том и	1	1
184	из уст его	1	1
185	из них есть	1	1
186	случае дело не	1	1
187	только на тот	1	1
188	его отношении к	1	1
189	что каждая из	1	1
190	а в том	1	1
191	потому что она	3	1
192	друг от друга	1	1
193	в подлинном смысле	1	1
194	каким он является	1	1
195	на всю жизнь	1	1
196	в голову не	1	1
197	но даже и	1	1
198	и то же	8	1
199	есть и такие	1	1
200	что это было	1	1
201	на этом основании	1	1
202	их точки зрения	1	1
203	во многих отношениях	1	1
204	идее а не	1	1
205	может быть связано	1	1
206	никогда и не	1	1
207	в нем нельзя	1	1
208	он не имеет	1	1
209	нет ни одной	1	1
210	т д в	1	1
211	в каком случае	5	1
212	то что можно	1	1
213	не потому что	5	1
214	того что в	1	1
215	в другом совсем	1	1
216	так что эта	1	1
217	если бы это	1	1
218	с этой стороны	2	1
219	чтобы понять смысл	1	1
220	хотя бы даже	1	1
221	в отношении к	1	1
222	мы находим например	1	1
223	то что эти	1	1
224	что ни в	1	1
225	время во всяком	1	1
226	как у пушкина	1	1
227	уже и сейчас	1	1
228	само по себе	7	1
229	нечего и говорить	2	1
230	надо сказать что	1	1
231	бы сказал что	1	1
232	в каждом из	2	1
233	не было и	1	1
234	если я скажу	1	1
235	по себе не	7	1
236	и что такое	1	1
237	каждой из них	1	1
238	что то или	1	1
239	и смерть пушкина	1	1
240	что же это	1	1
241	связанные с этим	1	1
242	то же можно	1	1
243	время т е	2	1
244	в них нет	2	1
245	все эти качества	1	1
246	значит что мы	1	1
247	с их точки	1	1
248	думать что все	1	1
249	сказать что он	1	1
250	не входя в	1	1
251	есть нечто совершенно	3	1
252	и как он	1	1
253	но как раз	1	1
254	это вовсе не	2	1
255	и говорить о	2	1
256	бы мы стали	1	1
257	только то что	6	1
258	так как он	2	1
259	у пушкина а	1	1
260	это значит что	16	1
261	на одну минуту	1	1
262	не то что	1	1
263	имея в виду	1	1
264	так же и	1	1
265	и о том	1	1
266	и в голову	1	1
267	но так как	1	1
268	т е так	1	1
269	и не может	1	1
270	мы имеем дело	1	1
271	отличается тем что	1	1
272	и эти два	1	1
273	не всегда так	1	1
274	сих пор не	1	1
275	между тем в	1	1
276	крайней мере три	1	1
277	вплоть до последних	1	1
278	для узкого круга	1	1
279	то что она	1	1
280	т д все	2	1
281	друг к другу	2	1
282	это может быть	1	1
283	вместе с ним	1	1
284	что почти все	1	1
285	а на самом	1	1
286	этого последнего слова	1	1
287	и далее в	1	1
288	и может быть	3	1
289	говорит об их	1	1
290	мере того как	1	1
291	от того что	1	1
292	она ни была	1	1
293	и не очень	1	1
294	и тому же	1	1
295	и в особенности	1	1
296	значит что в	3	1
297	выйти за пределы	1	1
298	несет на себе	2	1
299	со всеми его	1	1
300	ни в какой	3	1
301	не выходя за	2	1
302	люди и в	1	1
303	а не по	1	1
304	и в отношении	1	1
