N	2gram	Berdyaev_M	VrazhdaK
1	в бесах	8	10
2	не только	42	9
3	достоевского с	3	9
4	и достоевского	2	9
5	в этом	34	8
6	достоевский и	4	8
7	и в	61	8
8	и что	4	8
9	достоевский в	7	8
10	что в	12	7
11	достоевского в	10	7
12	достоевского и	12	7
13	и все	13	7
14	но и	34	7
15	то что	10	7
16	к достоевскому	8	6
17	о нем	2	6
18	как и	14	6
19	и даже	1	6
20	и с	6	6
21	все же	2	6
22	в котором	9	6
23	в начале	2	6
24	– это	2	6
25	в нем	26	6
26	но в	12	6
27	то же	4	5
28	у него	38	5
29	в россии	2	5
30	и не	26	5
31	между тем	2	5
32	об этом	2	5
33	в письме	1	5
34	не было	25	5
35	в то	2	5
36	это не	10	4
37	с ним	5	4
38	для нас	3	4
39	все это	6	4
40	х годов	1	4
41	в виду	2	4
42	отцов и	1	4
43	в своих	4	4
44	что он	16	4
45	ставрогина в	1	4
46	достоевского не	7	4
47	письме к	1	4
48	уже в	6	4
49	у достоевского	75	4
50	о том	5	4
51	подпольного человека	7	4
52	в дневнике	4	4
53	может быть	42	4
54	в ней	23	4
55	целый ряд	2	4
56	в истории	2	4
57	в россию	1	4
58	как бы	10	4
59	так же	5	4
60	что достоевский	4	4
61	он считал	1	4
62	что у	3	3
63	в его	10	3
64	в том	9	3
65	т е	5	3
66	имел в	1	3
67	достоевского к	8	3
68	сам достоевский	4	3
69	его в	6	3
70	раз в	1	3
71	мысль на	1	3
72	но он	17	3
73	достоевского о	4	3
74	достоевский не	9	3
75	ставрогин –	1	3
76	давно уже	1	3
77	я не	4	3
78	и как	3	3
79	тем что	7	3
80	ставрогина и	2	3
81	в чем	3	3
82	и у	3	3
83	в русской	4	3
84	о себе	3	3
85	человека в	26	3
86	он был	18	3
87	эти слова	2	3
88	том что	7	3
89	достоевского на	1	3
90	в этот	2	3
91	он не	34	3
92	и уже	1	3
93	я хотел	2	3
94	в конце	11	3
95	и о	1	3
96	наряду с	1	3
97	что есть	7	3
98	одним из	2	3
99	из подполья	11	3
100	в своем	17	3
101	петр верховенский	4	3
102	относился к	1	3
103	ставрогина он	1	3
104	на то	1	3
105	с его	6	3
106	и его	13	3
107	к этому	3	3
108	который был	4	3
109	и во	5	3
110	достоевский был	13	2
111	в той	3	2
112	об их	1	2
113	записки из	1	2
114	и то	2	2
115	ответ на	1	2
116	о влиянии	1	2
117	великих писателей	2	2
118	и он	21	2
119	после этого	1	2
120	людей уже	1	2
121	в момент	3	2
122	его с	4	2
123	к себе	3	2
124	с точки	1	2
125	для него	28	2
126	его и	2	2
127	этот момент	1	2
128	о чем	3	2
129	достоевский писал	1	2
130	и достоевский	18	2
131	николай ставрогин	1	2
132	же не	2	2
133	за границей	1	2
134	в них	5	2
135	и наказания	2	2
136	а также	1	2
137	достоевского он	8	2
138	отношения к	6	2
139	его на	4	2
140	в мире	12	2
141	петра верховенского	2	2
142	их в	1	2
143	же как	1	2
144	в своей	18	2
145	рядом с	1	2
146	вместе с	7	2
147	так в	1	2
148	в это	1	2
149	не менее	1	2
150	и это	16	2
151	еще не	1	2
152	он пишет	1	2
153	а с	1	2
154	это в	1	2
155	в свою	5	2
156	двух великих	1	2
157	достоевского –	12	2
158	о достоевском	8	2
159	личность и	2	2
160	в этой	12	2
161	в нашей	1	2
162	его личность	1	2
163	человека с	2	2
164	а в	4	2
165	на это	1	2
166	а достоевский	1	2
167	достоевский всегда	1	2
168	к ним	1	2
169	ставрогина с	1	2
170	отношение к	9	2
171	уже не	8	2
172	в себе	12	2
173	что я	1	2
174	с нею	1	2
175	не может	39	2
176	место в	4	2
177	с которым	2	2
178	точки зрения	6	2
179	тем более	1	2
180	в период	1	2
181	об этой	1	2
182	время он	1	2
183	он сам	11	2
184	чувств и	1	2
185	в эти	1	2
186	но это	8	2
187	во время	1	2
188	не мог	6	2
189	в него	3	2
190	бесов в	2	2
191	и ее	2	2
192	пришел к	1	2
193	никогда не	30	2
194	могли быть	1	2
195	души и	1	1
196	на большую	2	1
197	для россии	1	1
198	жизнь его	1	1
199	все в	7	1
200	в самом	15	1
201	во всем	5	1
202	то в	2	1
203	как к	2	1
204	связан с	1	1
205	новых времен	1	1
206	в преступлении	3	1
207	так и	5	1
208	достоевский говорит	1	1
209	преступления и	4	1
210	что они	4	1
211	христианства он	1	1
212	в свое	1	1
213	все что	5	1
214	к гоголю	2	1
215	и считает	1	1
216	до сих	5	1
217	в душе	1	1
218	один из	9	1
219	письма достоевского	1	1
220	это сама	1	1
221	и этот	4	1
222	которым он	1	1
223	россии не	1	1
224	ему в	1	1
225	у гоголя	1	1
226	ближе к	1	1
227	хочет быть	2	1
228	и наказание	1	1
229	они не	4	1
230	был очень	2	1
231	ни с	4	1
232	достоевский с	5	1
233	только что	1	1
234	ее уже	1	1
235	этот процесс	5	1
236	если в	2	1
237	также что	1	1
238	записках из	2	1
239	был врагом	1	1
240	того как	3	1
241	к этой	3	1
242	был еще	4	1
243	и уж	2	1
