N	4gram	Propp_Isto	Morfolog
1	и т д как	1	4
2	как мы увидим ниже	2	4
3	образом мы видим что	1	4
4	таким образом мы видим	1	4
5	в связи с этим	1	4
6	и т д но	1	4
7	состоит в том что	2	3
8	в то время как	2	3
9	в этом случае не	1	3
10	себя в распоряжение героя	1	2
11	и т д в	1	2
12	в тех случаях когда	2	2
13	приводят к тому что	1	2
14	не что иное как	6	2
15	начинается с того что	2	2
16	с этой точки зрения	1	1
17	с этим и с	1	1
18	ни вздумать ни взгадать	1	1
19	т е мы опять	1	1
20	может быть разрешен только	1	1
21	что ни шерстинка то	2	1
22	ни шерстинка то серебринка	2	1
23	мы уже видели выше	2	1
24	не ешь моего мяса	1	1
25	то же можно сказать	1	1
26	сказка в целом не	2	1
27	если это так то	1	1
28	е мы опять имеем	1	1
29	т д все эти	1	1
30	бы нас слишком далеко	1	1
31	в самых разнообразных сказках	1	1
32	видит портрет необычайной красавицы	1	1
33	и т д здесь	1	1
34	и т д отсюда	1	1
35	прибывает домой или в	1	1
36	и т д такое	1	1
37	и в других случаях	1	1
38	но это еще не	1	1
39	в одном случае герой	1	1
40	мы видим что в	1	1
41	д с другой стороны	1	1
42	точно так же и	1	1
43	в связи с изучением	3	1
44	и т д этим	1	1
45	завело бы нас слишком	1	1
46	это еще не все	1	1
47	же в этих случаях	1	1
48	а в другом случае	1	1
49	при помощи волшебного средства	1	1
50	это завело бы нас	1	1
51	и т д с	1	1
52	т д с другой	1	1
53	во всех этих случаях	1	1
54	к тому что в	1	1
55	до сих пор не	1	1
56	для исследователя но не	1	1
57	в иное царство и	2	1
58	и т д все	1	1
59	время я тебе пригожусь	1	1
60	может быть поставлен вопрос	2	1
61	в тех сказках где	1	1
62	в немецкой сказке мы	1	1
63	же можно сказать о	1	1
64	живой и мертвой водой	1	1
65	о рыбаке и рыбке	1	1
66	что ни вздумать ни	1	1
67	то же происходит с	1	1
68	есть не что иное	2	1
