N	2gram	Voloshinov	Komedia
1	и в	28	77
2	и не	34	47
3	в том	10	44
4	том что	12	42
5	о том	3	33
6	в г	3	33
7	едва ли	4	32
8	но и	10	32
9	может быть	28	30
10	из них	7	29
11	таким образом	34	29
12	в то	7	28
13	и его	22	28
14	в этом	28	27
15	потому что	4	27
16	что он	12	26
17	к тому	6	26
18	не только	10	25
19	вместе с	5	25
20	так как	15	24
21	как и	13	23
22	ни в	12	23
23	что в	7	23
24	в самом	12	22
25	что и	5	22
26	если бы	4	22
27	то же	12	21
28	ясно что	2	21
29	в конце	2	21
30	так и	14	21
31	а в	8	21
32	в его	25	20
33	к этому	9	19
34	во время	6	19
35	по адресу	1	19
36	со стороны	5	19
37	молодой человек	1	18
38	в этой	7	18
39	тем что	1	17
40	же время	6	17
41	в нем	7	17
42	и здесь	1	17
43	и т	1	17
44	еще не	8	17
45	при этом	8	16
46	все же	8	16
47	не менее	6	16
48	у него	4	16
49	сих пор	3	16
50	он не	10	16
51	и сам	3	16
52	до сих	3	16
53	тот же	10	16
54	не в	10	15
55	в своем	4	15
56	точки зрения	31	15
57	его в	11	15
58	в которой	5	15
59	на себя	3	15
60	между тем	3	15
61	один из	10	15
62	и на	9	15
63	было бы	8	15
64	прежде всего	26	15
65	и с	10	14
66	на протяжении	7	14
67	к нему	9	14
68	в свою	6	14
69	все это	12	14
70	ли не	1	14
71	об этом	7	14
72	самом деле	14	13
73	в них	3	13
74	в одном	3	13
75	что она	5	13
76	того же	3	13
77	как раз	6	13
78	мы можем	20	13
79	в двух	1	13
80	то что	17	13
81	того чтобы	5	13
82	но в	13	13
83	в котором	4	12
84	для того	6	12
85	так же	4	12
86	с другой	2	12
87	хотя и	1	12
88	в качестве	2	12
89	как это	5	12
90	из которых	2	12
91	как в	4	12
92	уже в	3	12
93	в истории	4	12
94	не по	1	12
95	в начале	1	12
96	не может	30	12
97	но не	7	12
98	и даже	3	11
99	с тем	1	11
100	по отношению	13	11
101	что его	1	11
102	с ним	14	11
103	то время	1	11
104	как мы	18	11
105	на этот	3	11
106	и для	7	11
107	в их	2	11
108	к ней	4	11
109	одного из	1	11
110	с этим	8	10
111	он был	3	10
112	свою очередь	4	10
113	на него	4	10
114	с одной	2	10
115	к себе	3	10
116	в чем	9	10
117	как бы	19	10
118	и что	6	10
119	ничуть не	2	10
120	в отношении	2	10
121	и все	13	10
122	на основании	5	10
123	одной из	1	10
124	с его	9	10
125	ничего не	5	10
126	мы не	9	10
127	тем более	1	10
128	еще в	1	10
129	отношение к	7	10
130	же в	1	10
131	в целом	4	10
132	все что	10	9
133	но все	2	9
134	в своей	14	9
135	одной стороны	2	9
136	говорить о	5	9
137	и еще	1	9
138	тому что	5	9
139	время как	1	9
140	только в	11	9
141	друг друга	2	9
142	что отец	1	9
143	в тех	1	9
144	даже не	1	9
145	и по	5	9
146	независимо от	3	9
147	однако в	1	9
148	ответ на	3	9
149	а также	2	9
150	вовсе не	16	9
151	отличие от	2	9
152	в ней	8	9
153	и особенно	1	9
154	отношению к	11	9
155	а затем	1	8
156	г в	1	8
157	то это	1	8
158	по поводу	5	8
159	такого рода	2	8
160	не было	5	8
