N	3gram	Vygotskiy_	Literetu
1	в том что	30	21
2	в то же	2	21
3	то же время	2	21
4	по отношению к	11	12
5	с одной стороны	14	12
6	не может быть	8	11
7	в данном случае	5	11
8	в отличие от	3	11
9	состоит в том	4	11
10	в конечном счете	4	10
11	о том что	10	10
12	в этом отношении	6	10
13	с точки зрения	34	8
14	с другой стороны	10	7
15	в том числе	3	6
16	к тому же	1	6
17	из того что	7	6
18	подобно тому как	2	6
19	не только в	1	6
20	едва ли не	1	6
21	с этой точки	1	5
22	тем не менее	1	5
23	я и ты	1	5
24	в соответствии с	1	5
25	в том чтобы	6	5
26	этой точки зрения	2	5
27	в связи с	3	5
28	прежде всего в	2	5
29	в силу своей	1	4
30	и тем самым	4	4
31	то ни было	1	4
32	бы то ни	1	4
33	и то что	1	4
34	одной стороны и	3	3
35	в самом деле	5	3
36	в том же	3	3
37	речь идет о	4	3
38	то же самое	4	3
39	той или иной	2	3
40	в свою очередь	3	3
41	на то что	9	3
42	не столько в	1	3
43	какого бы то	1	3
44	на самом деле	3	3
45	по крайней мере	1	3
46	ту или иную	1	3
47	в целом ряде	1	3
48	в одном из	2	3
49	во всяком случае	5	3
50	то что я	1	3
51	и в частности	3	3
52	том числе и	3	3
53	в целом как	1	2
54	же время не	1	2
55	том что его	1	2
56	для того чтобы	19	2
57	и то же	2	2
58	в этой книге	2	2
59	и вместе с	1	2
60	а с другой	6	2
61	не только не	2	2
62	в целом и	6	2
63	к тому что	3	2
64	только то что	2	2
65	в другом месте	6	2
66	в этой связи	1	2
67	и вплоть до	1	2
68	в равной мере	2	2
69	в значительной степени	2	2
70	в чистом виде	1	2
71	даже по отношению	1	2
72	за то что	1	2
73	вместе с тем	5	2
74	если говорить о	1	2
75	тем что в	1	2
76	автора и его	1	2
77	но и в	1	2
78	и в самом	2	2
79	в свое время	1	2
80	в себе и	1	2
81	которые могли бы	1	2
82	я не могу	2	2
83	дело в том	2	2
84	одно и то	2	2
85	можно было бы	6	2
86	в целом но	1	2
87	жизни и в	1	2
88	в каком отношении	1	1
