N	3gram	Bakhtin_Pr	Hudozhes
1	по отношению к	5	10
2	в том что	6	8
3	в то же	8	7
4	в отличие от	1	7
5	то же время	8	7
6	с другой стороны	3	6
7	более или менее	3	6
8	той или иной	2	5
9	состоит в том	1	5
10	так или иначе	1	4
11	не может быть	8	4
12	мы имеем в	3	3
13	с точки зрения	13	3
14	в этом смысле	5	3
15	имеем в виду	3	3
16	и в самом	1	3
17	в том числе	15	3
18	тем не менее	2	3
19	можно сказать что	6	3
20	и то же	1	3
21	одно и то	1	3
22	в связи с	1	3
23	эстетическое отношение к	1	3
24	в той или	1	2
25	но во всех	1	2
26	и прежде всего	5	2
27	это своего рода	2	2
28	в таком случае	1	2
29	как бы не	1	2
30	включает в себя	1	2
31	в отношении к	2	2
32	не в самом	1	2
33	по своей природе	3	2
34	том числе и	13	2
35	в этом мире	1	2
36	тех или иных	2	2
37	и в то	3	2
38	не могло быть	1	2
39	не сводятся к	1	2
40	тем или иным	1	2
41	сама по себе	2	2
42	и не могло	1	2
43	к тому что	1	2
44	в равной степени	1	2
45	мы имеем дело	1	2
46	и позволяет говорить	1	2
47	может быть и	2	2
48	не могли бы	1	1
49	что он не	1	1
50	жизни то есть	1	1
51	здесь и теперь	1	1
52	в том под	1	1
53	века и в	1	1
54	веселую относительность всего	1	1
55	отношение между ними	1	1
56	то есть обобщения	1	1
57	принадлежат к числу	1	1
58	все то что	2	1
59	то есть в	5	1
60	в более или	1	1
61	и др в	3	1
62	я и мир	1	1
63	человека и его	3	1
64	преступлении и наказании	4	1
65	в душе моей	1	1
66	значим и в	1	1
67	и тем же	1	1
68	человека с человеком	3	1
69	даже сказать что	1	1
70	не могли быть	1	1
71	личности и его	1	1
72	в соответствии с	2	1
73	вбирает в себя	1	1
74	том под каким	1	1
75	этом смысле можно	1	1
76	противопоставлены в произведении	1	1
77	точки зрения логики	1	1
78	они сопоставлены или	1	1
79	по крайней мере	2	1
80	было и не	1	1
81	в самом наличии	1	1
82	не только люди	1	1
83	но в таком	1	1
84	о том что	3	1
85	в xix веке	3	1
86	или иной форме	1	1
87	в свое время	4	1
88	дело не в	1	1
89	как и в	4	1
90	новый модус взаимоотношений	1	1
91	самом наличии определенных	1	1
92	таком случае это	1	1
93	фамильярный контакт между	1	1
94	как один из	1	1
95	с самим собою	6	1
96	перед тем как	1	1
97	уходит своими корнями	1	1
98	модус взаимоотношений человека	1	1
99	и тем более	1	1
100	языковых стилей социальных	1	1
101	взаимоотношений человека с	1	1
102	в этих случаях	1	1
103	друг от друга	2	1
104	диалогическим углом они	1	1
105	не совпадает с	1	1
106	при этом не	1	1
107	в себя и	1	1
108	к своему собственному	1	1
109	сознания а в	1	1
110	отношению к нему	1	1
111	у достоевского в	2	1
112	провозглашает веселую относительность	1	1
113	определенных языковых стилей	1	1
114	то есть от	2	1
115	а затем в	1	1
116	главного героя и	1	1
117	каким диалогическим углом	1	1
118	всей своей полноте	1	1
119	в одной из	1	1
120	существенно отличается от	1	1
121	у нее нет	1	1
122	в себе самом	2	1
123	именно потому что	1	1
124	углом они сопоставлены	1	1
125	не что иное	1	1
126	одним и тем	1	1
127	таким образом и	2	1
128	или противопоставлены в	1	1
129	самим собою в	1	1
130	он ни был	1	1
131	но в то	3	1
132	в зависимости от	3	1
133	во втором эпизоде	1	1
134	сопоставлены или противопоставлены	1	1
135	никогда не бывает	1	1
136	так же как	1	1
137	этой жанровой традиции	1	1
138	видения мира и	1	1
139	собственного сознания а	1	1
140	и тем самым	1	1
141	можно даже сказать	1	1
142	своими корнями в	1	1
143	то есть его	1	1
144	не было и	1	1
145	в этом случае	1	1
146	во всей своей	1	1
147	и прежде но	1	1
148	связь со смертью	1	1
149	к тому же	1	1
150	принадлежащих к различным	1	1
151	с самим собой	1	1
152	наличии определенных языковых	1	1
153	есть не что	1	1
154	же время оно	1	1
155	в своей жизни	1	1
156	вольный фамильярный контакт	2	1
157	в романе достоевского	1	1
158	в новое время	4	1
159	под каким диалогическим	1	1
160	то же самое	1	1
161	не входит в	1	1
162	и в сущности	2	1
163	чужой речи и	1	1
164	особое отношение к	1	1
165	что иное как	1	1
166	к вопросу о	1	1
167	и на его	2	1
168	как бы в	2	1
169	позиции в мире	1	1
170	точки зрения и	1	1
171	стилей социальных диалектов	1	1
172	является одним из	2	1
173	прежде всего в	1	1
174	ведь это не	1	1
175	в истории литературы	1	1
176	имеем дело с	1	1
177	в преступлении и	4	1
178	это было бы	1	1
