N	2gram	Losev_Vlad	FransuaR
1	и в	56	367
2	то есть	5	209
3	в этом	30	112
4	и не	33	101
5	таким образом	6	100
6	и его	12	99
7	в его	18	98
8	прежде всего	5	92
9	не только	35	87
10	мы уже	8	85
11	но и	26	84
12	как бы	5	82
13	все эти	6	79
14	вовсе не	8	77
15	как и	7	76
16	в нем	7	75
17	но в	19	75
18	в эпоху	1	75
19	и на	7	72
20	и др	1	72
21	в том	26	71
22	как мы	17	71
23	то же	10	66
24	и все	8	66
25	в них	5	65
26	в этой	4	65
27	так и	11	65
28	и с	27	64
29	в сущности	2	64
30	в то	15	63
31	во время	4	63
32	во всех	4	62
33	все это	7	62
34	же время	7	55
35	что в	24	52
36	в своем	10	51
37	только в	11	48
38	так как	11	46
39	и до	4	46
40	том что	22	45
41	в году	54	44
42	то что	30	41
43	здесь в	2	41
44	у него	28	40
45	жизни и	8	40
46	в самом	3	38
47	точки зрения	4	37
48	в ней	5	37
49	с его	15	36
50	о том	13	35
51	он был	20	35
52	может быть	12	35
53	сказать что	14	34
54	и даже	23	34
55	в себе	5	34
56	до нас	1	34
57	мы видели	1	32
58	в конце	22	32
59	он не	13	32
60	для него	16	32
61	до конца	8	31
62	в литературе	1	31
63	связаны с	1	31
64	в своей	7	31
65	так же	4	30
66	но он	7	30
67	один из	4	30
68	потому что	16	30
69	той же	6	30
70	и потому	8	30
71	никогда не	15	30
72	в одном	2	29
73	еще не	2	29
74	связи с	7	29
75	в этих	5	29
76	что он	22	29
77	не может	12	29
78	в особенности	4	29
79	при этом	5	29
80	его в	3	29
81	не в	12	29
82	и к	10	28
83	из них	3	28
84	всех этих	3	28
85	также и	13	28
86	в той	2	28
87	и другие	2	27
88	том числе	1	27
89	все же	11	27
90	во франции	1	27
91	по своему	5	27
92	роль в	1	27
93	кроме того	12	26
94	на самом	1	25
95	в области	3	25
96	с помощью	1	25
97	но это	6	25
98	мира и	1	25
99	он и	8	24
100	но не	5	24
101	например в	1	24
102	и у	4	24
103	и от	6	24
104	как в	6	24
105	того чтобы	4	24
106	времени и	1	24
107	в частности	4	24
108	отношение к	7	24
109	так сказать	2	23
110	своего рода	1	23
111	и здесь	3	23
112	с ним	10	23
113	и для	4	23
114	в их	2	23
115	есть и	1	23
116	к нему	6	23
117	это не	3	23
118	еще и	10	23
119	даже в	4	22
120	не было	12	22
121	а в	20	22
122	тем что	2	22
123	что и	6	22
124	и других	2	22
125	вместе с	9	22
126	и во	3	22
127	связь с	1	22
128	и о	6	22
129	в своих	7	21
130	именно в	4	21
131	в отношении	5	21
132	уже в	9	21
133	и как	7	21
134	в качестве	7	21
135	одним из	3	21
136	в себя	1	21
137	что это	2	21
138	ни в	4	21
139	и наконец	2	21
140	в связи	9	20
141	и это	4	20
142	в значительной	1	20
143	одной из	2	20
144	этом отношении	2	20
145	как раз	7	20
146	а также	12	20
147	самом деле	1	20
148	во всем	4	19
149	их в	3	19
150	к этому	11	19
151	того же	11	19
152	за пределы	3	19
153	было бы	7	19
154	с ее	1	19
155	в дальнейшем	10	19
156	с другой	3	19
157	на протяжении	1	19
158	хотя и	9	19
159	далеко не	1	19
160	мы находим	2	18
161	со всеми	1	18
162	это и	2	18
163	здесь не	6	18
164	одна из	1	18
165	но они	1	18
166	на этом	3	18
167	перед нами	1	18
168	это в	2	18
169	для того	4	17
170	конечно не	5	17
171	в результате	6	17
172	своего времени	2	17
173	связанных с	1	17
174	на его	7	17
175	еще более	3	17
176	но все	3	17
177	и вот	5	17
178	того что	6	17
179	а не	5	17
180	влияние на	1	16
181	с одной	1	16
182	между ними	2	16
183	нужно сказать	2	16
184	и одновременно	1	16
185	тот же	7	16
186	в начале	7	16
187	начала и	2	16
188	он дает	2	16
189	ничего не	4	16
190	они не	1	16
191	дело в	7	16
192	мысли и	5	15
193	характерно что	1	15
194	в которой	8	15
195	на весь	1	15
196	не были	2	15
197	никто не	1	15
198	из этих	5	15
199	мы еще	1	15
200	от всех	1	15
201	особенно в	2	15
202	и вообще	12	15
203	одно из	1	15
204	почти все	1	15
205	как на	2	15
206	в нашем	5	15
207	не мог	10	15
208	еще в	5	15
209	в истории	4	15
210	в самой	1	15
211	с начала	2	15
212	и прежде	1	15
213	в котором	10	14
214	характер и	1	14
215	в чем	4	14
216	образом в	2	14
217	и по	10	14
218	мы не	2	14
219	на них	1	14
220	все что	2	14
221	в данном	1	14
222	и он	7	14
223	несмотря на	7	14
224	в более	3	14
225	по существу	4	14
226	и сам	7	13
227	с этим	3	13
228	и еще	3	13
229	что все	2	13
230	его к	3	13
231	в основном	5	13
232	на языке	1	13
233	на все	3	13
234	в одной	1	13
235	о чем	6	13
236	в жизни	4	13
237	одновременно и	1	13
238	одной стороны	1	13
239	здесь нет	1	13
240	в других	1	13
241	бы в	1	13
242	и есть	2	13
243	только на	3	13
244	не на	1	13
245	мир и	1	13
246	или в	1	13
247	и эта	1	13
248	так в	1	13
249	это было	9	13
250	жизнь и	3	13
251	как он	4	13
252	в известной	1	13
253	другой стороны	3	12
254	не был	6	12
255	во всей	1	12
256	те же	2	12
257	главным образом	5	12
258	та же	1	12
259	жизни в	3	12
260	начиная с	3	12
261	о нем	9	12
262	у нас	11	12
263	раз в	1	12
264	менее всего	2	12
265	другом месте	1	12
266	уже сказали	2	12
267	место в	2	12
268	этот момент	2	12
269	можно сказать	10	12
270	но этот	3	12
271	здесь с	1	12
272	по своей	4	12
273	в атмосфере	1	12
274	не могут	2	12
275	литературы и	2	12
276	он в	4	12
277	все то	1	12
278	лишь в	3	12
279	об этом	13	12
280	на эту	3	11
281	так например	3	11
282	уже не	6	11
283	что они	4	11
284	и что	11	11
285	она была	2	11
286	в общем	4	11
287	того как	2	11
288	в течение	13	11
289	наконец в	3	11
290	из этого	6	11
291	в свое	6	11
292	были в	2	11
293	время в	4	11
294	очень часто	2	11
295	и особенно	6	11
296	это уже	1	11
297	и так	3	11
298	с ними	2	11
299	и более	1	11
300	ни с	6	11
301	он говорит	2	11
302	другими словами	1	11
303	в заключение	1	11
304	целый ряд	1	10
305	по отношению	1	10
306	на котором	2	10
307	на земле	2	10
308	что для	5	10
309	его как	2	10
310	до наших	1	10
311	поэтому в	1	10
312	да и	6	10
313	и литературы	1	10
314	в таких	1	10
315	конце концов	6	10
316	новое и	1	10
317	для всех	2	10
318	нас в	2	10
319	самом же	1	10
320	там же	24	10
321	к тому	5	10
322	даже и	12	10
323	на этот	9	10
324	не просто	1	10
325	в изображении	1	10
326	выражение в	2	10
327	ту же	1	10
328	были связаны	1	10
329	мы здесь	2	10
330	в доме	7	10
331	им в	3	10
332	же деле	1	10
333	во второй	3	10
334	в целом	3	10
335	был и	3	9
336	в свет	2	9
337	в разных	1	9
338	представлений о	1	9
339	этой же	1	9
340	как это	11	9
341	в тех	3	9
342	значение и	1	9
343	был в	5	9
344	весь этот	2	9
345	но на	3	9
346	в которых	1	9
347	о котором	2	9
348	не понимает	1	9
349	и вся	1	9
350	до известной	1	9
351	как к	4	9
352	нужно отметить	1	9
353	же в	3	9
354	что на	2	9
355	вплоть до	4	9
356	жизнью и	1	9
357	говорит о	1	9
358	время это	1	9
359	под названием	5	9
360	вся эта	3	9
361	вполне понятно	1	9
362	отношения к	4	9
363	к жизни	2	9
364	но как	6	9
365	мы можем	1	9
366	как известно	2	9
367	это была	3	9
368	но дело	2	9
369	правда не	1	9
370	не имеет	2	9
371	свое время	7	9
372	относится к	1	9
373	известной степени	2	9
374	том же	4	9
375	и то	13	9
376	в формах	1	9
377	для нас	9	9
378	первый план	4	9
379	что не	3	9
380	с этой	4	8
381	более или	5	8
382	не менее	9	8
383	следовательно и	1	8
384	на первый	4	8
385	но эти	1	8
386	в этот	5	8
387	и те	1	8
388	в другое	1	8
389	или менее	5	8
390	xviii века	1	8
391	под влиянием	6	8
392	в него	1	8
393	и при	2	8
