N	4gram	Potebnia_M	Formalny
1	в то же время	8	20
2	и не может быть	1	7
3	бы то ни было	1	7
4	с одной стороны и	1	5
5	все более и более	1	4
6	нет и не может	1	4
7	бы она ни была	1	4
8	вместе с тем и	3	3
9	между звуком и значением	1	3
10	один и тот же	2	3
11	и то и другое	1	3
12	в том смысле что	2	2
13	что же касается до	1	2
14	сам по себе а	1	2
15	одним и тем же	4	2
16	от одного к другому	2	2
17	не говоря уже о	1	2
18	то же время и	1	2
19	не в том что	4	2
20	в их отношении к	1	1
21	и в том что	2	1
22	но тем не менее	4	1
23	каков бы ни был	1	1
24	в этом смысле мы	1	1
25	и в этом случае	1	1
26	не что иное как	1	1
27	и т п мы	1	1
28	в том случае если	1	1
29	в собственном смысле этого	1	1
30	одно и то же	7	1
31	строгом смысле этого слова	1	1
32	и сами по себе	1	1
33	не сам по себе	1	1
34	и в общем не	1	1
35	к одной и той	2	1
36	в том смысле в	2	1
37	дело в том что	1	1
38	именно потому что он	1	1
39	в большей или меньшей	1	1
40	ему в то же	1	1
41	что как бы ни	1	1
42	только в том случае	1	1
43	иначе и быть не	1	1
44	не могут быть названы	1	1
45	мере того как мы	1	1
46	смысле этого слова а	1	1
47	одной и той же	4	1
48	как бы она ни	1	1
49	в том что это	1	1
50	тем не менее в	1	1
51	а вместе с тем	1	1
52	как бы ни было	1	1
53	одного и того же	2	1
54	но вместе с тем	1	1
55	собственном смысле этого слова	1	1
56	что и там где	1	1
57	смысле этого слова в	1	1
58	именно в том и	1	1
59	в строгом смысле этого	1	1
60	по мере того как	8	1
61	смысле этого слова но	1	1
62	смысле этого слова и	1	1
63	том смысле в каком	2	1
64	есть не что иное	1	1
65	и в свою очередь	1	1
