N	2gram	Vinokur_Ku	ViktorSh
1	в книге	1	3
2	конце концов	3	2
3	в конце	5	2
4	и в	44	2
5	в том	47	2
6	том что	30	2
7	в другом	2	1
8	все время	1	1
9	но это	4	1
10	одно и	1	1
11	столь же	2	1
12	история языка	7	1
13	том же	3	1
14	слово по	1	1
15	и изменяется	1	1
16	стилистики в	1	1
17	их как	2	1
18	по существу	9	1
19	ведь это	1	1
20	с о	1	1
21	главным образом	3	1
22	хочу сказать	3	1
23	связанным с	1	1
24	в самом	20	1
25	как же	1	1
26	в теории	1	1
27	один пример	3	1
28	что слово	6	1
29	для них	2	1
30	а только	10	1
31	себе лишь	1	1
32	именно в	7	1
33	и самым	1	1
34	все то	1	1
35	и стоит	1	1
36	имеется в	1	1
37	другое дело	2	1
38	самом деле	17	1
39	более чем	1	1
40	и составляет	1	1
41	ясно что	7	1
42	речи и	8	1
43	с большой	2	1
44	с несколько	1	1
45	говоря о	1	1
46	в частности	6	1
47	чем к	1	1
48	и то	7	1
49	так в	2	1
50	крайней мере	11	1
51	не хочу	2	1
52	не хотел	1	1
53	этом и	1	1
54	стоит на	1	1
55	время в	2	1
56	и его	8	1
57	сводится к	3	1
58	даже не	1	1
59	не стоило	1	1
60	к чему	1	1
61	под влиянием	3	1
62	бы уже	2	1
63	хотя бы	19	1
64	с головой	1	1
65	бы потому	1	1
66	не даром	1	1
67	по поводу	2	1
68	стоило бы	1	1
69	далеко не	2	1
70	тем более	2	1
71	по крайней	11	1
72	в которых	8	1
73	к этому	4	1
74	то немногое	1	1
75	только в	15	1
76	не играет	1	1
77	одном и	1	1
78	же с	1	1
79	потому что	40	1
80	дело именно	1	1
81	языка если	2	1
82	в их	3	1
83	все дело	3	1
84	оно с	1	1
85	и только	2	1
86	то же	12	1
87	по своим	2	1
88	что язык	7	1
89	и том	1	1
90	и не	23	1
91	гораздо более	6	1
92	собственно и	1	1
93	я не	5	1
94	дело в	2	1
95	да и	5	1
96	сводится в	1	1
97	в этом	31	1
98	так как	16	1
99	все это	10	1
100	совершенно ясно	2	1
101	в устах	3	1
