N	4gram	Ircho_Kome	RusskieA
1	состоит в том что	1	26
2	в том что в	1	8
3	обращает на себя внимание	3	3
4	до тех пор пока	1	3
5	состоит в том чтобы	1	3
6	но вместе с тем	1	3
7	и в этом случае	1	2
8	в тех случаях когда	1	2
9	и до сих пор	1	1
10	вопрос о том как	1	1
11	это в свою очередь	1	1
12	со слезами на глазах	1	1
13	вместе с тем у	1	1
14	в то время как	3	1
15	одного и того же	1	1
16	к тому же в	1	1
17	сомнения в том что	1	1
18	до сих пор в	1	1
19	ответ на интересующие нас	1	1
20	не имеет ничего общего	1	1
21	вместе с тем он	1	1
22	можно сделать вывод что	1	1
23	имеет ничего общего с	1	1
24	только после того как	1	1
