N	2gram	Trubetskoy	Myshleni
1	в том	17	195
2	в этом	17	167
3	то что	13	166
4	и в	14	162
5	том что	9	161
6	таким образом	11	147
7	точки зрения	11	143
8	что в	4	119
9	не только	9	116
10	того что	3	109
11	так же	2	100
12	потому что	5	95
13	того чтобы	8	91
14	может быть	9	89
15	с точки	9	89
16	что он	6	86
17	не может	22	81
18	как и	4	79
19	для того	6	78
20	так как	4	78
21	и не	19	78
22	только в	5	75
23	как мы	1	72
24	но и	10	70
25	заключается в	1	67
26	в его	4	67
27	как бы	4	64
28	вместе с	4	62
29	и что	2	60
30	было бы	5	60
31	в качестве	3	60
32	то же	11	58
33	в основе	1	58
34	между собой	5	53
35	в силу	2	53
36	в самом	3	52
37	по сравнению	1	51
38	в сущности	1	51
39	мы должны	7	50
40	к тому	7	49
41	что они	3	48
42	тем что	3	48
43	мы можем	2	48
44	тогда когда	4	47
45	мы не	1	47
46	если бы	6	46
47	по отношению	2	45
48	но не	4	45
49	с другой	1	45
50	с тем	6	43
51	же как	1	43
52	тем самым	2	43
53	тому что	2	42
54	как это	1	42
55	отношению к	1	42
56	не является	1	41
57	о том	7	40
58	по своей	1	40
59	никогда не	5	39
60	так и	1	39
61	в области	2	38
62	и к	6	37
63	вопрос о	5	37
64	если мы	1	37
65	не в	4	37
66	в этой	4	37
67	с самого	1	36
68	в своем	6	36
69	все эти	2	36
70	самого начала	1	36
71	а не	2	36
72	того же	1	35
73	с другом	14	35
74	можно было	4	35
75	в себе	9	35
76	в которой	1	35
77	и т.д	4	35
78	друг с	14	35
79	он не	5	35
80	для себя	2	35
81	связи с	3	34
82	и как	3	34
83	приводит к	4	34
84	прежде всего	8	33
85	при этом	5	33
86	по себе	2	33
87	именно в	3	32
88	и на	5	32
89	что оно	3	32
90	по своему	1	32
91	же самое	1	32
92	что и	3	32
93	и тем	2	32
94	но в	2	32
95	все же	4	31
96	и то	4	31
97	на то	5	30
98	этом отношении	1	30
99	этого слова	1	29
100	между тем	5	29
101	могут быть	1	29
102	от того	4	29
103	с этим	2	28
104	что с	2	28
105	самом деле	7	28
106	с этой	1	27
107	в результате	2	27
108	этом случае	3	27
109	в то	10	27
110	и с	7	27
111	в своей	5	27
112	что все	3	27
113	перед нами	1	27
114	в их	4	26
115	в собственном	1	26
116	что это	3	26
117	для него	6	26
118	в частности	2	26
119	еще не	3	25
120	все это	6	25
121	можно сказать	1	25
122	только не	1	25
123	мы уже	2	25
124	это не	1	25
125	мы знаем	1	24
126	целый ряд	2	24
127	в сфере	1	24
128	на этот	1	24
129	так что	2	24
130	что эта	1	24
131	в нем	5	24
132	друг друга	3	23
133	этот вопрос	2	23
134	состоит в	2	23
135	бы в	1	23
136	ни в	2	23
137	связи между	1	23
138	во всяком	9	22
139	не могут	4	22
140	смысле этого	1	22
141	столь же	1	22
142	в зависимости	1	22
143	к этому	1	21
144	с таким	1	21
145	на основании	2	21
146	представление о	1	21
147	его в	4	21
148	в свете	1	21
149	показать что	1	21
150	и все	1	21
151	в истории	1	21
152	в сознании	3	21
153	ее в	2	21
154	и более	2	21
155	не менее	1	20
156	в котором	2	20
157	в другом	3	20
158	к которому	1	20
159	из них	3	20
160	из этих	3	20
161	в такой	1	20
162	и других	1	20
163	а в	5	20
164	должно быть	3	20
165	по существу	5	20
166	и их	1	20
167	но мы	3	19
168	речь не	1	19
169	в связи	1	19
170	во всех	5	19
171	а с	2	19
172	и по	3	19
173	один из	1	19
174	но если	3	19
175	в данном	7	19
176	как на	8	19
177	с ним	2	19
178	в себя	1	19
179	мы говорили	3	19
180	из которых	5	19
181	во всем	4	18
182	одного и	1	18
183	но это	2	18
184	и другое	1	18
185	приходит к	3	18
186	всяком случае	6	18
187	в этих	2	17
188	в своих	6	17
189	к другим	1	17
190	их в	2	17
191	казалось бы	1	17
192	не есть	3	17
193	сих пор	5	17
194	на деле	1	17
195	до сих	5	17
196	это положение	1	17
197	в свою	1	17
198	в совершенно	4	17
199	тем же	1	17
200	до конца	1	17
