N	4gram	Vygotskiy_	Formalny
1	бы то ни было	1	7
2	одни и те же	1	5
3	с одной стороны и	2	5
4	в связи с этим	1	5
5	все более и более	3	4
6	сводится к тому чтобы	1	3
7	один и тот же	5	3
8	в том числе и	2	3
9	не может быть понято	1	3
10	с таким же правом	3	3
11	той мере в какой	2	2
12	с этой точки зрения	7	2
13	в том смысле что	1	2
14	в той мере в	3	2
15	но с точки зрения	1	2
16	только в связи с	1	2
17	не говоря уже о	1	2
18	мы имеем в виду	1	2
19	ни на один шаг	1	2
20	с другой стороны сами	1	1
21	связаны между собой но	1	1
22	не что иное как	2	1
23	в собственном смысле этого	1	1
24	с самого начала что	3	1
25	одно и то же	1	1
26	независимых друг от друга	1	1
27	в этом смысле можно	1	1
28	не имеет места в	1	1
29	о котором мы говорили	1	1
30	в той же статье	1	1
31	по отношению к данному	2	1
32	в той же мере	1	1
33	в гораздо большей степени	1	1
34	что он в своем	1	1
35	язык и его элементы	1	1
36	смысле этого слова а	1	1
37	мы не можем не	1	1
38	мере в какой они	1	1
39	одной и той же	3	1
40	потому что он был	1	1
41	в области гуманитарных наук	1	1
42	в собственном смысле слова	1	1
43	связаны между собой и	1	1
44	к тому что он	2	1
45	взаимодействии друг с другом	1	1
46	понятия в этом отношении	1	1
47	функции и в какой	1	1
48	что именно потому что	1	1
49	и по отношению к	1	1
50	к тому что и	1	1
51	возвращаясь к нашему примеру	1	1
52	одного и того же	8	1
53	было бы сказать что	1	1
54	раз и навсегда не	1	1
55	друг с другом не	1	1
56	в школьном обучении и	1	1
57	но вместе с тем	3	1
58	собственном смысле этого слова	1	1
59	которые сами по себе	1	1
60	заключается в том чтобы	2	1
61	и в конце концов	1	1
62	с помощью этого метода	1	1
63	понятно с самого начала	1	1
64	свое естественное место в	1	1
65	между тем то что	1	1
66	они на самом деле	1	1
67	есть не что иное	2	1
