N	3gram	Vygotskiy_	VelikijI
1	в первый раз	1	3
2	к тому что	5	3
3	в том что	33	2
4	в вопросе о	3	2
5	вместо того чтобы	5	2
6	но и в	1	2
7	том что он	3	2
8	то что я	1	2
9	того что он	3	1
10	так и в	1	1
11	тем что они	1	1
12	он говорит что	1	1
13	и хотя и	1	1
14	в конце концов	2	1
15	в нем но	1	1
16	что в известном	2	1
17	вместе с тем	4	1
18	и во всяком	1	1
19	и вместе с	1	1
20	мы видим что	2	1
21	видим что все	1	1
22	потому что оно	1	1
23	в духе его	1	1
24	и никогда не	1	1
25	по сравнению с	9	1
26	есть прежде всего	1	1
27	и что в	2	1
28	не могут быть	3	1
29	то и другое	2	1
30	как бы в	1	1
31	то что во	1	1
32	но все же	2	1
33	с другой стороны	8	1
34	в известном смысле	7	1
35	бы то ни	1	1
36	раз и навсегда	1	1
37	после того как	1	1
38	что он был	1	1
39	так как она	2	1
