N	4gram	Tiupa_Disk	Problemy
1	в то же время	7	26
2	и в то же	2	7
3	в том что он	1	5
4	в той или иной	1	5
5	большей или меньшей степени	1	3
6	одно и то же	2	3
7	в большей или меньшей	1	3
8	в том и в	1	2
9	том и в другом	1	2
10	и в том и	1	2
11	дело в том что	3	2
12	ни в чем не	1	2
13	из уст в уста	1	2
14	именно в том что	1	1
15	с точки зрения автора	1	1
16	с одной стороны и	3	1
17	но в большинстве случаев	1	1
18	ставил и решал в	1	1
19	и не может быть	1	1
20	по отношению к самому	1	1
21	имеет громадное значение в	1	1
22	а в том что	2	1
23	одного и того же	4	1
24	заключается в том что	1	1
25	но в этом случае	1	1
26	в том числе и	3	1
27	и в другом случае	1	1
28	или во всяком случае	1	1
29	но в таком случае	1	1
30	в своем собственном мире	1	1
31	что каждый из них	1	1
32	во всех его разновидностях	1	1
33	то же время и	2	1
34	не в том что	1	1
35	подобно тому как в	1	1
36	в том или ином	1	1
37	и каждый из них	1	1
