N	3gram	Savitsky_P	VeschiIm
1	и т д	1	38
2	не может быть	1	24
3	в том что	4	9
4	по сравнению с	1	7
5	с точки зрения	3	6
6	и не только	2	6
7	в то же	7	5
8	и то что	1	5
9	не только в	4	5
10	что это значит?	1	4
11	есть прежде всего	1	4
12	более или менее	1	4
13	само по себе	1	4
14	то же время	7	4
15	как она есть	1	3
16	вместе с тем	1	3
17	заключается в том	2	3
18	не только это	2	3
19	сами по себе	3	3
20	в отрыве от	1	3
21	и в то	2	3
22	есть как бы	1	3
23	в собственном смысле	1	3
24	значило бы что	1	3
25	с одной стороны	3	3
26	с другой стороны	1	3
27	так же как	1	2
28	в применении к	1	2
29	хотя бы и	1	2
30	главным образом на	1	2
31	в этом смысле	1	2
32	для того чтобы	1	2
33	или что то	1	2
34	друг с другом	1	2
35	и в частности	1	2
36	в последние годы	1	2
37	в отношении к	5	2
38	в отдельности и	1	2
39	можно говорить о	1	2
40	что то же	1	2
41	во всяком случае	1	2
42	и в этом	1	2
43	мы все же	1	1
44	в полной мере	2	1
45	и как раз	2	1
46	одной стороны и	2	1
47	с тем же	1	1
48	не только мы	1	1
49	только мы не	1	1
50	иному как к	1	1
51	вопрос о смысле	1	1
52	но и в	2	1
53	не может идти	1	1
54	чему иному как	1	1
55	в xix веке	1	1
56	которая ни к	1	1
57	а в с	1	1
58	к чему иному	1	1
59	именно на этой	1	1
60	не в том	1	1
61	она может и	1	1
62	ясно что если	1	1
63	только в виде	1	1
64	но нужно помнить	1	1
65	вопрос об отношении	1	1
66	не было бы	1	1
67	и движение и	1	1
68	именно потому что	1	1
69	в и т	1	1
70	тех кто не	1	1
71	далеко не все	1	1
72	и не относятся	1	1
73	и т е	1	1
74	но также и	1	1
75	но в то	1	1
76	бы что мы	1	1
77	в ней не	2	1
78	ни на какие	1	1
79	и есть в	1	1
80	для тех кто	1	1
81	нужно помнить что	2	1
82	что с точки	1	1
83	та или иная	1	1
84	но в этом	1	1
85	т е наличие	1	1
86	тот или иной	1	1
87	в настоящий момент	3	1
88	вобрать в себя	1	1
89	или хотя бы	1	1
90	и не может	1	1
91	такою как она	1	1
