N	4gram	Voloshinov	KFilosof
1	по отношению к нему	1	4
2	один и тот же	3	3
3	одна и та же	1	2
4	только по отношению к	1	2
5	бы то ни было	11	2
6	в то же время	7	2
7	ни к чему не	1	2
8	и ни к чему	1	1
9	но во всяком случае	1	1
10	то же самое что	1	1
11	в каком бы то	1	1
12	какого бы то ни	2	1
13	с нашей точки зрения	1	1
14	бы оно ни было	1	1
15	как бы ни была	1	1
16	по отношению ко всякому	1	1
17	интонации в зависимости от	1	1
18	несмотря на то что	1	1
19	в ту или иную	1	1
20	мы только путем скачка	1	1
21	ту или иную эпоху	1	1
22	каком бы то ни	1	1
23	дело в том что	1	1
24	во всех этих случаях	1	1
25	но в то же	6	1
26	с точки зрения теоретической	1	1
27	ни на один миг	1	1
28	тем не менее в	1	1
29	только при этом условии	2	1
30	ничего общего не имеют	1	1
31	одного и того же	9	1
32	общего не имеют с	1	1
33	до сих пор не	1	1
34	но для того чтобы	1	1
