N	3gram	Vinokur_Vv	EvropaiE
1	с точки зрения	4	16
2	в то же	6	15
3	то же время	6	14
4	с одной стороны	4	8
5	в том что	15	6
6	одной стороны и	3	6
7	так же как	1	5
8	этой точки зрения	2	5
9	для того чтобы	22	5
10	с этой точки	2	5
11	того или иного	1	4
12	той или иной	3	4
13	само по себе	4	4
14	не только в	4	4
15	то ни было	1	4
16	бы то ни	1	4
17	и в этом	4	4
18	в той или	1	3
19	в применении к	6	3
20	можно было бы	4	3
21	в этом смысле	10	3
22	заключает в себе	1	3
23	хотя бы и	2	3
24	ту или иную	1	3
25	во всяком случае	5	3
26	можно сказать что	3	3
27	и прежде всего	1	3
28	в известном смысле	3	3
29	в этом отношении	4	3
30	между ними и	2	2
31	сказать что в	1	2
32	того что в	1	2
33	по своему характеру	1	2
34	прежде всего к	1	2
35	как мы видели	3	2
36	но в то	3	2
37	не может быть	10	2
38	в данном случае	4	2
39	в известных пределах	1	2
40	прежде всего в	1	2
41	по себе не	1	2
42	по сравнению с	4	2
43	заключается в том	3	2
44	и со стороны	2	2
45	в определенном смысле	1	2
46	только в том	2	2
47	то что в	1	2
48	во второй половине	2	2
49	в свою очередь	2	2
50	с другой стороны	5	2
51	между прочим и	1	2
52	из того что	1	2
53	с течением времени	7	2
54	в частности в	1	2
55	не говоря уже	2	2
56	при помощи которого	1	1
57	и т д	39	1
58	или меньшей степени	1	1
59	сильнее чем в	2	1
60	в ряде случаев	1	1
61	о том насколько	1	1
62	можно представить себе	2	1
63	именно потому что	1	1
64	на то или	1	1
65	имеют дело с	2	1
66	в самом процессе	1	1
67	т е не	2	1
68	дело в том	3	1
69	а именно в	1	1
70	в разных отраслях	1	1
71	смысле этого слова	2	1
72	в их развитии	1	1
73	о котором мы	1	1
74	это может быть	1	1
75	большей или меньшей	3	1
76	в лучшем случае	1	1
77	которая как мы	1	1
78	то или иное	1	1
79	в значительной мере	2	1
80	к тому что	1	1
81	или иной степени	1	1
82	но и в	1	1
83	том смысле что	1	1
84	значение только в	1	1
85	науки с этой	1	1
86	что наряду с	1	1
87	тех или иных	3	1
88	во многих случаях	1	1
89	в соответствии с	2	1
90	со стороны тех	1	1
91	не быть в	1	1
92	в том смысле	1	1
93	в отличие от	4	1
94	тот же язык	1	1
95	или иных областей	1	1
96	уже и сейчас	1	1
97	следует толковать в	1	1
98	ответить на этот	1	1
99	что из числа	1	1
100	несомненно представляет собой	1	1
101	и того же	2	1
102	прошлом и настоящем	1	1
103	не могут быть	2	1
104	не может не	1	1
105	с тем что	3	1
106	в гораздо большей	1	1
107	представление о том	1	1
108	но также и	10	1
109	что же касается	2	1
110	в европе и	1	1
111	вовсе не в	2	1
112	в связи с	2	1
113	и не в	1	1
114	в том же	1	1
115	же время в	1	1
116	та или иная	1	1
117	в том числе	1	1
118	его историческом и	1	1
119	он мог бы	1	1
120	в духовной жизни	1	1
121	том что обе	1	1
122	говорить о том	1	1
123	но какой бы	1	1
124	связи с этим	1	1
125	говоря уже о	1	1
126	этот вопрос мы	1	1
127	человеческой культуры в	1	1
128	только тогда когда	1	1
129	что в этом	2	1
130	более или менее	1	1
131	также и в	3	1
132	в значительной степени	1	1
133	все эти области	1	1
134	в качестве примера	1	1
135	на этот вопрос	5	1
136	но от этого	1	1
137	своих потребностей в	1	1
138	в большей или	1	1
139	и для того	1	1
140	одного и того	2	1
141	при известных условиях	1	1
142	а также и	2	1
143	может быть и	2	1
