N	3gram	Tiupa_Narr	Tvorches
1	в то же	7	25
2	то же время	7	24
3	и т д	1	17
4	в том что	11	11
5	преступление и наказание	1	10
6	в соответствии с	7	8
7	о том что	3	8
8	и в то	2	7
9	по сути дела	2	7
10	в конечном счете	4	6
11	не может быть	6	6
12	и т п	2	5
13	в самом деле	3	5
14	по отношению к	5	5
15	в русской литературе	1	5
16	до сих пор	3	4
17	по крайней мере	1	4
18	с точки зрения	2	4
19	дело в том	2	4
20	это прежде всего	1	4
21	в таком случае	1	3
22	сами по себе	2	3
23	точно так же	2	3
24	в отличие от	6	3
25	во всяком случае	2	3
26	как и в	1	3
27	едва ли не	2	3
28	с другой стороны	1	3
29	в этой связи	1	3
30	хотя и не	2	3
31	прошлого и будущего	1	3
32	и все же	4	3
33	и не может	3	3
34	войне и мире	2	2
35	у него есть	1	2
36	в данном случае	12	2
37	и в другом	1	2
38	заключает в себе	2	2
39	в е годы	2	2
40	для того чтобы	4	2
41	в том числе	1	2
42	тем не менее	6	2
43	самим собой в	1	2
44	что у него	2	2
45	так и в	1	2
46	но при этом	3	2
47	не сводится к	7	2
48	том числе и	1	2
49	и в самом	1	2
50	не сами по	1	2
51	к тому же	8	2
52	в известном смысле	4	2
53	да и не	1	2
54	никогда не было	1	2
55	не то что	1	2
56	в связи с	3	2
57	в свою очередь	2	2
58	только то что	1	2
59	можно сказать что	5	2
60	особое место в	2	2
61	на этот вопрос	1	2
62	и та же	1	2
63	на самом деле	1	2
64	не означает что	1	2
65	именно в этом	1	2
66	содержит в себе	1	2
67	так же как	1	2
68	это уже не	1	2
69	не только в	12	2
70	как и у	1	2
71	и что в	1	2
72	мы узнаем что	1	2
73	на протяжении всего	1	2
74	лишь в том	1	1
75	тогда как в	2	1
76	так быстро что	1	1
77	потому что я	1	1
78	и к этому	1	1
79	на него с	1	1
80	что это была	1	1
81	и как бы	1	1
82	перед мысленным взором	1	1
83	настоящего и будущего	1	1
84	и даже не	1	1
85	целой жизни в	1	1
86	по себе а	1	1
87	в форме объективного	1	1
88	дело не только	2	1
89	о жизни как	1	1
90	называет себя в	1	1
91	он вовсе не	1	1
92	если же в	1	1
93	в ответ на	3	1
94	то что не	1	1
95	ничего не говорит	1	1
96	занимает особое место	1	1
97	его участие в	1	1
98	при этом что	1	1
99	и не любил	1	1
100	об этом не	1	1
101	в первый раз	1	1
102	в этом месте	2	1
103	он не может	1	1
104	и не мог	1	1
105	что ведет к	1	1
106	можно читать как	1	1
107	в случае с	2	1
108	в развитии сюжета	1	1
109	но для того	1	1
110	но на этот	1	1
111	и вследствие этого	1	1
112	в частности в	2	1
113	не столько к	1	1
114	друг на друга	2	1
115	может быть истолкована	1	1
116	в холодную ночь	1	1
117	интересны не сами	1	1
118	потому что в	1	1
119	ее и не	1	1
120	и потому что	1	1
121	бросается в глаза	1	1
122	но в своем	1	1
123	не о том	1	1
124	а во второй	1	1
125	и тем самым	6	1
126	в чем не	1	1
127	в финале рассказа	1	1
128	а с другой	2	1
129	внешнего и внутреннего	1	1
130	и в других	1	1
131	чувство стыда за	1	1
132	то ни было	1	1
133	в первой главе	1	1
134	и того же	2	1
135	с матерью и	1	1
136	и на другой	1	1
137	относится и к	1	1
138	на то чтобы	2	1
139	то же самое	3	1
140	его жизненной позиции	1	1
141	к тому что	4	1
142	что с точки	1	1
143	прежде всего его	1	1
144	не может не	1	1
145	в стороне от	1	1
146	же время они	1	1
147	для всего мира	1	1
148	не только на	2	1
149	бы то ни	1	1
150	сих пор еще	1	1
151	обращая внимания на	1	1
152	на первый взгляд	1	1
153	не мог бы	1	1
154	войны и мира	4	1
155	что можно сказать	1	1
156	это то что	1	1
157	жизни то есть	1	1
158	того или иного	3	1
159	на другой день	4	1
160	к ней в	2	1
161	той или иной	6	1
162	не вступает в	1	1
163	не в его	1	1
164	соответствии с его	1	1
165	только в двух	1	1
166	и особенно в	1	1
167	у нее была	1	1
168	отнюдь не означает	1	1
169	но и в	4	1
170	на второй план	1	1
171	в том смысле	1	1
172	на втором плане	1	1
173	от себя лично	1	1
174	в чем он	1	1
175	так и не	2	1
176	подробнее об этом	1	1
177	в которой он	1	1
178	прошлое и будущее	1	1
179	он не имел	1	1
180	как один из	1	1
181	только в качестве	1	1
182	с одной стороны	5	1
183	в душе героя	1	1
184	в то время	1	1
185	все что можно	1	1
186	что он вовсе	1	1
187	к которым приводит	1	1
188	все та же	1	1
189	пока что еще	1	1
190	как и на	1	1
191	я не могу	1	1
192	форме объективного рассказа	1	1
193	у чехова это	1	1
194	в войне и	2	1
195	в отрыве от	1	1
196	но и на	2	1
197	ответ на этот	1	1
198	за собой лишь	1	1
199	можно было бы	1	1
200	с установкой на	2	1
201	только потому что	1	1
202	имеют для них	1	1
203	в поле зрения	1	1
204	не зависит от	1	1
205	же как и	1	1
206	уже в е	1	1
207	в его душе	1	1
208	одного и того	2	1
209	тем самым как	1	1
210	одна и та	1	1
211	друг для друга	2	1
212	в творчестве чехова	1	1
213	что иное как	1	1
214	не обращая внимания	1	1
215	и его и	1	1
216	не только с	1	1
217	он говорит о	1	1
218	и не только	1	1
219	самым как бы	1	1
220	к жизни в	1	1
221	ни в чем	1	1
222	на эту тему	1	1
223	мы не можем	1	1
224	быть самим собой	1	1
225	если бы не	1	1
226	на жизнь его	1	1
