N	2gram	Berdyaev_M	Sotsiolo
1	все это	6	7
2	в том	9	5
3	в этом	34	5
4	не только	42	3
5	не в	16	3
6	и в	61	3
7	и только	1	3
8	но ведь	1	3
9	более чем	3	3
10	в его	10	3
11	для нас	3	3
12	литературы и	2	2
13	что в	12	2
14	ведь это	2	2
15	то что	10	2
16	том что	7	2
17	как бы	10	2
18	было бы	11	2
19	как будто	4	2
20	в смысле	1	2
21	в частности	1	2
22	и мы	2	2
23	по природе	2	2
24	нужно было	1	2
25	но и	34	2
26	конце концов	3	2
27	может быть	42	2
28	идей и	3	2
29	она может	2	2
30	и что	4	2
31	это и	7	2
32	за пределы	5	2
33	по отношению	4	2
34	и заключается	1	2
35	в конце	11	2
36	отношению к	4	2
37	должна быть	7	2
38	тем более	1	2
39	только в	7	2
40	к которому	1	2
41	то же	4	2
42	одно дело	1	2
43	еще не	1	2
44	как то	2	1
45	а в	4	1
46	что он	16	1
47	и границы	3	1
48	на что	1	1
49	быть не	2	1
50	в силу	1	1
51	вряд ли	3	1
52	на этот	2	1
53	это значит	3	1
54	жизни он	3	1
55	все эти	3	1
56	не было	25	1
57	когда мы	2	1
58	остается в	1	1
59	у которых	2	1
60	и сложность	1	1
61	кто не	2	1
62	в своей	18	1
63	что без	2	1
64	во всяком	1	1
65	в мире	12	1
66	и потому	17	1
67	все же	2	1
68	что это	5	1
69	можно будет	1	1
70	с другой	1	1
71	ни на	1	1
72	мы должны	1	1
73	с ним	5	1
74	читать в	1	1
75	право на	1	1
76	между тем	2	1
77	и более	2	1
78	в этой	12	1
79	из себя	2	1
80	в свои	2	1
81	и его	13	1
82	всему этому	1	1
83	которая должна	1	1
84	на все	3	1
85	только для	1	1
86	в области	1	1
87	и по	4	1
88	его собственная	1	1
89	один из	9	1
90	так и	5	1
91	только тогда	1	1
92	в то	2	1
93	пишет он	2	1
94	может не	3	1
95	наука о	1	1
96	можно принять	1	1
97	в котором	9	1
98	и русская	2	1
99	те же	5	1
100	не выходит	1	1
101	него и	3	1
102	нельзя мыслить	1	1
103	и не	26	1
104	тогда и	1	1
105	выходит за	1	1
106	но она	3	1
107	всяком случае	1	1
108	он ни	2	1
109	свои права	1	1
110	хотелось бы	1	1
111	или нет	1	1
112	и о	1	1
113	вступает в	1	1
114	но не	8	1
115	они не	4	1
116	не способен	6	1
117	в него	3	1
118	в цельном	1	1
119	она должна	1	1
120	внешними причинами	1	1
121	для этого	3	1
122	прежде всего	18	1
123	с увлечением	1	1
124	тем что	7	1
125	что она	5	1
126	но сам	1	1
127	в каждом	4	1
128	он по	1	1
129	в чем	3	1
130	не из	1	1
131	ним все	2	1
132	и связь	1	1
133	а с	1	1
134	мы еще	4	1
135	происходит не	1	1
136	же не	2	1
137	не дает	1	1
138	в сущности	2	1
139	его в	6	1
140	не от	3	1
141	в наше	2	1
142	представляется нам	1	1
143	тотчас же	1	1
144	но одно	1	1
145	же этот	2	1
146	него для	1	1
147	я и	3	1
148	вовсе не	1	1
149	и наконец	1	1
150	конечно не	3	1
151	о том	5	1
152	мы не	2	1
153	тому что	2	1
154	мысли в	1	1
155	наше время	1	1
156	в этих	6	1
157	как живой	1	1
158	сама по	1	1
159	у него	38	1
160	по себе	2	1
161	бы он	2	1
162	все то	1	1
163	хотя бы	8	1
164	что на	1	1
165	это не	10	1
166	бы в	3	1
167	и должно	3	1
168	стало быть	1	1
169	вопросом о	1	1
170	никогда не	30	1
171	и есть	21	1
172	перейдет в	1	1
173	не может	39	1
174	между ними	1	1
175	и как	3	1
176	что все	5	1
177	место в	4	1
178	не без	1	1
179	как и	14	1
180	ничего не	4	1
181	в них	5	1
