N	2gram	Kanaev_Sov	Myslijsy
1	и в	7	121
2	может быть	12	107
3	в том	4	103
4	для нас	3	75
5	что в	2	73
6	и не	6	73
7	только в	1	72
8	не только	4	67
9	а не	3	67
10	таким образом	11	64
11	в этом	7	59
12	том что	1	59
13	так как	4	59
14	то же	3	56
15	не в	3	54
16	если бы	1	53
17	в себе	3	53
18	по себе	1	52
19	не может	17	52
20	было бы	3	45
21	в нем	3	45
22	как и	6	42
23	вместе с	4	39
24	мы не	9	38
25	при этом	3	37
26	и что	2	32
27	по отношению	1	30
28	а в	4	30
29	но не	1	29
30	вовсе не	1	28
31	мы можем	6	28
32	с этим	2	27
33	могут быть	2	27
34	не было	1	26
35	независимо от	1	26
36	то и	2	26
37	отношению к	1	26
38	в то	1	24
39	как бы	4	23
40	а потому	1	22
41	с другой	1	22
42	не имеет	1	22
43	но в	3	22
44	и потому	3	21
45	не менее	2	21
46	в одном	3	20
47	это не	4	20
48	в ней	1	20
49	но это	1	19
50	сказать что	1	19
51	с ним	1	19
52	того же	1	19
53	тем не	2	19
54	что это	2	19
55	из этих	2	19
56	о том	1	19
57	заключает в	1	19
58	должно быть	1	19
59	есть не	1	19
60	в самом	2	18
61	в таком	2	18
62	не могут	2	18
63	еще не	3	18
64	точки зрения	12	17
65	крайней мере	1	17
66	по крайней	1	17
67	уже в	3	17
68	в его	2	17
69	во всяком	2	17
70	не можем	7	17
71	так же	1	16
72	в своем	1	16
73	в которой	2	16
74	или же	2	16
75	каждый раз	6	16
76	уже не	2	15
77	с одной	2	15
78	и по	2	15
79	в свою	2	15
80	прежде всего	5	15
81	все же	3	14
82	в природе	1	14
83	в действительности	1	14
84	свою очередь	2	14
85	связи с	1	14
86	так сказать	2	14
87	во всех	1	14
88	когда мы	3	14
89	там где	1	14
90	же время	1	14
91	мысли в	1	14
92	мы должны	4	14
93	те же	1	13
94	из них	4	13
95	что все	2	13
96	и все	3	13
97	и может	1	13
98	и его	1	13
99	до сих	1	12
100	это последнее	1	12
101	никогда не	1	12
102	и при	1	12
103	хотя и	1	12
104	быть только	1	12
105	сих пор	1	12
106	в каждом	8	12
107	всяком случае	2	12
108	что же	5	12
109	что такое	2	12
110	все это	3	12
111	человека и	1	12
112	как мы	2	12
113	все что	1	11
114	и если	1	11
115	в первом	3	11
116	только на	1	11
117	и это	1	11
118	к нему	1	11
119	его в	1	11
120	мы видели	4	11
121	сами по	1	11
122	сравнительно с	1	11
123	той же	2	11
124	и вообще	1	11
125	к одному	1	11
126	и только	1	11
127	и их	1	11
128	же в	1	11
129	но тем	1	10
130	одной стороны	1	10
131	одной и	1	10
132	мы видим	2	10
133	и мы	3	10
134	что при	2	10
135	и следовательно	1	10
136	если же	2	10
137	и от	1	10
138	и есть	2	10
139	он не	1	10
140	мы говорим	1	10
141	том как	1	10
142	если мы	4	10
143	тем же	2	10
144	и для	1	10
145	так в	1	10
146	и даже	2	9
147	вопрос о	4	9
148	что она	3	9
149	на язык	1	9
150	зрения и	1	9
151	не будет	1	9
152	один из	1	9
153	самом деле	2	9
154	с точки	5	9
155	в целом	4	9
156	таким же	1	9
157	говорить о	2	8
158	но все	2	8
159	мы называем	3	8
160	именно в	1	8
161	их в	4	8
162	с какою	1	8
163	только не	1	8
164	мы в	1	8
165	с и	1	8
166	между ними	1	8
167	и тогда	1	8
168	и той	1	8
169	нельзя сказать	1	8
170	не из	1	8
171	тот же	2	8
172	этом случае	1	8
173	на самом	1	8
174	все равно	1	8
175	или в	1	8
176	и более	1	8
177	такое же	1	8
178	по его	1	8
179	но что	1	7
180	все эти	5	7
181	но мы	3	7
182	в данном	1	7
183	самого начала	3	7
184	к этому	1	7
185	на котором	2	7
186	несмотря на	1	7
187	из одного	2	7
188	в эту	1	7
189	но как	1	7
190	в своих	1	7
191	она не	1	7
192	и та	1	7
193	и тот	1	7
194	этом смысле	1	7
195	допустим что	1	7
196	во втором	1	7
197	его с	1	7
198	не более	1	7
199	развития и	1	7
200	только один	2	7
201	и во	2	7
202	дает нам	2	7
203	один и	1	7
204	не имеют	1	7
205	с самого	3	7
