N	4gram	Bakhtin_Pr	Stilisti
1	в то же время	13	7
2	в зависимости от того	1	2
3	одну и ту же	1	2
4	но в то же	7	2
5	и в то же	2	2
6	само по себе не	1	1
7	том и другом случае	1	1
8	можно сказать что вся	1	1
9	иметь в виду что	1	1
10	в том и другом	1	1
11	установка в свою очередь	1	1
12	и противоречащих друг другу	1	1
13	и по отношению к	1	1
14	и ту же тему	1	1
15	не может до конца	1	1
16	в виду прежде всего	1	1
17	находит свое внешнее выражение	1	1
18	не может быть понято	1	1
19	и не может быть	1	1
20	то же время и	1	1
21	тем не менее и	1	1
22	в собственном смысле слова	1	1
23	ни на минуту не	1	1
