N	3gram	Bakhtin_Fr	OGranits
1	с точки зрения	6	5
2	не может быть	5	4
3	вполне понятно что	2	3
4	по отношению к	2	3
5	в том что	6	2
6	и не является	1	2
7	не чем иным	1	2
8	того или иного	1	2
9	чем иным как	1	2
10	в самом деле	1	2
11	в г в	1	2
12	с одной стороны	2	2
13	с другой стороны	1	2
14	наиболее чистым и	1	1
15	в узком смысле	2	1
16	на самом деле	2	1
17	в борьбе с	1	1
18	еще одну особенность	1	1
19	ясное и отчетливое	1	1
20	в особенности в	1	1
21	в его наиболее	2	1
22	все то что	1	1
23	включает в себя	3	1
24	чуть ли не	1	1
25	придется остановиться на	1	1
26	но в то	2	1
27	свое идеологическое выражение	1	1
28	это конечно не	1	1
29	подобно тому как	2	1
30	в значительной мере	3	1
31	это и не	1	1
32	такие явления как	1	1
33	тех или иных	1	1
34	на то что	1	1
35	для того чтобы	2	1
36	в данную эпоху	1	1
37	только потому что	1	1
38	можно говорить о	1	1
39	все эти три	1	1
40	во всей своей	1	1
41	и превращается в	1	1
42	при таком подходе	2	1
43	в чем же	1	1
44	не только на	1	1
45	одна из существеннейших	1	1
46	то или иное	1	1
47	в последнее время	1	1
48	в собственном смысле	3	1
49	в нем только	3	1
50	тех случаях когда	1	1
51	в другом месте	2	1
52	в отличие от	4	1
53	выходит за пределы	4	1
54	нужно сказать что	7	1
55	нужно отметить что	2	1
56	и в некоторых	1	1
57	как и в	1	1
58	в связи с	1	1
59	не входит в	2	1
60	же время в	1	1
61	во всем своем	1	1
62	только то что	1	1
63	идеологическое выражение в	1	1
64	отношений между людьми	1	1
65	нет и не	1	1
66	в предисловии к	1	1
67	еще тем что	1	1
68	только с помощью	1	1
69	один из наиболее	1	1
70	в этом отношении	5	1
71	в своей статье	2	1
72	то же время	5	1
73	далеко не всегда	1	1
74	в совершенно иных	1	1
75	в то же	5	1
76	прежде всего в	1	1
77	явления но в	1	1
78	и в области	1	1
79	здесь мы должны	1	1
80	в изобразительных искусствах	1	1
81	но не менее	1	1
82	в тех случаях	1	1
83	однако было бы	1	1
84	и не может	2	1
85	своей статье о	2	1
86	на этом мы	2	1
