N	4gram	Bakhtin_Pr	Dialekti
1	в то же время	13	14
2	в то время как	2	8
3	и в то же	2	6
4	не в том что	1	5
5	того что он есть	1	4
6	ничем не отличается от	1	4
7	с одной стороны и	1	4
8	иметь в виду что	1	4
9	и в этом смысле	2	4
10	не потому что она	1	3
11	и есть то что	1	3
12	но в то же	7	3
13	но потому что она	2	2
14	во что бы то	1	2
15	что с точки зрения	1	2
16	уже сама по себе	1	2
17	что бы то ни	1	2
18	как более или менее	1	2
19	дело в том что	1	2
20	не с точки зрения	1	2
21	тем не менее в	1	2
22	бы то ни стало	1	2
23	то же время и	1	2
24	так же как и	1	2
25	никогда не может быть	1	1
26	само по себе не	1	1
27	это было так то	1	1
28	именно в том что	1	1
29	и т д как	1	1
30	но тем не менее	1	1
31	в том и в	1	1
32	о себе самом не	1	1
33	общего не имеет с	1	1
34	и до сих пор	1	1
35	том и в другом	1	1
36	то это вовсе не	1	1
37	в конце концов не	1	1
38	что она уже не	1	1
39	он есть т е	1	1
40	в своей последней основе	1	1
41	но это не значит	1	1
42	можно было бы дать	1	1
43	если бы это было	1	1
44	на ту же тему	1	1
45	на самом деле это	1	1
46	и в другом случае	1	1
47	заключается в том что	1	1
48	бы то ни было	2	1
49	с точки зрения воли	1	1
50	мы имеем в виду	1	1
51	так всегда и бывает	1	1
52	по крайней мере не	1	1
53	не знаете что такое	1	1
54	каково бы ни было	1	1
55	ничего общего не имеет	1	1
56	если бы не было	1	1
57	положения которые сами по	1	1
58	само по себе достаточно	1	1
59	до сих пор не	1	1
60	как бы в некотором	1	1
61	в этом смысле она	1	1
62	лишь с точки зрения	1	1
63	и в том и	1	1
64	и не входит в	2	1
65	точка зрения с которой	1	1
66	и не может быть	1	1
67	уже само по себе	1	1
68	с другой стороны эта	1	1
69	а в том что	1	1
70	с точки зрения своей	1	1
71	с другой стороны мы	1	1
72	оно и не может	1	1
73	можно прямо сказать что	1	1
74	все новые и новые	1	1
75	на том или другом	1	1
76	в том что он	4	1
77	бы это было так	1	1
78	и во всяком случае	1	1
79	по себе не имеет	1	1
80	и независимо от того	1	1
81	которые сами по себе	1	1
82	ни на что другое	1	1
83	в одном месте и	1	1
84	в зависимости от характера	1	1
85	не может не признать	1	1
86	и в этом отношении	2	1
87	по мере того как	1	1
88	что же это за	1	1
