N	2gram	Berdyaev_M	PoTuStor
1	может быть	42	17
2	и в	61	16
3	в этом	34	9
4	прежде всего	18	9
5	и только	1	9
6	точки зрения	6	8
7	и с	6	8
8	к матери	2	8
9	не может	39	8
10	и его	13	8
11	не только	42	7
12	сказать что	5	7
13	с его	6	7
14	и к	9	6
15	для него	28	6
16	самом деле	2	6
17	к отцу	1	6
18	я и	3	6
19	и это	16	6
20	конечно не	3	6
21	с точки	1	6
22	что такое	2	5
23	ни в	3	5
24	все эти	3	5
25	только для	1	5
26	в чем	3	5
27	еще не	1	5
28	сознание и	1	5
29	как бы	10	5
30	ту сторону	1	5
31	отношение к	9	5
32	в него	3	5
33	а потому	1	4
34	все что	5	4
35	и на	9	4
36	так как	10	4
37	все позволено	1	4
38	все это	6	4
39	в его	10	4
40	мысли и	2	4
41	так и	5	4
42	на самом	2	4
43	по ту	1	4
44	его в	6	4
45	и даже	1	4
46	и все	13	4
47	только в	7	4
48	и не	26	4
49	но и	34	4
50	хотя бы	8	4
51	и их	3	4
52	в этой	12	4
53	в нем	26	4
54	и ее	2	4
55	и наконец	1	4
56	но в	12	4
57	и вот	7	3
58	до сих	5	3
59	к себе	3	3
60	в том	9	3
61	те же	5	3
62	с их	2	3
63	между ними	1	3
64	их в	1	3
65	отношения к	6	3
66	учение о	3	3
67	и как	3	3
68	что в	12	3
69	и она	5	3
70	том что	7	3
71	вместе с	7	3
72	на этом	5	3
73	в этих	6	3
74	мира и	6	3
75	сравнению с	2	3
76	и оно	1	3
77	во всех	3	3
78	но оно	1	3
79	во всяком	1	3
80	и потому	17	3
81	в основе	4	3
82	тех же	1	3
83	по сравнению	3	3
84	и теперь	1	3
85	в одном	1	3
86	чем не	3	3
87	а в	4	3
88	то что	10	3
89	и др	1	3
90	могут быть	2	3
91	и есть	21	3
92	сих пор	5	3
93	жизни и	6	3
94	в области	1	3
95	чувств и	1	3
96	всяком случае	1	3
97	во время	1	3
98	ко всякому	1	3
99	в самом	15	2
100	в свое	1	2
101	мы видим	4	2
102	и этот	4	2
103	и мы	2	2
104	на протяжении	2	2
105	они не	4	2
106	влечет к	6	2
107	мы не	2	2
108	и ницше	4	2
109	два полюса	1	2
110	с этой	4	2
111	протяжении всей	1	2
112	что это	5	2
113	ее в	1	2
114	для нас	3	2
115	и через	1	2
116	и этим	2	2
117	что и	6	2
118	сознания и	1	2
119	быть может	9	2
120	у него	38	2
121	не на	1	2
122	не могут	6	2
123	со всеми	1	2
124	в душе	1	2
125	в них	5	2
126	а на	1	2
127	существует только	1	2
128	и других	2	2
129	все то	1	2
130	не знает	12	2
131	остается и	1	2
132	всех его	1	2
133	так называемый	2	2
134	что не	3	2
135	и чувств	1	2
136	и действительно	1	2
137	вообще не	2	2
138	в жизни	7	2
139	можно назвать	1	2
140	но ведь	1	2
141	как и	14	2
142	что он	16	2
143	есть в	3	2
144	же как	1	2
145	не есть	21	2
146	в своей	18	2
147	как с	1	2
148	по своему	3	2
149	себя и	6	2
150	только и	7	2
151	войти в	1	2
152	не менее	1	2
153	в каком	2	2
154	путь к	2	2
155	нем нет	1	2
156	мир для	1	2
157	на них	1	2
158	с этим	4	2
159	к этому	3	2
160	все и	1	2
161	оно не	3	2
162	не существует	5	2
163	что мы	1	2
164	мы уже	1	2
165	все остальные	1	2
166	на друга	1	2
167	ту же	1	2
168	совсем не	3	2
169	на два	2	2
170	а может	1	2
171	в этот	2	2
172	он не	34	2
173	и исторического	1	2
174	кажется что	1	2
175	в развитии	1	2
176	в частности	1	2
177	не будет	3	2
178	характерно для	1	2
179	и вся	1	2
180	говорить о	1	2
181	есть и	6	2
182	за пределы	5	2
183	в начале	2	2
184	в мир	3	2
185	в пределах	1	2
186	как не	1	2
187	так же	5	2
188	цели и	1	2
189	и всех	1	2
190	друг на	1	2
191	потому и	2	2
192	было бы	11	2
193	к ним	1	2
194	нет и	6	2
195	и о	1	2
196	своей жизни	1	2
197	с нею	1	2
198	находится в	1	2
199	что на	1	2
200	на высоте	1	2
201	о том	5	2
202	во всей	1	2
203	всю жизнь	7	2
204	момент в	5	2
205	один из	9	2
206	и по	4	2
207	с ним	5	2
208	нет никаких	2	2
209	но это	8	2
210	в глубину	5	2
211	и для	7	2
212	для этого	3	2
213	то же	4	2
214	никогда не	30	2
215	материальные моменты	1	1
216	и ту	1	1
217	что было	2	1
218	мир не	2	1
219	во всем	5	1
220	об их	1	1
221	и влечений	1	1
222	мире и	1	1
223	на почве	3	1
224	от нее	5	1
225	что они	4	1
226	одних и	1	1
227	в любви	12	1
228	и то	2	1
229	в другой	1	1
230	в единую	2	1
231	или к	4	1
232	но никогда	1	1
233	все творчество	7	1
234	в более	4	1
235	в центре	4	1
236	которая была	1	1
237	первый и	1	1
238	тянется к	1	1
239	и здесь	6	1
240	та же	4	1
241	не оставляет	1	1
242	этот мир	2	1
243	мир в	3	1
244	только те	1	1
245	же и	2	1
246	о двух	1	1
247	различие между	2	1
248	в момент	3	1
249	только что	1	1
250	на вопрос	1	1
251	может допустить	1	1
252	за собою	1	1
253	страсть и	2	1
254	уже в	6	1
255	наших глазах	1	1
256	во власти	5	1
257	мог бы	5	1
258	тогда когда	2	1
259	вытесняется в	1	1
260	есть прежде	4	1
261	в состоянии	1	1
262	одна и	3	1
263	мы имеем	1	1
264	еще более	3	1
265	любовь к	10	1
266	это и	7	1
267	нужно искать	2	1
268	что мир	1	1
269	все ценности	1	1
270	и чрезвычайно	1	1
271	для всего	1	1
272	из моментов	1	1
273	мы чувствуем	1	1
274	хотя и	2	1
275	а ведь	1	1
276	в разных	3	1
277	смысл и	1	1
278	этом отношении	1	1
279	с тем	10	1
280	дать им	1	1
281	в сущности	2	1
282	эти психические	1	1
283	ним может	1	1
284	свое так	1	1
285	человек есть	5	1
286	говорит о	1	1
287	привести к	9	1
288	о нем	2	1
289	как со	1	1
290	что только	1	1
291	интерес к	5	1
292	со всякой	1	1
293	и всегда	3	1
294	потому не	3	1
295	помехой в	1	1
296	в человеке	10	1
297	нас в	3	1
298	эта аналогия	1	1
299	у нас	13	1
300	теряет свою	4	1
301	для них	3	1
302	и делает	1	1
303	в виду	2	1
304	я не	4	1
305	у многих	1	1
306	его собственный	1	1
307	подобно тому	2	1
308	состояние как	1	1
309	весь мир	1	1
310	всей ее	1	1
311	в русском	1	1
312	можно было	1	1
313	содержания как	1	1
314	власти и	1	1
315	реальности это	1	1
316	связанная с	1	1
317	есть еще	1	1
318	в самые	1	1
319	творчества и	1	1
320	связь с	1	1
321	ведь это	2	1
322	вне этой	1	1
323	одну и	1	1
324	как они	1	1
325	в своих	4	1
326	или во	1	1
327	в угол	1	1
328	особого рода	1	1
329	на этот	2	1
330	если бы	5	1
331	иногда и	1	1
332	сознания на	1	1
333	пути и	2	1
334	в свои	2	1
335	и сам	1	1
336	от своего	2	1
337	без остатка	1	1
338	с ней	3	1
339	и можно	3	1
340	жизнь в	4	1
341	на такой	1	1
342	но эта	2	1
343	любовь и	4	1
344	оно есть	1	1
345	он может	1	1
346	этап в	1	1
347	был связан	1	1
348	есть та	2	1
349	но не	8	1
350	менее всего	10	1
351	и эта	3	1
352	как его	1	1
353	в глубине	10	1
354	органической жизни	1	1
355	он будет	1	1
356	грех в	1	1
357	в эпоху	2	1
358	уже совершенно	1	1
359	и новых	1	1
360	из всего	1	1
361	правда по	1	1
362	в конце	11	1
363	я умру	1	1
364	вражда к	2	1
365	находит себе	1	1
366	как момент	1	1
367	корней и	2	1
368	лежит на	1	1
369	одно только	2	1
370	совершенно уже	1	1
371	душу и	2	1
372	в мире	12	1
373	все же	2	1
374	всеми его	1	1
375	человека на	7	1
376	глубине ее	1	1
377	жизни в	3	1
378	том смысле	2	1
379	не что	4	1
380	а иногда	1	1
381	себе даже	2	1
382	как ее	2	1
383	от этого	4	1
384	приводит к	2	1
385	на все	3	1
386	не имеет	7	1
387	и жизнь	3	1
388	находится во	1	1
389	этом нет	1	1
390	этой борьбе	1	1
