N	2gram	Ircho_Kome	Formalny
1	и в	40	95
2	т е	14	94
3	и не	19	78
4	может быть	16	66
5	в этом	9	61
6	не может	3	57
7	вовсе не	3	53
8	таким образом	13	52
9	и его	17	51
10	так и	17	50
11	точки зрения	7	47
12	в нем	8	42
13	в его	8	42
14	прежде всего	8	41
15	как и	12	39
16	и т	11	37
17	в самом	5	35
18	не в	8	35
19	а не	1	34
20	но и	14	33
21	то же	7	32
22	не только	12	30
23	в пределах	1	28
24	в том	19	26
25	отнюдь не	2	26
26	если бы	4	26
27	то что	8	25
28	при этом	5	24
29	в своей	3	24
30	на самом	1	24
31	с помощью	1	23
32	было бы	8	23
33	связи с	3	23
34	в ней	2	23
35	в то	14	22
36	и ее	5	22
37	и с	8	21
38	что в	12	21
39	в истории	10	21
40	как бы	3	21
41	с тем	5	20
42	не менее	6	20
43	как мы	5	20
44	и от	2	20
45	же время	5	20
46	место в	7	20
47	в их	6	20
48	по себе	2	19
49	хотя бы	2	19
50	т д	4	19
51	не могут	1	19
52	все это	7	19
53	все же	7	18
54	в связи	3	18
55	т п	7	18
56	только в	6	18
57	и все	4	18
58	с его	4	18
59	все эти	1	18
60	и их	3	18
61	как раз	4	17
62	как в	8	17
63	во всяком	4	16
64	с другой	7	16
65	так же	4	16
66	всяком случае	4	16
67	в искусстве	1	16
68	совершенно не	1	16
69	потому что	8	16
70	именно в	5	15
71	все время	2	15
72	его в	6	15
73	бы в	3	15
74	во всех	4	15
75	и на	9	15
76	так как	6	15
77	но в	6	15
78	в литературе	2	15
79	в жизни	1	14
80	только на	2	14
81	в своем	6	14
82	в ее	2	14
83	в этой	9	14
84	что он	11	14
85	вместе с	8	14
86	еще не	7	14
87	если мы	1	14
88	произведения и	1	14
89	и потому	1	14
90	жизни и	4	14
91	в целом	6	14
92	в результате	5	13
93	тем что	5	13
94	что и	10	13
95	говорит он	1	13
96	ни в	9	13
97	могут быть	3	13
98	независимо от	5	13
99	как таковой	1	13
100	для них	2	13
101	сводится к	1	13
102	со стороны	3	13
103	что же	2	13
104	до конца	3	13
105	того что	1	13
106	а в	9	13
107	там где	1	12
108	к тому	15	12
109	в действительности	4	12
110	по отношению	5	12
111	как это	7	12
112	и здесь	6	12
113	того чтобы	4	12
114	и для	4	12
115	отношению к	5	12
116	в реальном	1	11
117	что они	4	11
118	то ни	4	11
119	между тем	9	11
120	в идеологическом	1	11
121	зависимости от	1	11
122	они не	1	11
123	для него	1	11
124	этом отношении	3	11
125	в основе	1	11
126	в общем	2	11
127	но не	3	11
128	в большинстве	2	11
129	слова и	1	11
130	другой стороны	6	10
131	в своих	2	10
132	в первом	2	10
133	в художественном	1	10
134	в дальнейшем	1	10
135	конечно не	1	10
136	в зависимости	1	10
137	бы то	4	10
138	не было	1	10
139	большинстве случаев	2	10
140	здесь и	2	10
141	он не	5	10
142	главным образом	4	10
143	с ее	2	10
144	мы видели	2	10
145	не является	2	10
146	и теперь	3	10
147	тем же	2	10
148	друг друга	2	10
149	формы и	1	10
150	и др	1	10
151	мы не	4	10
152	по существу	1	10
153	и как	3	10
154	не о	1	10
155	еще более	2	9
156	и даже	5	9
157	говорить о	3	9
158	мы знаем	5	9
159	ни было	4	9
160	в каждом	2	9
