N	3gram	Propp_Isto	KFilosof
1	по отношению к	2	22
2	не может быть	6	11
3	с точки зрения	1	10
4	может быть только	1	7
5	но и здесь	1	3
6	может быть в	1	3
7	на самом деле	1	3
8	в нем и	3	3
9	в том что	4	2
10	и может быть	1	2
11	то или иное	1	2
12	тем не менее	6	2
13	здесь мы имеем	4	2
14	в то же	1	2
15	он может быть	1	2
16	и все эти	1	2
17	в соответствии с	1	2
18	во всех этих	2	2
19	но это уже	1	2
20	а не в	1	2
21	вопрос о том	1	2
22	то же время	1	2
23	смысле и значении	1	1
24	вокруг него в	1	1
25	сих пор не	1	1
26	том смысле в	1	1
27	в свою очередь	1	1
28	и тем не	2	1
29	это может быть	1	1
30	вместе с тем	7	1
31	во всяком случае	1	1
32	то что и	1	1
33	не превращается в	3	1
34	на то что	3	1
35	на задний план	3	1
36	в противоречие с	1	1
37	не в нем	1	1
38	в том смысле	2	1
39	на том что	3	1
40	то же самое	1	1
41	это уже не	2	1
42	ясно что это	1	1
43	и не потому	2	1
44	дело не в	1	1
45	он не может	2	1
46	для того чтобы	3	1
47	сводится к следующему	1	1
48	быть и то	1	1
49	между жизнью и	1	1
50	только в том	1	1
51	здесь мы видим	2	1
52	или в виде	1	1
53	а с точки	1	1
54	не в том	2	1
55	потому что в	1	1
56	и входит в	1	1
57	себя в нем	1	1
58	до сих пор	7	1
59	не потому что	2	1
60	не было ни	1	1
61	отражается и в	1	1
62	смысле этого слова	1	1
63	мы имеем здесь	3	1
64	всех этих случаях	2	1
65	само по себе	1	1
66	и тем самым	2	1
67	не менее в	1	1
68	конечно не может	1	1
69	место это не	1	1
70	по которой он	1	1
71	и то что	3	1
72	в зависимости от	1	1
73	все что есть	1	1
74	с ним и	1	1
75	как бы два	1	1
76	со всем что	1	1
77	что может быть	1	1
78	влечет за собой	1	1
79	должен быть признан	1	1
80	в непосредственной близости	1	1
81	в одном случае	1	1
82	только тогда когда	2	1
83	это и есть	1	1
84	но это не	2	1
85	что и в	3	1
86	но не было	1	1
87	ведь это не	1	1
88	в себя как	1	1
89	в основе своей	1	1
90	нет места для	1	1
91	в иной мир	11	1
92	не знать что	1	1
93	может быть и	1	1
