N	3gram	Nazirov_Tr	VeschiIm
1	не может быть	1	24
2	тем не менее	1	11
3	в том что	2	9
4	в самом деле	1	7
5	по сравнению с	1	7
6	в чем же	1	5
7	в то же	5	5
8	и то что	1	5
9	что в ней	1	4
10	что это значит?	1	4
11	сам по себе	1	4
12	не только не	1	4
13	о том что	2	4
14	это и есть	1	4
15	то же время	5	4
16	что нужно для	1	3
17	все же не	1	3
18	то что он	1	2
19	не только к	1	2
20	в применении к	1	2
21	нет это не	1	2
22	в данном случае	2	2
23	хотя бы и	1	2
24	по природе своей	1	2
25	том что он	1	2
26	и в частности	2	2
27	ничего не значит	1	2
28	в конце концов	1	2
29	в связи с	1	2
30	к тому что	1	2
31	но все же	2	2
32	во всяком случае	1	2
33	и в этом	1	2
34	что он не	1	1
35	общем смысле этого	1	1
36	и как бы	2	1
37	от самой действительности	1	1
38	это может быть	1	1
39	и должно быть	1	1
40	что уже не	1	1
41	в той же	1	1
42	прежде всего против	1	1
43	я не хочу	1	1
44	что когда я	1	1
45	в xix веке	1	1
46	и в самом	2	1
47	важно но если	1	1
48	что все это	1	1
49	на вопрос о	1	1
50	и в сфере	1	1
51	одно из самых	1	1
52	смысле этого слова	1	1
53	бы и не	1	1
54	она все же	1	1
55	самое большее что	1	1
56	и вместе с	1	1
57	это было в	1	1
58	в этом случае	1	1
59	но в то	2	1
60	по вопросу об	1	1
61	у него нет	1	1
62	во всех видах	1	1
63	и все же	1	1
64	несмотря на все	1	1
65	вместо того чтобы	1	1
66	в этой связи	1	1
67	еще ничего не	1	1
68	и не может	1	1
