N	2gram	Tiupa_Narr	Tragedij
1	и в	19	18
2	в этом	17	9
3	в году	1	9
4	не только	32	8
5	и на	3	7
6	и не	20	7
7	может быть	25	7
8	и с	4	7
9	как бы	4	7
10	он сам	2	7
11	что он	6	6
12	у него	4	6
13	же время	4	6
14	но в	6	6
15	и его	5	6
16	это не	2	5
17	несмотря на	2	5
18	что это	3	5
19	так и	9	5
20	к жизни	1	5
21	все же	7	5
22	то же	4	5
23	как и	7	5
24	не может	10	5
25	в то	3	5
26	что в	3	4
27	в себе	8	4
28	и даже	3	4
29	прежде всего	4	4
30	и все	2	4
31	об этом	1	4
32	еще не	7	4
33	но и	23	4
34	том что	14	4
35	так же	2	4
36	то что	11	4
37	в этой	5	4
38	в нем	4	4
39	но это	1	4
40	в целом	1	4
41	своего рода	12	3
42	и он	3	3
43	один из	3	3
44	уже в	3	3
45	в его	9	3
46	для него	2	3
47	в своем	2	3
48	с ним	1	3
49	о чем	2	3
50	и сам	1	3
51	в конце	1	3
52	и как	5	3
53	в мире	9	3
54	как в	7	3
55	никто не	1	3
56	в поле	1	3
57	то есть	19	3
58	при этом	9	3
59	как это	6	3
60	тем самым	6	3
61	с ее	3	3
62	мог бы	3	3
63	как будто	3	3
64	отнюдь не	5	3
65	все эти	2	3
66	к нему	5	3
67	о жизни	1	2
68	в самом	1	2
69	не так	1	2
70	вместе со	1	2
71	и то	1	2
72	еще раз	1	2
73	и здесь	1	2
74	данном случае	4	2
75	и за	1	2
76	в том	18	2
77	он и	1	2
78	в ее	3	2
79	говорит о	2	2
80	как у	1	2
81	даже если	1	2
82	что и	1	2
83	ни в	3	2
84	чем он	1	2
85	что все	1	2
86	не могут	1	2
87	его в	2	2
88	по контрасту	1	2
89	как же	1	2
90	не в	14	2
91	в первом	3	2
92	но все	4	2
93	было в	2	2
94	от всего	1	2
95	в таком	2	2
96	ничем не	1	2
97	как говорит	3	2
98	во сне	1	2
99	уже не	5	2
100	к тому	7	2
101	о том	6	2
102	перед нами	4	2
103	не имеет	2	2
104	на всем	1	2
105	в данном	5	2
106	ее к	1	2
107	что этот	1	2
108	отличие от	5	2
109	то и	1	2
110	потому что	1	2
111	времени в	2	2
112	в рассказе	4	2
113	он не	3	2
114	по поводу	1	2
115	в частности	14	2
116	в это	1	2
117	точно так	2	2
118	и до	2	2
119	она все	1	2
120	в отличие	5	2
121	отношение к	2	2
122	году в	1	2
123	в ходе	1	2
124	в самую	2	2
125	о его	1	2
126	в глазах	1	2
127	столь же	3	2
128	который в	2	2
129	одна из	3	2
130	с его	6	2
131	а как	1	2
132	поведение в	1	2
133	не мог	4	2
134	тем что	3	2
135	не случайно	2	2
136	только о	2	2
137	и ее	2	2
138	никогда не	3	2
139	ничего не	2	2
140	жизнью и	2	2
141	любви и	1	2
142	в той	6	1
143	в особенности	4	1
144	то в	6	1
145	от него	1	1
146	утверждать что	2	1
147	могут быть	3	1
148	в последующих	1	1
149	над ними	1	1
150	а теперь	1	1
151	в настоящем	1	1
152	что оно	1	1
153	быть по	1	1
154	таким образом	1	1
155	не понимал	2	1
156	достоевского и	1	1
157	в целый	1	1
158	с начала	1	1
159	свидетельствует о	1	1
160	после возвращения	1	1
161	и который	1	1
162	встречи со	1	1
163	с одной	7	1
164	должна быть	2	1
165	но еще	1	1
166	к себе	5	1
167	с такой	1	1
168	и детям	1	1
169	с этой	1	1
170	словами о	1	1
171	и при	1	1
172	дело с	2	1
173	начала и	1	1
174	не меньшей	1	1
175	в финале	1	1
176	сюжетной линии	1	1
177	это часто	1	1
178	но от	2	1
179	содержит в	1	1
180	того что	2	1
181	сам по	1	1
182	тем не	3	1
183	по слову	1	1
184	о нем	4	1
185	не как	2	1
186	для нас	1	1
187	где он	1	1
188	по-видимому не	1	1
189	одному из	1	1
190	одно из	2	1
191	как своего	1	1
192	же не	4	1
193	х годов	1	1
194	в результате	2	1
195	в виду	1	1
196	быть может	2	1
197	мифа который	1	1
198	только в	4	1
199	позиции в	1	1
200	не столько	4	1
201	по себе	5	1
202	в самой	1	1
203	видит в	1	1
204	а на	1	1
205	не было	2	1
206	но он	1	1
207	здесь мы	1	1
208	имеет для	1	1
209	наших дней	1	1
210	а также	7	1
211	героя с	2	1
212	в россии	1	1
213	одним из	2	1
214	мысль о	1	1
215	на себя	3	1
216	что не	4	1
217	напомним что	1	1
218	не есть	3	1
219	именно в	6	1
220	всем протяжении	1	1
221	если за	1	1
222	облике и	1	1
223	промежуточная инстанция	1	1
224	детей и	1	1
225	в связи	2	1
226	лишний раз	1	1
227	встречается в	2	1
228	с ними	1	1
229	с отцом	1	1
230	есть в	2	1
231	на земле	1	1
232	начальные главы	1	1
233	на этом	1	1
234	жизни в	3	1
235	жить даже	1	1
236	роль в	2	1
237	не менее	3	1
238	так сказать	1	1
239	была и	2	1
240	целое на	1	1
241	и могут	1	1
242	бы не	2	1
243	связаны между	1	1
244	между собой	2	1
245	нечто большее	1	1
246	в иной	2	1
247	в двух	2	1
248	когда в	1	1
249	это было	1	1
250	но уже	1	1
251	героя и	4	1
252	в чем	1	1
253	всего предшествующего	1	1
254	ли это	1	1
255	матери и	4	1
256	а он	1	1
257	тогда как	12	1
258	не смог	1	1
259	или скорее	1	1
260	всем его	1	1
261	в них	1	1
262	на них	1	1
263	во всех	1	1
264	к одному	1	1
265	и потому	2	1
266	отцов и	1	1
267	это и	3	1
268	о себе	1	1
269	совершенно не	2	1
270	но как	2	1
271	не является	8	1
272	в противовес	4	1
273	своих прежних	1	1
274	в котором	1	1
275	ему в	2	1
276	не сводится	2	1
277	не могли	1	1
278	смеются над	1	1
279	восходит к	3	1
280	связи с	4	1
281	за все	1	1
282	хотя бы	4	1
283	она не	2	1
284	связь и	1	1
285	от самого	1	1
286	на другой	2	1
287	одну из	2	1
288	но не	6	1
289	в другом	1	1
290	дистанции между	1	1
291	между тем	3	1
292	представляет собой	13	1
