N	2gram	Propp_Isto	Myshleni
1	в том	13	195
2	в этом	20	167
3	то что	16	166
4	и в	44	162
5	том что	12	161
6	в развитии	2	151
7	таким образом	21	147
8	точки зрения	3	143
9	с помощью	1	131
10	что в	18	119
11	не только	17	116
12	того что	3	109
13	в процессе	1	101
14	так же	14	100
15	потому что	18	95
16	того чтобы	3	91
17	может быть	31	89
18	с точки	1	89
19	что он	29	86
20	не может	10	81
21	как и	12	79
22	для того	3	78
23	так как	19	78
24	и не	19	78
25	только в	8	75
26	в целом	4	74
27	как мы	9	72
28	но и	16	70
29	в его	16	67
30	сказать что	2	65
31	как бы	4	64
32	вместе с	26	62
33	представляет собой	8	60
34	и что	13	60
35	было бы	2	60
36	в качестве	13	60
37	то же	9	58
38	в основе	3	58
39	в силу	7	53
40	что мы	4	53
41	в самом	1	52
42	по сравнению	1	51
43	мы должны	7	50
44	к тому	1	49
45	что они	3	48
46	тем что	12	48
47	мы можем	6	48
48	тогда когда	3	47
49	на основе	1	47
50	мы не	6	47
51	сравнению с	1	46
52	если бы	5	46
53	по отношению	2	45
54	но не	8	45
55	с другой	11	45
56	в мышлении	2	44
57	с тем	9	43
58	же как	12	43
59	тем самым	2	43
60	тому что	1	42
61	как это	5	42
62	отношению к	2	42
63	в ходе	1	41
64	не является	1	41
65	о том	11	40
66	по своей	1	40
67	одной стороны	7	40
68	никогда не	5	39
69	говорит он	2	39
70	с одной	7	39
71	так и	9	39
72	мы видели	9	38
73	в области	1	38
74	и к	3	37
75	вопрос о	5	37
76	если мы	1	37
77	мы видим	12	37
78	не в	11	37
79	в этой	5	37
80	с самого	1	36
81	в своем	3	36
82	все эти	11	36
83	самого начала	1	36
84	как в	11	36
85	а не	5	36
86	и его	15	36
87	того же	3	35
88	с другом	2	35
89	в себе	1	35
90	в которой	4	35
91	друг с	2	35
92	он не	5	35
93	связи с	10	34
94	и как	5	34
95	приводит к	2	34
96	прежде всего	7	33
97	при этом	4	33
98	по себе	2	33
99	и на	11	32
100	той же	2	32
101	что оно	4	32
102	нас к	10	32
103	по своему	1	32
104	же самое	1	32
105	что и	11	32
106	и тем	7	32
107	но в	7	32
108	все же	17	31
109	из того	1	31
110	и то	5	31
111	на то	3	30
112	этого слова	1	29
113	между тем	1	29
114	могут быть	9	29
115	показывает что	7	29
116	от того	1	29
117	с этим	7	28
118	что с	2	28
119	самом деле	2	28
120	переход от	2	28
121	только что	3	27
122	с этой	4	27
123	процесс образования	1	27
124	в результате	1	27
125	другой стороны	10	27
126	этом случае	13	27
127	в то	5	27
128	и с	8	27
129	в своей	3	27
130	что все	4	27
131	перед нами	2	27
132	в их	1	26
133	что это	8	26
134	для него	2	26
135	в частности	9	26
136	что она	3	25
137	еще не	16	25
138	уже в	4	25
139	все это	4	25
140	можно сказать	2	25
141	по мере	4	25
142	мы уже	6	25
143	это не	8	25
144	мы знаем	12	24
145	тот же	1	24
146	зависимости от	1	24
147	целый ряд	4	24
148	на этот	2	24
149	того как	8	24
150	так что	2	24
151	что эта	2	24
152	в нем	10	24
153	как уже	1	24
154	друг друга	5	23
155	этот вопрос	2	23
156	состоит в	1	23
157	бы в	1	23
158	ни в	2	23
159	как он	6	23
160	слова в	1	23
161	во всяком	1	22
162	не могут	2	22
163	то время	3	22
164	смысле этого	1	22
165	в зависимости	1	22
166	между ними	2	21
167	к этому	5	21
168	как говорит	3	21
169	и ее	1	21
170	на основании	1	21
171	представление о	22	21
172	его в	17	21
173	в свете	5	21
174	там где	11	21
175	и все	4	21
176	не имеет	4	21
177	в истории	7	21
178	в сознании	1	21
179	ее в	8	21
180	и более	3	21
181	отношение к	3	21
182	в виду	1	20
183	не менее	6	20
184	в котором	2	20
185	в другом	2	20
186	из них	4	20
187	время как	3	20
188	речь и	1	20
189	из этих	5	20
190	на вопрос	3	20
191	и других	5	20
192	а в	9	20
193	говорит что	1	20
194	едва ли	1	20
195	на этом	5	20
196	по существу	2	20
197	но мы	5	19
198	в связи	6	19
199	во всех	3	19
200	а с	2	19
201	и по	3	19
202	один из	6	19
203	но если	2	19
204	независимо от	1	19
205	в данном	3	19
206	мы и	3	19
207	с развитием	1	19
208	как на	3	19
209	с ним	9	19
210	в себя	3	19
211	из которых	7	19
212	во всем	4	18
213	во всей	1	18
214	но это	10	18
215	в отличие	1	18
216	приводит нас	5	18
217	и другое	1	18
218	отличие от	1	18
219	приходит к	3	18
220	всяком случае	1	18
221	чем в	1	18
222	в этих	7	17
223	в своих	4	17
224	к другим	1	17
225	их в	7	17
226	в одном	2	17
227	я не	1	17
228	не есть	1	17
229	сих пор	7	17
230	до сих	7	17
231	о природе	3	17
232	это положение	1	17
233	в свою	3	17
234	тем же	1	17
235	и для	3	17
236	для этого	3	17
237	все что	5	17
238	нами в	1	17
239	у него	7	17
240	этой точки	2	17
241	ту же	2	17
242	и от	1	17
243	и есть	3	17
244	то и	1	17
245	обе эти	1	17
246	мы находим	1	17
247	и только	1	17
248	и другие	5	16
249	раньше чем	7	16
250	в которых	4	16
251	мы имеем	22	16
252	вовсе не	6	16
253	к одному	1	16
254	такой же	3	16
255	которые не	2	16
256	и даже	4	16
