N	4gram	Losev_Vesc	DiskursI
1	в то же время	4	8
2	с одной стороны и	1	5
3	дело в том что	4	5
4	одного и того же	1	4
5	одно и то же	5	3
6	ни о чем не	1	2
7	а в том что	1	2
8	и в то же	3	2
9	мы имеем дело не	2	2
10	имеем дело не с	2	2
11	принципиально не может быть	1	2
12	бы то ни было	12	2
13	не есть она сама	2	1
14	не что иное как	12	1
15	в том что и	1	1
16	с самим собою в	1	1
17	не только потому что	1	1
18	они предстают перед нами	1	1
19	подобно тому как мы	1	1
20	когда она еще не	1	1
21	не может быть ни	3	1
22	чего бы то ни	2	1
23	себе более или менее	1	1
24	только в том что	1	1
25	по крайней мере в	2	1
26	в те периоды когда	1	1
27	том что он не	1	1
28	или по крайней мере	2	1
29	одном и том же	1	1
30	заключается в том что	2	1
31	к одному и тому	1	1
32	в том что он	2	1
33	в себе более или	1	1
34	свидетельствует о том что	3	1
35	одному и тому же	1	1
36	подобно тому как в	1	1
37	есть не что иное	8	1
