N	4gram	Vinokur_Ku	Stilisti
1	в то же время	4	7
2	одно и то же	1	5
3	одной и той же	1	4
4	не что иное как	2	2
5	одном и том же	1	2
6	но для того чтобы	1	2
7	и то же слово	1	2
8	в зависимости от того	1	2
9	в тех случаях когда	2	2
10	и в то же	1	2
11	есть не что иное	1	2
12	само по себе не	1	1
13	еще не слова в	1	1
14	можно было бы говорить	1	1
15	в самом широком смысле	2	1
16	приходится иметь дело не	1	1
17	органов речи и как	1	1
18	не говоря уже об	1	1
19	но все же и	1	1
20	все же и здесь	1	1
21	же и здесь мы	1	1
22	в одном и том	1	1
23	в таких словах как	1	1
24	иметь дело не с	1	1
25	одного и того же	2	1
26	в самом ли деле	1	1
27	в собственном смысле слова	1	1
28	если бы нам удалось	1	1
29	к которому он принадлежит	1	1
