N	2gram	Tiupa_Hudo	PoTuStor
1	может быть	12	17
2	и в	34	16
3	в этом	22	9
4	прежде всего	12	9
5	и только	2	9
6	совершенно не	1	8
7	точки зрения	7	8
8	и с	10	8
9	не может	10	8
10	и его	8	8
11	не только	22	7
12	сказать что	3	7
13	с его	9	7
14	и к	6	6
15	при этом	21	6
16	для него	15	6
17	самом деле	6	6
18	к отцу	1	6
19	я и	7	6
20	и это	7	6
21	с точки	5	6
22	ни в	5	5
23	все эти	4	5
24	только для	4	5
25	в чем	1	5
26	еще не	10	5
27	как бы	11	5
28	отношение к	3	5
29	нуждается в	2	5
30	в него	2	5
31	все что	4	4
32	для всех	1	4
33	и на	6	4
34	так как	2	4
35	все это	2	4
36	в его	17	4
37	мысли и	2	4
38	так и	19	4
39	на самом	2	4
40	его в	5	4
41	и даже	4	4
42	и все	10	4
43	с ними	3	4
44	только в	8	4
45	и не	15	4
46	но мы	2	4
47	можно сказать	9	4
48	с самого	1	4
49	но и	13	4
50	хотя бы	2	4
51	самого начала	1	4
52	в этой	11	4
53	как мы	5	4
54	отнюдь не	4	4
55	в нем	5	4
56	с ее	7	4
57	в один	1	4
58	и ее	3	4
59	но в	6	4
60	и вот	1	3
61	до сих	3	3
62	на язык	1	3
63	к себе	8	3
64	в том	24	3
65	мы знаем	4	3
66	полагаем что	1	3
67	с другими	2	3
68	на этой	1	3
69	между ними	2	3
70	в конечном	5	3
71	их в	2	3
72	отношения к	1	3
73	этом смысле	1	3
74	и как	1	3
75	что в	8	3
76	и она	2	3
77	том что	31	3
78	вместе с	2	3
79	на этом	5	3
80	в этих	7	3
81	матери и	2	3
82	во всех	2	3
83	во всяком	1	3
84	и потому	3	3
85	в основе	3	3
86	и притом	1	3
87	тех же	2	3
88	только как	1	3
89	и теперь	1	3
90	как это	8	3
91	только на	6	3
92	в одном	3	3
93	даже не	1	3
94	чем не	2	3
95	а в	11	3
96	то что	13	3
97	мы полагаем	1	3
98	на две	1	3
99	и др	1	3
100	могут быть	1	3
101	сих пор	3	3
102	в общем	1	3
103	жизни и	10	3
104	в области	1	3
105	всяком случае	1	3
106	едва ли	6	3
107	в самом	7	2
108	в свое	1	2
109	что оно	1	2
110	и этот	1	2
111	это делает	1	2
112	к другим	1	2
113	они не	2	2
114	мы не	2	2
115	с этой	3	2
116	что это	2	2
117	для нас	4	2
118	и через	1	2
119	но как	3	2
120	что и	3	2
121	быть может	7	2
122	сводится к	7	2
123	у него	13	2
124	не на	1	2
125	не могут	1	2
126	в душе	6	2
127	в них	3	2
128	поэтому и	2	2
129	и других	1	2
130	не знает	2	2
