N	4gram	Savitsky_E	Komedia
1	в то же время	14	16
2	в то время как	1	9
3	бы то ни было	4	7
4	не говоря уже о	1	6
5	как бы то ни	1	3
6	один и тот же	1	3
7	в том числе и	1	3
8	с этой точки зрения	5	2
9	с одной стороны и	6	2
10	в тех случаях когда	1	2
11	и в то же	8	2
12	к тому же все	1	1
13	как это имело место	1	1
14	мы можем сказать что	1	1
15	закрывать глаза на то	1	1
16	только в том случае	1	1
17	мы не находим в	1	1
18	именно с этой точки	1	1
19	с другой стороны в	1	1
20	в связи с этим	1	1
21	и насколько можно судить	1	1
22	несмотря на то что	1	1
23	одного и того же	1	1
24	что само по себе	1	1
25	то же время для	1	1
26	в том случае если	1	1
27	и не только в	1	1
28	так же как и	3	1
29	одна и та же	1	1
