N	4gram	Vygotskiy_	Russkaja
1	в то же время	1	10
2	и вместе с тем	2	2
3	друг с другом и	1	2
4	с точки зрения этой	1	2
5	в свою очередь является	1	1
6	то же время в	1	1
7	точка зрения приводит к	1	1
8	бы друг с другом	1	1
9	связаны друг с другом	1	1
10	и то и другое	1	1
11	остается в силе и	1	1
12	таким образом оказывается что	1	1
13	в каждый данный момент	1	1
14	можно было бы показать	1	1
15	о которой идет речь	1	1
16	в этом и состоит	1	1
17	было бы показать что	1	1
18	одну и ту же	1	1
19	заключается в том что	9	1
20	именно в силу этого	1	1
21	которых мы говорили выше	2	1
22	что с точки зрения	1	1
23	в том числе и	2	1
24	образом связаны друг с	1	1
25	несмотря на то что	1	1
26	одного и того же	3	1
27	о которых мы говорили	3	1
28	и во всяком случае	1	1
29	до сих пор мы	1	1
30	и не может быть	2	1
31	точно так же как	3	1
