N	2gram	Savitsky_P	RusskieA
1	и в	14	79
2	в том	9	64
3	том что	4	59
4	что в	4	57
5	т е	3	54
6	не только	17	41
7	и другие	1	33
8	в этом	10	33
9	как бы	4	31
10	но и	6	31
11	в других	1	30
12	в и	1	30
13	как и	1	28
14	и на	1	28
15	может быть	5	28
16	и м	1	25
17	а н	5	25
18	одна из	2	24
19	и т	3	23
20	т д	1	21
21	это не	3	20
22	а в	4	20
23	из них	2	19
24	представляют собой	1	18
25	xix в	1	18
26	все это	2	18
27	с тем	3	17
28	то что	4	17
29	вместе с	1	17
30	потому что	3	17
31	во многих	1	16
32	мы не	3	16
33	в них	2	14
34	и с	2	14
35	не менее	2	14
36	и что	1	14
37	и не	12	14
38	для нас	2	14
39	в xix	2	14
40	и по	1	13
41	в которых	5	13
42	еще не	1	13
43	не может	4	13
44	в виде	2	12
45	а затем	1	11
46	не имеет	1	11
47	далеко не	1	11
48	все же	1	10
49	представляет собой	1	10
50	его в	1	10
51	между тем	3	10
52	что и	1	10
53	а также	4	10
54	и других	2	10
55	то же	9	9
56	к жизни	1	9
57	но в	9	9
58	в русском	2	9
59	в г	1	9
60	но не	3	9
61	одно из	1	8
62	в этих	1	8
63	что по	1	8
64	так же	1	8
65	на себя	1	8
66	во всех	2	8
67	что это	1	8
68	в россии	3	8
69	того чтобы	1	8
70	того что	2	8
71	в данном	1	8
72	не все	1	8
73	для того	3	8
74	же в	4	8
75	в это	1	7
76	должна была	1	7
77	настоящее время	1	7
78	в своем	4	7
79	не в	5	7
80	в свете	1	7
81	а с	1	7
82	было бы	6	7
83	главным образом	2	7
84	только в	7	7
85	еще в	1	7
86	связанные с	1	7
87	из этих	1	7
88	а не	2	7
89	н а	10	7
90	в настоящее	1	7
91	и как	3	7
92	мы должны	4	7
93	в эти	1	7
94	для этого	1	7
95	с собой	1	6
96	же как	1	6
97	только на	1	6
98	в качестве	9	6
99	также в	1	6
100	многих случаях	1	6
101	в этой	1	6
102	в нем	3	6
103	с ними	3	6
104	и более	1	6
105	друг друга	1	6
106	и пр	5	6
107	не будем	2	6
108	на нее	1	6
109	связаны с	1	6
110	она не	1	6
111	и о	5	6
112	и к	4	5
113	например в	2	5
114	с этим	2	5
115	вопрос о	1	5
116	с другой	5	5
117	связь между	1	5
118	к ним	1	5
119	вносили в	1	5
120	м е	1	5
121	что от	1	5
122	не было	2	5
123	там где	1	5
124	в то	7	5
125	прежде всего	3	5
126	тогда когда	1	5
127	для них	2	5
128	тот же	3	5
129	в его	2	5
130	в русских	1	5
131	и потому	4	5
132	в народе	1	5
133	отнюдь не	2	5
134	не с	1	5
135	не столько	2	4
136	их не	1	4
137	именно в	2	4
138	во всяком	1	4
139	на этой	1	4
140	в котором	4	4
141	в отличие	1	4
142	во всей	2	4
143	не просто	1	4
144	которое в	2	4
145	тем и	1	4
146	но есть	1	4
147	могут быть	3	4
148	и здесь	1	4
149	если в	2	4
150	в основном	1	4
151	и при	1	4
152	и другим	1	4
153	на основе	1	4
154	в древней	1	4
155	это имеет	1	4
156	переход от	2	4
157	на две	1	4
158	всяком случае	1	4
159	и многие	1	4
160	уже в	1	4
161	отличие от	1	4
162	в ней	6	4
163	и ее	1	4
164	можно говорить	1	3
165	в какой	1	3
166	церковь и	1	3
167	более или	1	3
168	есть в	2	3
169	р е	1	3
170	в одно	1	3
171	в природе	1	3
172	говорится о	1	3
173	восходит к	1	3
174	он был	1	3
175	пор пока	1	3
176	только как	1	3
177	в различных	1	3
178	ее по	1	3
179	ii в	2	3
180	и еще	1	3
181	как на	2	3
182	находится в	1	3
183	что все	1	3
184	точки зрения	3	3
185	что именно	1	3
186	никогда не	1	3
187	с одной	3	3
188	мы знаем	1	3
189	хотя и	3	3
190	в ее	2	3
191	и через	1	3
192	христа и	1	3
193	в которой	1	3
194	iii в	2	3
195	большинстве случаев	1	3
196	в области	11	3
197	и это	2	3
198	в эту	2	3
199	в русской	4	3
200	возможно что	1	3
201	в лесах	1	3
202	них в	1	3
203	древней руси	1	3
204	также что	1	3
205	живет в	1	3
206	сводится к	3	3
207	если бы	4	3
208	судить по	1	3
209	на каждом	1	3
210	с точки	3	3
211	в отдельности	1	3
212	тех пор	1	3
213	с которой	1	3
214	каждый из	1	3
215	и наоборот	1	3
216	и то	1	3
217	и этим	1	3
218	что с	1	3
219	этом не	1	3
220	или менее	1	3
221	до тех	1	3
222	церкви и	2	3
223	есть и	1	3
224	думать что	2	3
225	в большинстве	1	3
226	место в	1	3
227	на то	1	3
228	это в	1	3
229	не к	2	3
230	к этой	1	2
231	не как	1	2
232	например с	1	2
233	другой стороны	1	2
234	по себе	4	2
235	на основании	1	2
236	из нее	1	2
237	если он	1	2
238	когда в	1	2
239	в момент	1	2
240	одной стороны	3	2
241	и должна	1	2
242	говорить о	2	2
243	как оно	1	2
244	по всему	1	2
245	в прошлом	1	2
246	не связаны	1	2
247	но возможно	1	2
248	друг с	1	2
249	в европе	2	2
250	мы видим	1	2
251	должно быть	2	2
252	что при	1	2
253	и д	8	2
254	можно рассматривать	1	2
255	как по	1	2
256	можно судить	1	2
257	между прочим	2	2
258	они как	1	2
259	в каждом	1	2
260	мы можем	1	2
261	не означает	1	2
262	не будут	1	2
263	и тем	2	2
264	в развитии	1	2
265	европы в	1	2
266	что эта	1	2
267	не были	1	2
268	которого в	1	2
269	как известно	1	2
270	друг другу	2	2
271	в себе	3	2
272	в силу	2	2
273	и особенно	1	2
274	от нее	1	2
275	это значение	1	2
276	с и	1	2
277	силам и	1	2
278	в жизни	2	2
279	не более	1	2
280	другие народы	2	2
281	характер этого	1	2
282	относящиеся к	1	2
283	скота и	1	2
284	поэзии и	1	2
285	в иных	1	2
286	и если	4	2
287	и и	2	2
288	на плечи	1	2
289	и теперь	1	2
290	что если	1	2
291	россии в	5	2
292	е а	1	2
293	с его	1	2
294	что есть	1	2
295	но на	1	2
296	они не	1	2
297	вероятно что	1	2
298	вне рамок	1	2
299	и всегда	1	2
300	и е	4	2
301	в церковь	1	2
302	и несут	1	2
303	основные черты	1	2
304	и без	3	2
305	сохранить в	1	2
306	случаях когда	1	2
307	есть некоторое	1	2
308	с другом	1	2
309	должен быть	1	2
310	особенно в	1	2
311	тем более	2	2
312	xx в	1	2
313	и притом	1	2
314	в частности	2	2
315	в начале	2	2
316	в пределах	8	2
317	есть несколько	1	2
318	в е	2	2
319	что было	1	1
320	е с	6	1
321	в самом	1	1
322	и очень	1	1
323	еще более	2	1
324	только что	1	1
325	как высоко	1	1
326	прямо на	1	1
327	более широкой	1	1
328	в применении	1	1
329	из всех	1	1
330	формы в	1	1
331	думается что	1	1
332	те же	1	1
333	что дело	1	1
334	по-видимому не	2	1
335	в с	4	1
336	коммунистической партии	1	1
337	быть может	6	1
338	в борьбе	1	1
339	в некотором	1	1
340	мы и	1	1
341	русский народ	2	1
342	силы они	1	1
343	в собственном	1	1
344	из рамок	4	1
345	первой половине	1	1
346	одновременно и	1	1
347	известно не	1	1
348	в иной	1	1
349	более как	1	1
350	смысл этого	1	1
351	наша задача	1	1
352	было в	2	1
353	века в	1	1
354	между духовным	1	1
355	применении к	1	1
356	смерти но	1	1
357	хотя бы	8	1
358	почти исключительно	1	1
359	с трудом	1	1
360	борьбе с	1	1
361	на пути	4	1
362	есть некоторая	1	1
363	своем значении	2	1
364	не вполне	1	1
365	ней и	1	1
366	этот вывод	1	1
367	наряду с	3	1
368	но церковь	1	1
369	и деятельны	1	1
370	во времена	1	1
371	на будущее	1	1
372	без которой	1	1
373	она может	1	1
374	были в	1	1
375	широкой и	1	1
376	д а	3	1
377	образом на	2	1
378	востока и	1	1
379	гораздо более	1	1
380	представить себе	1	1
381	чтобы это	1	1
382	в н	1	1
383	и мы	2	1
384	по преимуществу	1	1
385	xi в	2	1
386	можно думать	1	1
387	что уже	1	1
388	на этих	2	1
389	в жертву	1	1
390	выступает в	1	1
391	весь мир	1	1
392	тем больше	1	1
393	трудовая теория	1	1
394	известных в	1	1
395	является и	1	1
396	в результате	1	1
397	не о	2	1
398	не очень	1	1
399	прежде чем	1	1
400	что его	1	1
401	перечисленных выше	1	1
402	ее нужно	1	1
403	что не	1	1
404	к стремлению	1	1
405	но для	1	1
406	восстановить и	1	1
407	но чтобы	1	1
408	представляют собою	1	1
409	в последние	2	1
410	к сожалению	1	1
411	в чистоте	1	1
412	по одному	1	1
413	есть та	1	1
414	из чего	1	1
415	не есть	1	1
416	прибегают к	1	1
417	всеми его	1	1
418	в ряду	2	1
419	в исторической	1	1
420	и жизнь	1	1
421	где уже	1	1
422	и теми	1	1
423	точек зрения	2	1
424	на свои	1	1
