N	4gram	Bakhtin_Pr	VeschiIm
1	бы то ни было	2	12
2	дело в том что	1	4
3	в то же время	13	4
4	в то время как	2	4
5	и в то же	2	3
6	в том или другом	1	2
7	заключается в том что	1	2
8	в том что он	4	2
9	и не потому что	1	1
10	все новые и новые	1	1
11	какой бы то ни	1	1
12	до самого последнего времени	1	1
13	в самом деле в	1	1
14	что с точки зрения	1	1
15	с точки зрения этого	1	1
16	с одной стороны и	1	1
17	каких бы то ни	1	1
18	и есть то что	1	1
19	само по себе но	1	1
20	что она уже не	1	1
21	самим собою т е	1	1
22	иначе и быть не	1	1
23	а в том что	1	1
24	что он не есть	1	1
25	и быть не может	1	1
26	но в то же	7	1
27	подобно тому как в	1	1
28	и в этом отношении	2	1
29	в том что это	1	1
30	если бы оно было	1	1
31	что бы то ни	1	1
