N	2gram	Propp_Russ	KFilosof
1	может быть	14	45
2	в его	3	42
3	в нем	3	32
4	не может	6	29
5	и не	6	28
6	и в	59	28
7	по отношению	1	26
8	в котором	2	24
9	отношению к	1	22
10	в себе	1	21
11	только в	4	18
12	и его	2	18
13	в своем	3	17
14	а не	3	17
15	в этом	18	15
16	для него	1	13
17	не в	2	13
18	точки зрения	3	13
19	к нему	3	12
20	ни в	1	12
21	но не	7	12
22	и это	2	12
23	в своей	1	11
24	все эти	5	11
25	во всех	6	11
26	из себя	1	11
27	все это	12	10
28	это не	14	10
29	с точки	3	10
30	и есть	1	10
31	и для	3	10
32	в целом	2	10
33	в их	5	9
34	и все	4	9
35	но и	20	9
36	как бы	18	9
37	не было	3	8
38	если бы	1	8
39	было бы	3	8
40	жизни и	1	8
41	во всем	2	7
42	и здесь	3	7
43	этот момент	1	7
44	что и	8	7
45	должен быть	2	7
46	уже не	9	7
47	то что	10	7
48	на основе	1	7
49	для себя	1	7
50	отнюдь не	3	7
51	ее и	2	6
52	должно быть	2	6
53	не значит	2	6
54	но все	3	6
55	но эта	2	6
56	не имеет	9	6
57	смысл и	1	6
58	в том	33	6
59	и их	4	6
60	и действительно	2	6
61	отношение к	1	6
62	место в	2	6
63	он не	1	6
64	но это	5	6
65	то же	6	5
66	ко всему	2	5
67	мы имеем	7	5
68	не только	28	5
69	с ним	2	5
70	его в	9	5
71	не знает	1	5
72	в основе	1	5
73	но в	5	5
74	именно в	3	5
75	как и	19	5
76	все же	7	5
77	себя и	2	5
78	еще не	7	5
79	что я	1	5
80	в одном	4	5
81	ни одно	2	5
82	а в	16	5
83	его как	2	5
84	жизни как	1	5
85	там где	3	5
86	никогда не	1	5
87	что в	35	4
88	должна быть	1	4
89	при этом	11	4
90	что это	4	4
91	не как	1	4
92	для нас	12	4
93	прежде всего	2	4
94	с другим	2	4
95	в своих	3	4
96	места и	1	4
97	нет в	2	4
98	с ними	6	4
99	том что	33	4
100	в чем	1	4
101	могло бы	1	4
102	но можно	2	4
103	входит в	4	4
104	только как	2	4
105	во всей	2	4
106	могла бы	1	4
107	не по	1	4
108	между тем	9	4
109	здесь мы	3	4
110	к ним	4	4
111	ближе к	1	3
112	от него	1	3
113	та же	4	3
114	и на	14	3
115	здесь нет	1	3
116	и пр	4	3
117	в час	1	3
118	мы не	11	3
119	тогда когда	4	3
120	для которой	1	3
121	того что	6	3
122	и этим	1	3
123	на самом	3	3
124	в виду	3	3
125	самом деле	1	3
126	тем что	7	3
127	но для	1	3
128	людей и	1	3
129	что этот	4	3
130	не дает	1	3
131	рядом с	1	3
132	не менее	3	3
133	для этой	3	3
134	по своему	2	3
135	здесь не	1	3
136	может дать	1	3
137	себе и	1	3
138	в каждом	2	3
139	это и	1	3
140	того или	1	3
141	ясно и	1	3
142	что не	1	3
143	не могу	1	3
144	но здесь	1	3
145	в свою	3	3
146	в другом	1	3
147	для того	6	3
148	и должна	2	3
149	в ней	3	3
150	быть и	3	3
151	и та	1	3
152	в современной	1	3
153	от того	1	3
154	человека и	1	3
155	не я	1	3
156	мы здесь	2	3
157	единстве и	1	3
158	нет и	1	3
159	только с	2	3
160	могут быть	3	3
161	до конца	5	3
162	о том	14	3
163	в то	3	3
164	а следовательно	1	3
165	независимо от	3	3
166	всех этих	2	3
167	тот же	2	3
168	и тем	1	3
169	ничего не	4	3
170	и эти	1	2
171	один из	10	2
172	и мы	1	2
173	ему в	1	2
174	может не	1	2
175	и того	1	2
176	его с	4	2
177	что значит	1	2
178	случае мы	1	2
179	смысле в	1	2
180	одна и	1	2
181	тому что	4	2
182	тем не	3	2
183	так и	8	2
184	из которых	2	2
185	и то	2	2
186	и за	2	2
187	в качестве	5	2
188	смысла в	1	2
189	в виде	10	2
190	оно не	2	2
191	не потому	1	2
192	если не	1	2
193	не о	1	2
194	ее от	2	2
195	ни одна	2	2
196	из нее	2	2
197	дело в	1	2
198	вокруг него	2	2
199	в ту	1	2
200	не следует	1	2
201	в жизни	2	2
202	и должен	1	2
203	с тем	14	2
204	его на	1	2
205	и как	2	2
206	весь мир	1	2
207	что он	2	2
208	и вокруг	1	2
209	и просто	1	2
210	как в	10	2
211	от этого	2	2
212	смысла и	1	2
213	под ним	2	2
214	в это	4	2
215	ничего общего	3	2
216	и смерти	1	2
217	жизнь и	2	2
218	или как	1	2
219	этого слова	3	2
220	к этому	7	2
221	и потому	3	2
222	его и	2	2
223	а с	6	2
224	в данном	7	2
225	и других	9	2
226	же с	1	2
227	вытекает из	1	2
228	вопрос о	4	2
229	которой он	1	2
230	она не	4	2
231	потому что	15	2
232	того чтобы	6	2
233	совсем не	1	2
234	быть не	1	2
235	с этого	7	2
236	дело не	2	2
237	здесь ее	1	2
238	к себе	1	2
239	общего не	2	2
240	не будет	1	2
241	в него	2	2
242	на нем	1	2
243	а по	1	2
244	говорить о	2	2
245	что эта	1	2
246	для этого	6	2
247	всех других	1	2
248	этим не	1	2
249	всей своей	1	2
250	ее до	1	2
251	думать что	3	2
252	и всех	2	2
253	автора его	1	2
254	нечто вроде	2	2
255	это только	1	2
256	в этой	4	2
257	он и	1	2
258	и время	1	2
259	но ни	2	2
260	и под	4	2
261	но есть	3	2
262	что есть	2	2
263	ее как	1	2
264	все остальные	1	2
265	только по	2	2
266	нас важно	1	2
267	слова в	3	2
268	определить в	1	2
269	с его	1	2
270	в области	3	2
271	его к	3	2
272	а как	1	2
273	чтобы не	1	2
274	и ее	3	2
275	одного и	1	2
276	вся эта	2	2
277	все в	2	1
278	и к	3	1
279	на почве	1	1
280	или просто	2	1
281	смерть и	1	1
282	обе стороны	2	1
283	во втором	1	1
284	все что	2	1
285	как это	11	1
286	мы видим	2	1
287	здесь на	1	1
288	и он	1	1
289	лет она	1	1
290	собой и	2	1
291	можно говорить	2	1
292	религии и	1	1
293	содержится в	1	1
294	случая когда	1	1
295	так как	25	1
296	тенденция в	1	1
297	место при	1	1
298	и очень	1	1
299	же и	1	1
300	христа в	2	1
301	и своего	1	1
302	только что	1	1
303	и было	1	1
304	безотносительно к	1	1
305	то есть	3	1
306	за которую	1	1
307	зависит от	1	1
308	вообще а	1	1
309	даже к	1	1
310	на том	1	1
311	живет в	1	1
312	оно могло	1	1
313	она в	4	1
314	оно было	1	1
315	не будем	5	1
316	и менее	1	1
317	несмотря на	4	1
318	только этот	1	1
319	из всех	1	1
320	впрочем в	1	1
321	религии в	1	1
322	и наконец	2	1
323	или с	4	1
324	и куда	1	1
325	относятся к	3	1
326	хотя и	3	1
327	и связанных	1	1
328	или нет	1	1
329	эта же	2	1
330	и из	3	1
331	имеет с	1	1
332	как раз	1	1
333	в литературе	1	1
334	день и	2	1
335	ее в	7	1
336	а затем	5	1
337	и сама	1	1
338	и одна	1	1
339	и через	2	1
340	видеть в	1	1
341	можно сказать	1	1
342	только при	1	1
343	не являются	1	1
344	но где	1	1
345	к выводу	3	1
346	одно из	6	1
347	притом не	1	1
348	другими и	1	1
349	имеет смысла	1	1
350	это слово	1	1
351	однако он	1	1
352	же не	2	1
353	его от	2	1
354	здесь в	1	1
355	этого момента	3	1
356	не от	1	1
357	это дерево	1	1
358	от до	1	1
359	с собой	4	1
360	в третьем	1	1
361	основана на	2	1
362	него нет	1	1
363	что между	1	1
364	но такое	1	1
365	не путем	1	1
366	не была	1	1
367	связь с	1	1
368	дать в	1	1
369	чем в	4	1
370	их не	2	1
371	него в	1	1
372	поэтому и	1	1
373	и даже	1	1
374	что ему	2	1
375	в духе	1	1
376	но он	3	1
377	образом в	2	1
378	в разные	4	1
379	не более	2	1
380	чем ближе	1	1
381	отличаются от	2	1
382	в которой	3	1
383	или в	7	1
384	в первом	1	1
385	а за	4	1
386	и говорят	1	1
387	оно употребляется	1	1
388	и с	12	1
389	как этот	1	1
390	ни о	1	1
391	с ней	7	1
392	когда будут	1	1
393	жизнь в	1	1
394	показать что	1	1
395	месте и	1	1
396	с целью	2	1
397	которые как	2	1
398	не противоречит	2	1
399	значения как	1	1
400	и начало	2	1
401	ней в	2	1
402	и иначе	1	1
403	превращается в	1	1
404	все силы	1	1
405	к такой	1	1
406	если он	1	1
407	вся его	1	1
408	между прочим	2	1
409	более что	1	1
410	в стороне	2	1
411	тем же	1	1
412	к таким	4	1
413	в какой	3	1
414	имеет место	3	1
415	при различных	1	1
416	как о	1	1
417	как не	2	1
418	их в	7	1
419	для каждого	1	1
420	а именно	2	1
421	большинстве случаев	2	1
422	второй половине	1	1
423	и так	2	1
424	вместе с	16	1
425	на этом	6	1
426	при таком	1	1
427	в этих	3	1
428	противном случае	1	1
429	они не	1	1
430	обряд как	1	1
431	приводит к	4	1
432	на все	3	1
433	землю и	2	1
434	только себя	1	1
435	уже давно	1	1
436	между собой	4	1
437	в иной	1	1
438	между ними	1	1
439	зависимости от	1	1
440	при всех	2	1
441	это хорошо	1	1
442	следовательно и	2	1
443	мир и	1	1
444	точек зрения	1	1
445	а только	1	1
446	об этом	11	1
447	много и	3	1
448	разные стороны	1	1
449	в эту	3	1
450	а он	1	1
451	всему что	1	1
452	и таким	1	1
453	было ни	1	1
454	к тому	4	1
455	в одной	1	1
456	говорят об	1	1
457	и всей	2	1
458	себя от	1	1
459	включая и	1	1
460	бы ни	1	1
461	нет он	1	1
462	не был	3	1
463	смерти и	3	1
464	только для	3	1
465	с этим	4	1
466	но оно	1	1
467	только одно	2	1
468	не единственное	1	1
469	что эти	2	1
470	остается в	1	1
471	можно в	1	1
472	должен был	3	1
473	во всяком	1	1
474	нуждается в	1	1
475	но может	1	1
476	мы можем	2	1
477	не является	2	1
478	из первого	1	1
479	а к	3	1
480	приводит его	1	1
481	где эти	1	1
482	и такие	1	1
483	что мы	1	1
484	значит что	2	1
485	которую мы	1	1
486	с основной	1	1
487	не имеют	1	1
